,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
874,AGC,Allegheny County Airport,2002,6,1.0,0.0,0.0,ntsb
54052,AGC,Pittsburgh Allegheny County,2002,6,0.0,0.0,4.0,faa
875,AGC,Allegheny County Airport,2002,7,1.0,0.0,0.0,ntsb
54053,AGC,Pittsburgh Allegheny County,2002,7,0.0,0.0,3.0,faa
876,AGC,Allegheny County Airport,2004,2,1.0,0.0,0.0,ntsb
54069,AGC,Pittsburgh Allegheny County,2004,2,0.0,0.0,1.0,faa
877,AGC,Allegheny County Airport,2004,10,1.0,0.0,0.0,ntsb
54075,AGC,Pittsburgh Allegheny County,2004,10,0.0,0.0,1.0,faa
878,AGC,Allegheny County Airport,2005,4,1.0,0.0,0.0,ntsb
54080,AGC,Pittsburgh Allegheny County,2005,4,0.0,0.0,4.0,faa
879,AGC,Allegheny County Airport,2005,5,0.0,1.0,0.0,ntsb
54081,AGC,Pittsburgh Allegheny County,2005,5,0.0,0.0,1.0,faa
880,AGC,Allegheny County Airport,2010,4,1.0,0.0,0.0,ntsb
54114,AGC,Pittsburgh Allegheny County,2010,4,0.0,0.0,3.0,faa
916,AHN,Athens Ben Epps Airport,1986,5,1.0,0.0,0.0,ntsb
15274,AHN,Athens Ben Epps,1986,5,0.0,0.0,1.0,faa
939,AID,Anderson Municipal Darlington Field,1982,3,1.0,0.0,0.0,ntsb
42561,AID,Anderson Municipal,1982,3,0.0,0.0,1.0,faa
945,AID,Anderson Municipal Darlington Field,1994,4,1.0,0.0,0.0,ntsb
42569,AID,Anderson Municipal,1994,4,0.0,0.0,1.0,faa
951,AID,Anderson Municipal Darlington Field,2010,8,1.0,0.0,0.0,ntsb
42579,AID,Anderson Municipal,2010,8,0.0,0.0,1.0,faa
1000,AKN,King Salmon Airport,1983,7,0.0,1.0,0.0,ntsb
61137,AKN,King Salmon,1983,7,0.0,0.0,1.0,faa
1002,AKN,King Salmon Airport,1984,9,1.0,0.0,0.0,ntsb
61139,AKN,King Salmon,1984,9,0.0,0.0,1.0,faa
1008,AKN,King Salmon Airport,1987,6,1.0,0.0,0.0,ntsb
61148,AKN,King Salmon,1987,6,0.0,0.0,1.0,faa
1015,AKN,King Salmon Airport,1990,7,1.0,0.0,0.0,ntsb
61153,AKN,King Salmon,1990,7,0.0,0.0,1.0,faa
1021,AKN,King Salmon Airport,1993,11,0.0,1.0,0.0,ntsb
61157,AKN,King Salmon,1993,11,0.0,0.0,1.0,faa
1043,AKO,Colorado Plains Regional Airport,1984,8,1.0,0.0,0.0,ntsb
35963,AKO,Akron Colorado Plains Rgnl,1984,8,0.0,0.0,1.0,faa
1044,AKO,Colorado Plains Regional Airport,1986,7,1.0,0.0,0.0,ntsb
35964,AKO,Akron Colorado Plains Rgnl,1986,7,0.0,0.0,1.0,faa
1107,ALM,Alamogordo White Sands Regional Airport,1990,3,1.0,0.0,0.0,ntsb
58329,ALM,Alamogordo White Sands Regional,1990,3,0.0,0.0,1.0,faa
1144,ALS,San Luis Valley Regional Bergman Field,1985,7,1.0,0.0,0.0,ntsb
20621,ALS,Alamosa San Luis Valley Rgnl,1985,7,0.0,0.0,1.0,faa
1146,ALS,San Luis Valley Regional Bergman Field,1986,5,1.0,0.0,0.0,ntsb
20622,ALS,Alamosa San Luis Valley Rgnl,1986,5,0.0,0.0,1.0,faa
1175,AMA,Rick Husband Amarillo International Airport,1984,8,1.0,0.0,0.0,ntsb
11938,AMA,Amarillo Rick Husband Intl,1984,8,0.0,0.0,1.0,faa
1176,AMA,Rick Husband Amarillo International Airport,1985,4,1.0,0.0,0.0,ntsb
11941,AMA,Amarillo Rick Husband Intl,1985,4,0.0,0.0,1.0,faa
1178,AMA,Rick Husband Amarillo International Airport,1994,1,0.0,1.0,0.0,ntsb
11960,AMA,Amarillo Rick Husband Intl,1994,1,0.0,0.0,1.0,faa
1180,AMA,Rick Husband Amarillo International Airport,2001,6,1.0,0.0,0.0,ntsb
11972,AMA,Amarillo Rick Husband Intl,2001,6,0.0,0.0,1.0,faa
1202,AMW,Ames Municipal Airport,1985,5,1.0,0.0,0.0,ntsb
18860,AMW,Ames Municipal,1985,5,0.0,0.0,1.0,faa
1213,ANC,Ted Stevens Anchorage International Airport,1983,7,1.0,1.0,0.0,ntsb
36284,ANC,Anchorage Ted Stevens Intl,1983,7,0.0,0.0,1.0,faa
1216,ANC,Ted Stevens Anchorage International Airport,1984,6,0.0,1.0,0.0,ntsb
36285,ANC,Anchorage Ted Stevens Intl,1984,6,0.0,0.0,1.0,faa
1221,ANC,Ted Stevens Anchorage International Airport,1986,10,0.0,1.0,0.0,ntsb
36290,ANC,Anchorage Ted Stevens Intl,1986,10,0.0,0.0,1.0,faa
1274,AND,Anderson Regional Airport,1990,5,0.0,1.0,0.0,ntsb
52828,AND,Anderson Regional,1990,5,0.0,0.0,1.0,faa
1275,AND,Anderson Regional Airport,1996,11,1.0,0.0,0.0,ntsb
52836,AND,Anderson Regional,1996,11,0.0,0.0,1.0,faa
1281,AND,Anderson Regional Airport,2011,9,1.0,0.0,0.0,ntsb
52845,AND,Anderson Regional,2011,9,0.0,0.0,1.0,faa
1365,ANQ,Tri State Steuben County Airport,1985,3,2.0,0.0,0.0,ntsb
48751,ANQ,Angola Tri-State Steuben Co.,1985,3,0.0,0.0,1.0,faa
1374,ANV,Anvik Airport,1982,8,0.0,1.0,0.0,ntsb
39518,ANV,Anvik,1982,8,0.0,0.0,1.0,faa
1388,AOH,Lima Allen County Airport,1985,4,1.0,0.0,0.0,ntsb
24373,AOH,Lima Allen County,1985,4,0.0,0.0,1.0,faa
1400,APA,Centennial Airport,1982,4,1.0,0.0,0.0,ntsb
50126,APA,Denver Centennial,1982,4,0.0,0.0,2.0,faa
1402,APA,Centennial Airport,1982,9,1.0,0.0,0.0,ntsb
50130,APA,Denver Centennial,1982,9,0.0,0.0,3.0,faa
1404,APA,Centennial Airport,1982,11,1.0,0.0,0.0,ntsb
50131,APA,Denver Centennial,1982,11,0.0,0.0,1.0,faa
1405,APA,Centennial Airport,1983,1,1.0,0.0,0.0,ntsb
50133,APA,Denver Centennial,1983,1,0.0,0.0,1.0,faa
1406,APA,Centennial Airport,1983,3,1.0,0.0,0.0,ntsb
50135,APA,Denver Centennial,1983,3,0.0,0.0,2.0,faa
1409,APA,Centennial Airport,1983,11,1.0,0.0,0.0,ntsb
50141,APA,Denver Centennial,1983,11,0.0,0.0,3.0,faa
1410,APA,Centennial Airport,1983,12,1.0,0.0,0.0,ntsb
50142,APA,Denver Centennial,1983,12,0.0,0.0,1.0,faa
1412,APA,Centennial Airport,1984,5,1.0,0.0,0.0,ntsb
