Group,City served,FAA,IATA,ICAO,Airport name,Role,Enpl.
Other public-use airports (not listed in NPIAS),Berrien Springs,C20,,,Andrews University Airpark,,
Other public-use airports (not listed in NPIAS),Blissfield,44G,,,Betz Airport,,
Other public-use airports (not listed in NPIAS),Boyne City,N98,,,Boyne City Municipal Airport,,
Other public-use airports (not listed in NPIAS),Boyne Falls,BFA,,KBFA,Boyne Mountain Airport,,
Other public-use airports (not listed in NPIAS),Brighton,45G,,,Brighton Airport,,
Other public-use airports (not listed in NPIAS),Brooklyn,6G8,,,Shamrock Field,,
Other public-use airports (not listed in NPIAS),Carleton,W87,,,Buzzwick Airport (Buzz Wick Airport) (was Wickenheiser Airport),,
Other public-use airports (not listed in NPIAS),Charlotte,49G,,,Wend Valley Airport,,
Other public-use airports (not listed in NPIAS),Cheboygan,2M7,,,Hoffman's Black Mountain Aerodrome,,
Other public-use airports (not listed in NPIAS),Chesaning,50G,,,Howard Nixon Memorial Airport,,
Other public-use airports (not listed in NPIAS),Clinton,7N4,,,Honey Acres Airport,,
Other public-use airports (not listed in NPIAS),Clio,51G,,,Cagney Airport,,
Other public-use airports (not listed in NPIAS),Corunna,56M,,,Millstream Airpark,,
Other public-use airports (not listed in NPIAS),Croswell,55G,,,Arnold Field,,
Other public-use airports (not listed in NPIAS),Crystal Falls,50D,,,Iron County Airport,,
Other public-use airports (not listed in NPIAS),Davison,6G0,,,Athelone Williams Memorial Airport,,
Other public-use airports (not listed in NPIAS),Deckerville,56G,,,Indian Creek Ranch Airport,,
Other public-use airports (not listed in NPIAS),Dexter,2E8,,,Cackleberry Airport,,
Other public-use airports (not listed in NPIAS),East Jordan,Y94,,,East Jordan City Airport,,
Other public-use airports (not listed in NPIAS),East Tawas,6D9,ECA,,Iosco County Airport,,
Other public-use airports (not listed in NPIAS),Eastport,59M,,,Torchport Airport (Torchport Airpark),,
Other public-use airports (not listed in NPIAS),Eaton Rapids,60G,,,Skyway Estates Airport,,
Other public-use airports (not listed in NPIAS),Elwell,68R,,,Hamp Airport (Hamp Skyport),,
