, Latitude , Longitude ,airport_name_0,airport_lat_0,airport_lon_0,vicinity_0,lat_1,lon_1,airport_name_1,airport_lat_1,airport_lon_1,vicinity_1,lat_2,lon_2,airport_name_2,airport_lat_2,airport_lon_2,vicinity_2,lat_3,lon_3,airport_name_3,airport_lat_3,airport_lon_3,vicinity_3,lat_4,lon_4,airport_name_4,airport_lat_4,airport_lon_4,vicinity_4,lat_5,lon_5,airport_name_5,airport_lat_5,airport_lon_5,vicinity_5,lat_6,lon_6,airport_name_6,airport_lat_6,airport_lon_6,vicinity_6,lat_7,lon_7,airport_name_7,airport_lat_7,airport_lon_7,vicinity_7,lat_8,lon_8,airport_name_8,airport_lat_8,airport_lon_8,vicinity_8,lat_9,lon_9,airport_name_9,airport_lat_9,airport_lon_9,vicinity_9,lat_10,lon_10,airport_name_10,airport_lat_10,airport_lon_10,vicinity_10,lat_11,lon_11,airport_name_11,airport_lat_11,airport_lon_11,vicinity_11,lat_12,lon_12,airport_name_12,airport_lat_12,airport_lon_12,vicinity_12,lat_13,lon_13,airport_name_13,airport_lat_13,airport_lon_13,vicinity_13,lat_14,lon_14,airport_name_14,airport_lat_14,airport_lon_14,vicinity_14,lat_15,lon_15,airport_name_15,airport_lat_15,airport_lon_15,vicinity_15,lat_16,lon_16,airport_name_16,airport_lat_16,airport_lon_16,vicinity_16,lat_17,lon_17,airport_name_17,airport_lat_17,airport_lon_17,vicinity_17,lat_18,lon_18,airport_name_18,airport_lat_18,airport_lon_18,vicinity_18,lat_19,lon_19,airport_name_19,airport_lat_19,airport_lon_19,vicinity_19,iata,which_airport
2137,35.254444,-82.462778,broad river ndb bra 379,35.27277249999999,-82.4710685,Hendersonville,35.254444,-82.462778,Airport: W.N.C. Air Museum,35.3055271,-82.4343535,"1338 East Gilbert Street, Hendersonville",35.254444,-82.462778,Hendersonville Airport - 0A7,35.30461499999999,-82.42939,"1232 Shepherd Street, Hendersonville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,32.9675,-111.507778,sarita airport-37az,32.939926,-111.484495,Coolidge,32.9675,-111.507778,Valley Farms Airport-36AZ,32.9920607,-111.45094990000001,"10595 Lonesome Lane, Coolidge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,33.181389,-84.247222,griffin ndb jhh 412,33.1844154,-84.2271762,Milner,33.181389,-84.247222,snap fitness健身房,33.224667100000005,-84.270613,"1035 South Hill Street, Griffin",33.181389,-84.247222,Griffin-Spalding County Airport,33.224667100000005,-84.270613,"1035 South Hill Street, Griffin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,41.195555,-112.012778,ogden hinckley,41.1934018,-112.0088619,"3909 Airport Road, Ogden",41.195555,-112.012778,"AMRG, Inc",41.1920816,-112.0110118,"3909 Airport Road, Ogden",41.195555,-112.012778,Ogden Mountain Valley Aviation,41.192871999999994,-112.0092087,"3911 Airport Road, Ogden",41.195555,-112.012778,Roy City Municipal Heliport,41.1832775,-112.03410890000002,Roy,41.195555,-112.012778,Ogden Regional Medical Center Heliport,41.164370500000004,-111.9721828,"5405 Adams Avenue Parkway, Washington Terrace",41.195555,-112.012778,McKay-Dee Hospital Life Flight Heliport,41.18293370000001,-111.95505020000002,United States,41.195555,-112.012778,Saint Benedicts Hospital Heliport,41.16161079999999,-111.9702192,Washington Terrace,41.195555,-112.012778,Helicopters Whirly Bird,41.213474,-111.94238899999999,"2816 Polk Avenue, Ogden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,47.917778000000006,-97.494444,frokjer airport nd,47.9564304,-97.48060290000001,"1971 30th Street Northeast, Arvilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,35.586944,-94.475,strang airpark,35.544532200000006,-94.486327,Muldrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,65.57388900000001,-144.780834,central,65.57541160000001,-144.78313909999997,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,27.793055,-82.779445,bay pines veterans administration heliport,27.810369,-82.78318940000001,St. Petersburg,27.793055,-82.779445,Bay Pines VA Hospital building helo pad,27.8103945,-82.78319370000001,Bay Pines,27.793055,-82.779445,"All Points Limousine, Inc.",27.818984000000004,-82.73558,"5155 70th Street North, St. Petersburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,42.271111,-84.96333299999999,brooks,42.2549316,-84.962276,"1243 South Kalamazoo Avenue, Marshall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,36.130556,-96.080278,channel 8 heliport,36.115867200000004,-96.026667,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,62.155,-145.454444,gulkana vor dme gkn 115.6,62.153714799999996,-145.44753369999998,Gulkana,62.155,-145.454444,McCarthy Airport-15Z,62.15451619999999,-145.4683128,"Richardson Highway, Glennallen",62.155,-145.454444,Glennallen NDB GLA 248,62.19538000000001,-145.4677416,Glennallen,62.155,-145.454444,Basin Airmotive,62.10817249999999,-145.5373496,"158 Glenn Highway, Glennallen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,42.033611,-71.219445,mansfield municipal,42.0050811,-71.20066829999999,"265 Fruit Street, Mansfield",42.033611,-71.219445,Runway 4/22,42.002340600000004,-71.2008275,Mansfield,42.033611,-71.219445,Mansfield NDB IHM 220,42.002771700000004,-71.19711679999999,Mansfield,42.033611,-71.219445,Runway 14/32,41.9999414,-71.19637200000003,Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,40.935555,-75.36361099999999,pegasus airpark-50pa,40.933341399999996,-75.350257,"417 Greenview Drive, Stroudsburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,39.923334000000004,-76.876667,york aviation | york,39.9232727,-76.8775606,"6054 West Lincoln Highway, Thomasville",39.923334000000004,-76.876667,York NDB EUD 254,39.92001690000001,-76.87756970000001,Thomasville,39.923334000000004,-76.876667,Hostetter Airport,39.9250979,-76.8996971,Thomasville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,44.395833,-122.985277,cubehole,44.3645686,-122.958421,Brownsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,30.971389000000002,-84.6375,decatur county industrial air park,30.97514229999999,-84.63497389999998,"615 6th Ramp, Bainbridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,47.85,-95.526945,mathis airport my,47.86161769999999,-95.5299116,"340 Maple Street, Gonvick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
