,iata,wiki_title,state_names,num_words_matched,max_state
SPIRIT LAKE,SLC,Salt Lake City International Airport - Wikipedia,"{'Alaska': 11, 'Arizona': 1, 'California': 3, 'Colorado': 4, 'Georgia': 1, 'Idaho': 12, 'Indiana': 6, 'Kansas': 12, 'Kentucky': 4, 'Nevada': 1, 'New York': 10, 'Oklahoma': 1, 'Oregon': 1, 'Texas': 1, 'Utah': 57, 'Washington': 21, 'Wyoming': 3}",1,False
SAN JOSE INTL,SFO,San Francisco International Airport - Wikipedia,"{'Alaska': 34, 'Arkansas': 2, 'California': 111, 'Colorado': 1, 'Guam': 3, 'Hawaii': 17, 'Illinois': 1, 'Indiana': 3, 'Kansas': 6, 'Kentucky': 6, 'Massachusetts': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 13, 'Oklahoma': 1, 'Oregon': 4, 'Pennsylvania': 4, 'Washington': 33}",1,True
UNKNOWN,LGB,Long Beach Airport - Wikipedia,"{'Alaska': 4, 'Arizona': 1, 'California': 130, 'Hawaii': 11, 'Nevada': 1, 'New York': 5, 'Texas': 3, 'Utah': 1, 'Washington': 1}",0,False
SAYER FARMS,BNA,Nashville International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 7, 'Arkansas': 2, 'California': 1, 'Colorado': 1, 'Florida': 7, 'Georgia': 1, 'Illinois': 3, 'Indiana': 6, 'Iowa': 3, 'Kansas': 3, 'Kentucky': 2, 'Massachusetts': 1, 'Michigan': 1, 'New York': 10, 'North Carolina': 1, 'Oklahoma': 1, 'Tennessee': 150, 'Texas': 2, 'Washington': 12}",0,False
PRIVATE,CQM ,Ciudad Real International Airport - Wikipedia,{'New York': 2},0,True
WILKE FIELD,ORD,O'Hare International Airport - Wikipedia,"{'Alaska': 13, 'Arizona': 1, 'Arkansas': 4, 'California': 5, 'Colorado': 7, 'Florida': 14, 'Georgia': 1, 'Illinois': 81, 'Indiana': 19, 'Iowa': 11, 'Kansas': 13, 'Kentucky': 12, 'Massachusetts': 1, 'Michigan': 2, 'Minnesota': 1, 'Mississippi': 3, 'Nebraska': 2, 'New York': 22, 'Oklahoma': 2, 'Texas': 1, 'Virginia': 2, 'Washington': 37, 'West Virginia': 1, 'Wisconsin': 6}",0,False
RAPID CITY REGIONAL,RAP,Rapid City Regional Airport - Wikipedia,"{'Arizona': 2, 'Colorado': 1, 'Illinois': 1, 'Minnesota': 1, 'Nevada': 1, 'New Jersey': 1, 'North Carolina': 1, 'South Dakota': 22, 'Texas': 1, 'Utah': 1}",3,True
NEAR KATMAI,AKN,King Salmon Airport - Wikipedia,{'Alaska': 41},0,True
MONTGOMERY FIELD,MYF,Montgomery-Gibbs Executive Airport - Wikipedia,"{'California': 32, 'Oklahoma': 5}",0,True
UNIVERSITY PARK,SCE,University Park Airport - Wikipedia,"{'Florida': 2, 'Illinois': 1, 'Michigan': 1, 'Pennsylvania': 86, 'Virginia': 1, 'Washington': 11, 'Wisconsin': 3}",2,True
BRADLEY LAKE,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
