tracon_code,month,year,faa_incidents
BWI,6,1995,1
BWI,6,2000,2
BWI,7,1989,2
BWI,7,1990,1
BWI,7,1991,1
BWI,7,1992,1
BWI,7,1993,1
BWI,7,1995,1
BWI,7,1996,1
BWI,7,2009,1
BWI,7,2012,1
BWI,7,2016,1
BWI,7,2017,1
BWI,8,1989,1
BWI,8,1990,3
BWI,8,1991,3
BWI,8,1997,1
BWI,8,2002,1
BWI,8,2006,1
BWI,8,2010,1
BWI,8,2013,1
BWI,8,2018,1
BWI,9,1989,2
BWI,9,1990,2
BWI,9,1991,2
BWI,9,1992,1
BWI,9,1993,2
BWI,9,1997,1
BWI,9,1998,1
BWI,9,2000,1
BWI,9,2014,1
BWI,10,1988,2
BWI,10,1990,1
BWI,10,1991,3
BWI,10,1992,1
BWI,10,1993,2
BWI,10,1995,1
BWI,10,1997,1
BWI,10,2002,1
BWI,10,2006,1
BWI,10,2009,1
BWI,10,2011,1
BWI,11,1988,1
BWI,11,1989,1
BWI,11,1991,1
BWI,11,1992,3
BWI,11,1998,1
BWI,11,2017,1
BWI,12,1988,2
BWI,12,1990,1
BWI,12,1991,1
BWI,12,1992,1
BWI,12,1993,3
BWI,12,1995,1
BWI,12,1997,2
BWI,12,2010,1
BWI,12,2011,1
BWI,12,2012,1
CGC,1,2000,1
CGC,1,2002,1
CGC,1,2013,1
CGC,2,2016,1
CGC,3,1991,1
CGC,3,1995,1
CGC,3,2006,1
CGC,3,2012,1
CGC,3,2018,1
CGC,5,1995,2
CGC,5,2003,1
CGC,5,2005,1
CGC,5,2012,1
CGC,6,2011,1
CGC,7,1997,1
CGC,7,2002,1
CGC,8,2002,1
CGC,9,2009,1
CGC,9,2017,1
CGC,10,1997,1
CGC,10,2008,1
CGC,10,2014,1
CGC,11,1989,1
CGC,11,2007,1
CGX,1,1999,1
CGX,2,2000,1
CGX,3,1988,1
CGX,4,2000,1
CGX,5,1992,1
CGX,5,1997,1
CGX,5,1999,1
CGX,5,2002,1
CGX,6,1988,1
CGX,6,1992,1
CGX,7,1996,1
CGX,7,1998,1
CGX,8,1991,1
CGX,8,1996,1
CGX,8,1998,1
CGX,8,1999,1
CGX,11,1989,1
CGX,11,1992,1
CGX,11,2000,1
CGX,12,1998,1
CHD,1,1999,1
CHD,1,2000,1
CHD,1,2006,1
CHD,1,2008,1
CHD,1,2009,1
CHD,2,2001,1
CHD,2,2003,1
CHD,2,2009,1
CHD,2,2012,1
CHD,2,2013,1
CHD,2,2017,1
CHD,2,2018,1
CHD,3,2004,3
CHD,3,2017,1
CHD,4,1988,1
CHD,4,2005,1
CHD,4,2007,1
CHD,4,2010,1
CHD,5,1989,1
CHD,5,1997,1
CHD,5,2006,1
CHD,5,2008,1
CHD,5,2013,1
CHD,5,2014,1
CHD,6,1999,1
CHD,6,2002,1
CHD,6,2012,1
CHD,6,2013,1
CHD,6,2018,1
CHD,7,2001,1
CHD,7,2007,1
CHD,7,2011,1
CHD,8,1989,1
CHD,8,1998,1
CHD,8,2000,1
CHD,8,2013,1
CHD,9,1996,1
CHD,9,2000,1
CHD,9,2001,1
CHD,9,2004,1
CHD,9,2005,1
CHD,10,2004,1
CHD,10,2008,1
CHD,10,2011,1
CHD,10,2013,1
CHD,11,1996,1
CHD,11,2002,1
CHD,11,2005,1
CHD,11,2006,1
CHD,12,2001,2
CHD,12,2006,1
CHD,12,2010,1
CHD,12,2015,1
CJR,3,2019,1
CJR,4,1992,1
CJR,4,2000,1
CJR,4,2002,1
CJR,5,1992,1
CJR,5,2000,1
CJR,5,2003,1
CJR,6,1991,1
CJR,6,2000,1
CJR,6,2002,1
CJR,7,2012,1
CJR,7,2013,1
CJR,8,1988,1
CJR,9,2007,1
CJR,9,2010,1
CJR,10,2001,1
CJR,10,2002,1
CJR,10,2007,1
CJR,10,2008,1
CJR,11,2017,1
CJR,12,1993,1
CLE,1,1989,1
CLE,1,1992,1
CLE,1,1996,3
CLE,1,1997,1
CLE,1,1998,1
CLE,1,1999,2
CLE,1,2000,3
CLE,1,2001,1
CLE,1,2002,1
CLE,1,2004,1
CLE,1,2005,3
