,iata,wiki_title
dunsmuir municipal mott,MHS,Dunsmuir Municipal-Mott Airport - Wikipedia
dupage municipal,DPA,DuPage Airport - Wikipedia
durango la plata,DRO,Durango–La Plata County Airport - Wikipedia
durham,RDU,Raleigh–Durham International Airport - Wikipedia
dutch john,SAB,Juancho E. Yrausquin Airport - Wikipedia
eagles aerodrome,BBS,Blackbushe Airport - Wikipedia
early county,DTW,Detroit Metropolitan Airport - Wikipedia
east kansas city,MCI,Kansas City International Airport - Wikipedia
edmonton municipal,YXD,Edmonton City Centre Airport - Wikipedia
eduardo gomez airport,MEX,Mexico City International Airport - Wikipedia
edward f knapp state,MPV,Edward F. Knapp State Airport - Wikipedia
edwards county,GUF,Jack Edwards Airport - Wikipedia
el paso municipal,ELP,El Paso International Airport - Wikipedia
eldorado,BOG,El Dorado International Airport - Wikipedia
elizabethtown municipal,XBR,Brockville Regional Tackaberry Airport - Wikipedia
elmira municipal,ELM,Elmira Corning Regional Airport - Wikipedia
elwood municipal,STJ,Rosecrans Memorial Airport - Wikipedia
eugene's dream,SAN,San Diego International Airport - Wikipedia
eugenio maria de hostos,MAZ,Eugenio María de Hostos Airport - Wikipedia
exeter,EXT,Exeter Airport - Wikipedia
fairfax,KCK,Fairfax Municipal Airport - Wikipedia
fairview,ZFW,Fairview Airport - Wikipedia
fairview municipal,ZFW,Fairview Airport - Wikipedia
falcon municipal,LIT,Clinton National Airport - Wikipedia
fall river municipal,FLR,Fall River Municipal Airport - Wikipedia
far field,FAR,Hector International Airport - Wikipedia
farnsworths air strip,JFK,John F. Kennedy International Airport - Wikipedia
fernando luis ribas dominicci,SIG,Fernando Luis Ribas Dominicci Airport - Wikipedia
fire island,NLK,Norfolk Island Airport - Wikipedia
fl international,FLL,Fort Lauderdale–Hollywood International Airport - Wikipedia
flamingo airfield,LUK,Cincinnati Municipal Lunken Airport - Wikipedia
fleet field,LGB,Long Beach Airport - Wikipedia
fly high,SDX,Sedona Airport - Wikipedia
flying m,huhuu,Flying M Airport - Wikipedia
flying ten,BRS,Bristol Airport - Wikipedia
forbes field,FOE,Topeka Regional Airport - Wikipedia
forest lake,SMF,Sacramento International Airport - Wikipedia
fort collins loveland municipal,FNL,Northern Colorado Regional Airport - Wikipedia
fort hill,DFW,Dallas/Fort Worth International Airport - Wikipedia
fort smith landing strip,FLL,Fort Lauderdale–Hollywood International Airport - Wikipedia
foster field,VCT,Victoria Regional Airport - Wikipedia
francisco c. ada saipan international,SPN,Saipan International Airport - Wikipedia
frankfurt international,FRA,Frankfurt Airport - Wikipedia
frankfurt municipal,FRA,Frankfurt Airport - Wikipedia
franklin municipal,FKN,Franklin Municipal–John Beverly Rose Airport - Wikipedia
freeport international,FPO,Grand Bahama International Airport - Wikipedia
french field,ORY,Orly Airport - Wikipedia
friday harbor,FRD,Friday Harbor Airport - Wikipedia
ft atkinson municipal,PTS,Atkinson Municipal Airport - Wikipedia
ft myers municipal,COS,Colorado Springs Airport - Wikipedia
ft polk municipal,BOW,Bartow Executive Airport - Wikipedia
ft wayne municipal,FWA,Fort Wayne International Airport - Wikipedia
fulton county airport brown field,FTY,Fulton County Airport (Georgia) - Wikipedia
gallia meigs regional,GAS,Gallia–Meigs Regional Airport - Wikipedia
gander international,YQX,Gander International Airport - Wikipedia
gary municipal,MGW,Morgantown Municipal Airport - Wikipedia
gatwick international,LGW,Gatwick Airport - Wikipedia
geisinger,SCE,University Park Airport - Wikipedia
george bush intercontinental houston,IAH,George Bush Intercontinental Airport - Wikipedia
george west municipal,,St. George Municipal Airport - Wikipedia
gilmer county,GVL,Lee Gilmer Memorial Airport - Wikipedia
gold hill,ZQN,Queenstown Airport - Wikipedia
gord,YCW,Chilliwack Airport - Wikipedia
graham,PGM,Port Graham Airport - Wikipedia
grand canyon west-1,GCW,Grand Canyon West Airport - Wikipedia
grayson,PNX,North Texas Regional Airport - Wikipedia
green landings,PVD,T. F. Green Airport - Wikipedia
greenville spartanburg,GSP,Greenville–Spartanburg International Airport - Wikipedia
greenville spartanburg international,GSP,Greenville–Spartanburg International Airport - Wikipedia
greg's flying service,DTW,Detroit Metropolitan Airport - Wikipedia
griffith municipal,MGW,Morgantown Municipal Airport - Wikipedia
griswold,,Griswold Airport - Wikipedia
groton new london,GON,Groton–New London Airport - Wikipedia
guadalajara international,GDL,Miguel Hidalgo y Costilla Guadalajara International Airport - Wikipedia
