,tracon,year,month
391,BOS,1988,8
392,BOS,1988,9
393,BOS,1988,10
394,BOS,1988,11
395,BOS,1988,12
396,BOS,1989,1
397,BOS,1989,2
398,BOS,1989,3
399,BOS,1989,4
400,BOS,1989,5
401,BOS,1989,6
402,BOS,1989,7
403,BOS,1989,8
404,BOS,1989,9
405,BOS,1989,10
406,BOS,1989,11
407,BOS,1989,12
408,BOS,1990,1
409,BOS,1990,2
410,BOS,1990,3
411,BOS,1990,4
412,BOS,1990,5
413,BOS,1990,6
414,BOS,1990,7
415,BOS,1990,8
416,BOS,1990,9
417,BOS,1990,10
418,BOS,1990,11
419,BOS,1990,12
420,BOS,1991,1
421,BOS,1991,2
422,BOS,1991,3
423,BOS,1991,4
424,BOS,1991,5
425,BOS,1991,6
426,BOS,1991,7
427,BOS,1991,8
428,BOS,1991,9
429,BOS,1991,10
430,BOS,1991,11
431,BOS,1991,12
432,BOS,1992,1
433,BOS,1992,2
434,BOS,1992,3
435,BOS,1992,4
436,BOS,1992,5
437,BOS,1992,6
438,BOS,1992,7
439,BOS,1992,8
440,BOS,1992,9
441,BOS,1992,10
442,BOS,1992,11
443,BOS,1992,12
444,BOS,1993,1
445,BOS,1993,2
446,BOS,1993,3
447,BOS,1993,4
448,BOS,1993,5
449,BOS,1993,6
450,BOS,1993,7
451,BOS,1993,8
452,BOS,1993,9
453,BOS,1993,10
454,BOS,1993,11
455,BOS,1993,12
456,BOS,1994,1
457,BOS,1994,2
458,BOS,1994,3
459,BOS,1994,4
460,BOS,1994,5
461,BOS,1994,6
462,BOS,1994,7
463,BOS,1994,8
464,BOS,1994,9
465,BOS,1994,10
466,BOS,1994,11
467,BOS,1994,12
468,BOS,1995,1
469,BOS,1995,2
470,BOS,1995,3
471,BOS,1995,4
472,BOS,1995,5
473,BOS,1995,6
474,BOS,1995,7
475,BOS,1995,8
476,BOS,1995,9
477,BOS,1995,10
478,BOS,1995,11
479,BOS,1995,12
480,BOS,1996,1
481,BOS,1996,2
482,BOS,1996,3
483,BOS,1996,4
484,BOS,1996,5
485,BOS,1996,6
486,BOS,1996,7
487,BOS,1996,8
488,BOS,1996,9
489,BOS,1996,10
490,BOS,1996,11
491,BOS,1996,12
492,BOS,1997,1
493,BOS,1997,2
494,BOS,1997,3
495,BOS,1997,4
496,BOS,1997,5
497,BOS,1997,6
498,BOS,1997,7
499,BOS,1997,8
500,BOS,1997,9
501,BOS,1997,10
502,BOS,1997,11
503,BOS,1997,12
504,BOS,1998,1
505,BOS,1998,2
506,BOS,1998,3
507,BOS,1998,4
508,BOS,1998,5
509,BOS,1998,6
510,BOS,1998,7
511,BOS,1998,8
512,BOS,1998,9
513,BOS,1998,10
514,BOS,1998,11
515,BOS,1998,12
516,BOS,1999,1
517,BOS,1999,2
518,BOS,1999,3
519,BOS,1999,4
520,BOS,1999,5
521,BOS,1999,6
522,BOS,1999,7
523,BOS,1999,8
524,BOS,1999,9
525,BOS,1999,10
526,BOS,1999,11
527,BOS,1999,12
528,BOS,2000,1
529,BOS,2000,2
530,BOS,2000,3
531,BOS,2000,4
532,BOS,2000,5
533,BOS,2000,6
534,BOS,2000,7
535,BOS,2000,8
536,BOS,2000,9
537,BOS,2000,10
538,BOS,2000,11
539,BOS,2000,12
540,BOS,2001,1
541,BOS,2001,2
542,BOS,2001,3
543,BOS,2001,4
544,BOS,2001,5
545,BOS,2001,6
546,BOS,2001,7
547,BOS,2001,8
548,BOS,2001,9
549,BOS,2001,10
550,BOS,2001,11
551,BOS,2001,12
552,BOS,2002,1
553,BOS,2002,2
554,BOS,2002,3
555,BOS,2002,4
556,BOS,2002,5
557,BOS,2002,6
558,BOS,2002,7
559,BOS,2002,8
560,BOS,2002,9
561,BOS,2002,10
562,BOS,2002,11
563,BOS,2002,12
564,BOS,2003,1
565,BOS,2003,2
566,BOS,2003,3
567,BOS,2003,4
568,BOS,2003,5
569,BOS,2003,6
570,BOS,2003,7
571,BOS,2003,8
572,BOS,2003,9
573,BOS,2003,10
574,BOS,2003,11
575,BOS,2003,12
576,BOS,2004,1
577,BOS,2004,2
578,BOS,2004,3
579,BOS,2004,4
580,BOS,2004,5
581,BOS,2004,6
582,BOS,2004,7
583,BOS,2004,8
584,BOS,2004,9
585,BOS,2004,10
586,BOS,2004,11
587,BOS,2004,12
588,BOS,2005,1
589,BOS,2005,2
590,BOS,2005,3
591,BOS,2005,4
592,BOS,2005,5
593,BOS,2005,6
594,BOS,2005,7
595,BOS,2005,8
596,BOS,2005,9
597,BOS,2005,10
598,BOS,2005,11
599,BOS,2005,12
600,BOS,2006,1
601,BOS,2006,2
602,BOS,2006,3
603,BOS,2006,4
604,BOS,2006,5
605,BOS,2006,6
606,BOS,2006,7
607,BOS,2006,8
608,BOS,2006,9
609,BOS,2006,10
610,BOS,2006,11
611,BOS,2006,12
612,BOS,2007,1
613,BOS,2007,2
614,BOS,2007,3
615,BOS,2007,4
616,BOS,2007,5
617,BOS,2007,6
618,BOS,2007,7
619,BOS,2007,8
620,BOS,2007,9
621,BOS,2007,10
622,BOS,2007,11
623,BOS,2007,12
624,BOS,2008,1
625,BOS,2008,2
626,BOS,2008,3
627,BOS,2008,4
628,BOS,2008,5
629,BOS,2008,6
630,BOS,2008,7
631,BOS,2008,8
632,BOS,2008,9
633,BOS,2008,10
634,BOS,2008,11
635,BOS,2008,12
636,BOS,2009,1
637,BOS,2009,2
638,BOS,2009,3
639,BOS,2009,4
640,BOS,2009,5
641,BOS,2009,6
642,BOS,2009,7
643,BOS,2009,8
644,BOS,2009,9
645,BOS,2009,10
646,BOS,2009,11
647,BOS,2009,12
648,BOS,2010,1
649,BOS,2010,2
650,BOS,2010,3
651,BOS,2010,4
652,BOS,2010,5
653,BOS,2010,6
654,BOS,2010,7
655,BOS,2010,8
656,BOS,2010,9
657,BOS,2010,10
658,BOS,2010,11
659,BOS,2010,12
660,BOS,2011,1
661,BOS,2011,2
662,BOS,2011,3
663,BOS,2011,4
664,BOS,2011,5
665,BOS,2011,6
666,BOS,2011,7
667,BOS,2011,8
668,BOS,2011,9
669,BOS,2011,10
670,BOS,2011,11
671,BOS,2011,12
672,BOS,2012,1
673,BOS,2012,2
674,BOS,2012,3
675,BOS,2012,4
676,BOS,2012,5
677,BOS,2012,6
678,BOS,2012,7
679,BOS,2012,8
680,BOS,2012,9
681,BOS,2012,10
682,BOS,2012,11
683,BOS,2012,12
684,BOS,2013,1
685,BOS,2013,2
686,BOS,2013,3
687,BOS,2013,4
688,BOS,2013,5
689,BOS,2013,6
690,BOS,2013,7
691,BOS,2013,8
692,BOS,2013,9
693,BOS,2013,10
694,BOS,2013,11
695,BOS,2013,12
696,BOS,2014,1
697,BOS,2014,2
698,BOS,2014,3
699,BOS,2014,4
700,BOS,2014,5
701,BOS,2014,6
702,BOS,2014,7
703,BOS,2014,8
704,BOS,2014,9
705,BOS,2014,10
706,BOS,2014,11
707,BOS,2014,12
708,BOS,2015,1
709,BOS,2015,2
710,BOS,2015,3
711,BOS,2015,4
712,BOS,2015,5
713,BOS,2015,6
714,BOS,2015,7
715,BOS,2015,8
716,BOS,2015,9
717,BOS,2015,10
718,BOS,2015,11
719,BOS,2015,12
720,BOS,2016,1
721,BOS,2016,2
722,BOS,2016,3
723,BOS,2016,4
724,BOS,2016,5
725,BOS,2016,6
726,BOS,2016,7
727,BOS,2016,8
728,BOS,2016,9
729,BOS,2016,10
730,BOS,2016,11
731,BOS,2016,12
732,BOS,2017,1
733,BOS,2017,2
734,BOS,2017,3
735,BOS,2017,4
736,BOS,2017,5
737,BOS,2017,6
738,BOS,2017,7
739,BOS,2017,8
740,BOS,2017,9
741,BOS,2017,10
742,BOS,2017,11
743,BOS,2017,12
744,BOS,2018,1
745,BOS,2018,2
746,BOS,2018,3
747,BOS,2018,4
748,BOS,2018,5
749,BOS,2018,6
750,BOS,2018,7
751,BOS,2018,8
752,BOS,2018,9
753,BOS,2018,10
754,BOS,2018,11
755,BOS,2018,12
756,BOS,2019,1
757,BOS,2019,2
758,BOS,2019,3
759,BOS,2019,4
760,BOS,2019,5
761,BOS,2019,6
762,BOS,2019,7
763,BOS,2019,8
764,BOS,2019,9
765,BOS,2019,10
766,BOS,2019,11
767,BOS,2019,12
768,BWI,1988,1
769,BWI,1988,2
770,BWI,1988,3
771,BWI,1988,4
772,BWI,1988,5
773,BWI,1988,6
774,BWI,1988,7
775,BWI,1988,8
776,BWI,1988,9
777,BWI,1988,10
778,BWI,1988,11
779,BWI,1988,12
780,BWI,1989,1
781,BWI,1989,2
782,BWI,1989,3
783,BWI,1989,4
784,BWI,1989,5
785,BWI,1989,6
786,BWI,1989,7
787,BWI,1989,8
788,BWI,1989,9
789,BWI,1989,10
790,BWI,1989,11
791,BWI,1989,12
792,BWI,1990,1
793,BWI,1990,2
794,BWI,1990,3
795,BWI,1990,4
796,BWI,1990,5
797,BWI,1990,6
798,BWI,1990,7
799,BWI,1990,8
800,BWI,1990,9
801,BWI,1990,10
802,BWI,1990,11
803,BWI,1990,12
804,BWI,1991,1
805,BWI,1991,2
806,BWI,1991,3
807,BWI,1991,4
808,BWI,1991,5
809,BWI,1991,6
810,BWI,1991,7
811,BWI,1991,8
812,BWI,1991,9
813,BWI,1991,10
814,BWI,1991,11
815,BWI,1991,12
816,BWI,1992,1
817,BWI,1992,2
818,BWI,1992,3
819,BWI,1992,4
820,BWI,1992,5
821,BWI,1992,6
822,BWI,1992,7
823,BWI,1992,8
824,BWI,1992,9
825,BWI,1992,10
826,BWI,1992,11
827,BWI,1992,12
828,BWI,1993,1
829,BWI,1993,2
830,BWI,1993,3
831,BWI,1993,4
832,BWI,1993,5
833,BWI,1993,6
834,BWI,1993,7
835,BWI,1993,8
836,BWI,1993,9
837,BWI,1993,10
838,BWI,1993,11
839,BWI,1993,12
840,BWI,1994,1
841,BWI,1994,2
842,BWI,1994,3
843,BWI,1994,4
844,BWI,1994,5
845,BWI,1994,6
846,BWI,1994,7
847,BWI,1994,8
848,BWI,1994,9
849,BWI,1994,10
850,BWI,1994,11
851,BWI,1994,12
852,BWI,1995,1
853,BWI,1995,2
854,BWI,1995,3
855,BWI,1995,4
856,BWI,1995,5
857,BWI,1995,6
858,BWI,1995,7
859,BWI,1995,8
860,BWI,1995,9
861,BWI,1995,10
862,BWI,1995,11
863,BWI,1995,12
864,BWI,1996,1
865,BWI,1996,2
866,BWI,1996,3
867,BWI,1996,4
868,BWI,1996,5
869,BWI,1996,6
870,BWI,1996,7
871,BWI,1996,8
872,BWI,1996,9
873,BWI,1996,10
874,BWI,1996,11
875,BWI,1996,12
876,BWI,1997,1
877,BWI,1997,2
878,BWI,1997,3
879,BWI,1997,4
880,BWI,1997,5
881,BWI,1997,6
882,BWI,1997,7
883,BWI,1997,8
884,BWI,1997,9
885,BWI,1997,10
886,BWI,1997,11
887,BWI,1997,12
888,BWI,1998,1
889,BWI,1998,2
890,BWI,1998,3
891,BWI,1998,4
892,BWI,1998,5
893,BWI,1998,6
894,BWI,1998,7
895,BWI,1998,8
896,BWI,1998,9
897,BWI,1998,10
898,BWI,1998,11
899,BWI,1998,12
900,BWI,1999,1
901,BWI,1999,2
902,BWI,1999,3
903,BWI,1999,4
904,BWI,1999,5
905,BWI,1999,6
906,BWI,1999,7
907,BWI,1999,8
908,BWI,1999,9
909,BWI,1999,10
910,BWI,1999,11
911,BWI,1999,12
912,BWI,2000,1
913,BWI,2000,2
914,BWI,2000,3
915,BWI,2000,4
916,BWI,2000,5
917,BWI,2000,6
918,BWI,2000,7
919,BWI,2000,8
920,BWI,2000,9
921,BWI,2000,10
922,BWI,2000,11
923,BWI,2000,12
924,BWI,2001,1
925,BWI,2001,2
926,BWI,2001,3
927,BWI,2001,4
928,BWI,2001,5
929,BWI,2001,6
930,BWI,2001,7
931,BWI,2001,8
932,BWI,2001,9
933,BWI,2001,10
934,BWI,2001,11
935,BWI,2001,12
936,BWI,2002,1
937,BWI,2002,2
938,BWI,2002,3
939,BWI,2002,4
940,BWI,2002,5
941,BWI,2002,6
942,BWI,2002,7
943,BWI,2002,8
944,BWI,2002,9
945,BWI,2002,10
946,BWI,2002,11
947,BWI,2002,12
948,BWI,2003,1
949,BWI,2003,2
950,BWI,2003,3
951,BWI,2003,4
952,BWI,2003,5
953,BWI,2003,6
954,BWI,2003,7
955,BWI,2003,8
956,BWI,2003,9
957,BWI,2003,10
958,BWI,2003,11
959,BWI,2003,12
960,BWI,2004,1
961,BWI,2004,2
962,BWI,2004,3
963,BWI,2004,4
964,BWI,2004,5
965,BWI,2004,6
966,BWI,2004,7
967,BWI,2004,8
968,BWI,2004,9
969,BWI,2004,10
970,BWI,2004,11
971,BWI,2004,12
972,BWI,2005,1
973,BWI,2005,2
974,BWI,2005,3
975,BWI,2005,4
976,BWI,2005,5
977,BWI,2005,6
978,BWI,2005,7
979,BWI,2005,8
980,BWI,2005,9
981,BWI,2005,10
982,BWI,2005,11
983,BWI,2005,12
984,BWI,2006,1
985,BWI,2006,2
986,BWI,2006,3
987,BWI,2006,4
988,BWI,2006,5
989,BWI,2006,6
990,BWI,2006,7
991,BWI,2006,8
992,BWI,2006,9
993,BWI,2006,10
994,BWI,2006,11
995,BWI,2006,12
996,BWI,2007,1
997,BWI,2007,2
998,BWI,2007,3
999,BWI,2007,4
1000,BWI,2007,5
1001,BWI,2007,6
1002,BWI,2007,7
1003,BWI,2007,8
1004,BWI,2007,9
1005,BWI,2007,10
1006,BWI,2007,11
1007,BWI,2007,12
1008,BWI,2008,1
1009,BWI,2008,2
1010,BWI,2008,3
1011,BWI,2008,4
1012,BWI,2008,5
1013,BWI,2008,6
1014,BWI,2008,7
1015,BWI,2008,8
1016,BWI,2008,9
1017,BWI,2008,10
1018,BWI,2008,11
1019,BWI,2008,12
1020,BWI,2009,1
1021,BWI,2009,2
1022,BWI,2009,3
1023,BWI,2009,4
1024,BWI,2009,5
1025,BWI,2009,6
1026,BWI,2009,7
1027,BWI,2009,8
1028,BWI,2009,9
1029,BWI,2009,10
1030,BWI,2009,11
1031,BWI,2009,12
1032,BWI,2010,1
1033,BWI,2010,2
1034,BWI,2010,3
1035,BWI,2010,4
1036,BWI,2010,5
1037,BWI,2010,6
1038,BWI,2010,7
1039,BWI,2010,8
1040,BWI,2010,9
1041,BWI,2010,10
1042,BWI,2010,11
1043,BWI,2010,12
1044,BWI,2011,1
1045,BWI,2011,2
1046,BWI,2011,3
1047,BWI,2011,4
1048,BWI,2011,5
1049,BWI,2011,6
1050,BWI,2011,7
1051,BWI,2011,8
1052,BWI,2011,9
1053,BWI,2011,10
1054,BWI,2011,11
1055,BWI,2011,12
1056,BWI,2012,1
1057,BWI,2012,2
1058,BWI,2012,3
1059,BWI,2012,4
1060,BWI,2012,5
1061,BWI,2012,6
1062,BWI,2012,7
1063,BWI,2012,8
1064,BWI,2012,9
1065,BWI,2012,10
1066,BWI,2012,11
1067,BWI,2012,12
1068,BWI,2013,1
1069,BWI,2013,2
1070,BWI,2013,3
1071,BWI,2013,4
1072,BWI,2013,5
1073,BWI,2013,6
1074,BWI,2013,7
1075,BWI,2013,8
1076,BWI,2013,9
1077,BWI,2013,10
1078,BWI,2013,11
1079,BWI,2013,12
1080,BWI,2014,1
1081,BWI,2014,2
1082,BWI,2014,3
1083,BWI,2014,4
1084,BWI,2014,5
1085,BWI,2014,6
1086,BWI,2014,7
1087,BWI,2014,8
1088,BWI,2014,9
1089,BWI,2014,10
1090,BWI,2014,11
1091,BWI,2014,12
1092,BWI,2015,1
1093,BWI,2015,2
1094,BWI,2015,3
1095,BWI,2015,4
1096,BWI,2015,5
1097,BWI,2015,6
1098,BWI,2015,7
1099,BWI,2015,8
1100,BWI,2015,9
1101,BWI,2015,10
1102,BWI,2015,11
1103,BWI,2015,12
1104,BWI,2016,1
1105,BWI,2016,2
1106,BWI,2016,3
1107,BWI,2016,4
1108,BWI,2016,5
1109,BWI,2016,6
1110,BWI,2016,7
1111,BWI,2016,8
1112,BWI,2016,9
1113,BWI,2016,10
1114,BWI,2016,11
1115,BWI,2016,12
1116,BWI,2017,1
1117,BWI,2017,2
1118,BWI,2017,3
1119,BWI,2017,4
1120,BWI,2017,5
1121,BWI,2017,6
1122,BWI,2017,7
1123,BWI,2017,8
1124,BWI,2017,9
1125,BWI,2017,10
1126,BWI,2017,11
1127,BWI,2017,12
1128,BWI,2018,1
1129,BWI,2018,2
1130,BWI,2018,3
1131,BWI,2018,4
1132,BWI,2018,5
1133,BWI,2018,6
1134,BWI,2018,7
1135,BWI,2018,8
1136,BWI,2018,9
1137,BWI,2018,10
1138,BWI,2018,11
1139,BWI,2018,12
1140,BWI,2019,1
1141,BWI,2019,2
1142,BWI,2019,3
1143,BWI,2019,4
1144,BWI,2019,5
1145,BWI,2019,6
1146,BWI,2019,7
1147,BWI,2019,8
1148,BWI,2019,9
1149,BWI,2019,10
1150,BWI,2019,11
1151,BWI,2019,12
1152,CLT,1988,1
1153,CLT,1988,2
1154,CLT,1988,3
1155,CLT,1988,4
1156,CLT,1988,5
1157,CLT,1988,6
1158,CLT,1988,7
1159,CLT,1988,8
1160,CLT,1988,9
1161,CLT,1988,10
1162,CLT,1988,11
1163,CLT,1988,12
1164,CLT,1989,1
1165,CLT,1989,2
1166,CLT,1989,3
1167,CLT,1989,4
1168,CLT,1989,5
1169,CLT,1989,6
1170,CLT,1989,7
1171,CLT,1989,8
1172,CLT,1989,9
1173,CLT,1989,10
1174,CLT,1989,11
1175,CLT,1989,12
1176,CLT,1990,1
1177,CLT,1990,2
1178,CLT,1990,3
1179,CLT,1990,4
1180,CLT,1990,5
1181,CLT,1990,6
1182,CLT,1990,7
1183,CLT,1990,8
1184,CLT,1990,9
1185,CLT,1990,10
1186,CLT,1990,11
1187,CLT,1990,12
1188,CLT,1991,1
1189,CLT,1991,2
1190,CLT,1991,3
1191,CLT,1991,4
1192,CLT,1991,5
1193,CLT,1991,6
1194,CLT,1991,7
1195,CLT,1991,8
1196,CLT,1991,9
1197,CLT,1991,10
1198,CLT,1991,11
1199,CLT,1991,12
1200,CLT,1992,1
1201,CLT,1992,2
1202,CLT,1992,3
1203,CLT,1992,4
1204,CLT,1992,5
1205,CLT,1992,6
1206,CLT,1992,7
1207,CLT,1992,8
1208,CLT,1992,9
1209,CLT,1992,10
1210,CLT,1992,11
1211,CLT,1992,12
1212,CLT,1993,1
1213,CLT,1993,2
1214,CLT,1993,3
1215,CLT,1993,4
1216,CLT,1993,5
1217,CLT,1993,6
1218,CLT,1993,7
1219,CLT,1993,8
1220,CLT,1993,9
1221,CLT,1993,10
1222,CLT,1993,11
1223,CLT,1993,12
1224,CLT,1994,1
1225,CLT,1994,2
1226,CLT,1994,3
1227,CLT,1994,4
1228,CLT,1994,5
1229,CLT,1994,6
1230,CLT,1994,7
1231,CLT,1994,8
1232,CLT,1994,9
1233,CLT,1994,10
1234,CLT,1994,11
1235,CLT,1994,12
1236,CLT,1995,1
1237,CLT,1995,2
1238,CLT,1995,3
1239,CLT,1995,4
1240,CLT,1995,5
1241,CLT,1995,6
1242,CLT,1995,7
1243,CLT,1995,8
1244,CLT,1995,9
1245,CLT,1995,10
1246,CLT,1995,11
1247,CLT,1995,12
