,year,month,tracon_code,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
37,1994,2,ORD,1,1,326,162,7,3,37,18,1.0,326.0,162.0,7.0,3.0,37.0,18.0
38,1994,4,DTW,1,1,526,242,8,5,94,33,1.0,526.0,242.0,8.0,5.0,94.0,33.0
39,1994,8,CLT,1,1,52,42,0,0,6,5,1.0,52.0,42.0,0.0,0.0,6.0,5.0
40,1994,9,BOS,1,1,84,63,4,3,12,11,1.0,84.0,63.0,4.0,3.0,12.0,11.0
41,1994,10,DFW,1,1,1044,430,20,10,102,52,1.0,1044.0,430.0,20.0,10.0,102.0,52.0
42,1994,11,DEN,1,1,678,273,10,5,103,37,1.0,678.0,273.0,10.0,5.0,103.0,37.0
43,1995,1,BWI,1,1,228,125,5,3,28,17,1.0,228.0,125.0,5.0,3.0,28.0,17.0
44,1995,1,DEN,1,1,82,58,1,1,8,7,1.0,82.0,58.0,1.0,1.0,8.0,7.0
45,1995,1,IAH,1,1,382,187,11,7,54,25,1.0,382.0,187.0,11.0,7.0,54.0,25.0
46,1995,1,LAX,1,1,112,70,2,1,13,11,1.0,112.0,70.0,2.0,1.0,13.0,11.0
47,1995,2,SLC,1,2,348,178,10,4,57,29,2.0,348.0,178.0,10.0,4.0,57.0,29.0
48,1995,4,LAX,1,1,229,114,4,3,29,20,1.0,229.0,114.0,4.0,3.0,29.0,20.0
49,1995,6,DFW,1,1,148,80,6,3,28,17,1.0,148.0,80.0,6.0,3.0,28.0,17.0
50,1995,9,SLC,1,2,187,92,4,1,28,12,2.0,187.0,92.0,4.0,1.0,28.0,12.0
51,1995,11,ATL,1,1,318,145,15,4,62,23,1.0,318.0,145.0,15.0,4.0,62.0,23.0
52,1995,11,SFO,1,1,102,84,6,5,23,19,1.0,102.0,84.0,6.0,5.0,23.0,19.0
53,1996,1,DTW,1,1,263,141,1,1,32,15,1.0,263.0,141.0,1.0,1.0,32.0,15.0
54,1996,3,JFK,1,1,57,44,1,1,15,11,1.0,57.0,44.0,1.0,1.0,15.0,11.0
55,1996,3,MIA,1,1,168,109,6,6,27,16,1.0,168.0,109.0,6.0,6.0,27.0,16.0
56,1996,5,DCA,1,1,124,78,5,2,17,11,1.0,124.0,78.0,5.0,2.0,17.0,11.0
57,1996,5,DFW,1,1,296,157,21,8,44,21,1.0,296.0,157.0,21.0,8.0,44.0,21.0
58,1996,7,PHL,1,1,136,93,2,2,25,21,1.0,136.0,93.0,2.0,2.0,25.0,21.0
59,1996,9,TPA,1,2,315,166,10,7,41,28,2.0,315.0,166.0,10.0,7.0,41.0,28.0
60,1996,11,DCA,2,3,284,164,12,4,48,31,1.5,142.0,82.0,6.0,2.0,24.0,15.5
61,1996,11,IAD,1,2,194,105,9,2,32,19,2.0,194.0,105.0,9.0,2.0,32.0,19.0
62,1996,11,SEA,1,1,491,232,5,3,37,20,1.0,491.0,232.0,5.0,3.0,37.0,20.0
63,1997,4,BOS,1,1,103,79,6,5,24,17,1.0,103.0,79.0,6.0,5.0,24.0,17.0
64,1997,5,DFW,1,1,110,68,0,0,19,11,1.0,110.0,68.0,0.0,0.0,19.0,11.0
65,1997,7,DEN,1,1,219,117,15,3,42,19,1.0,219.0,117.0,15.0,3.0,42.0,19.0
66,1997,8,CLT,1,1,88,70,5,3,15,10,1.0,88.0,70.0,5.0,3.0,15.0,10.0
67,1997,9,DFW,1,1,69,46,0,0,14,8,1.0,69.0,46.0,0.0,0.0,14.0,8.0
68,1997,11,MEM,1,2,403,189,6,3,38,16,2.0,403.0,189.0,6.0,3.0,38.0,16.0
69,1998,2,MEM,1,1,181,100,0,0,24,7,1.0,181.0,100.0,0.0,0.0,24.0,7.0
70,1998,2,SAN,1,1,166,107,6,3,36,18,1.0,166.0,107.0,6.0,3.0,36.0,18.0
71,1998,4,BWI,1,1,410,197,12,2,58,31,1.0,410.0,197.0,12.0,2.0,58.0,31.0
72,1998,5,DEN,1,1,536,248,16,7,90,39,1.0,536.0,248.0,16.0,7.0,90.0,39.0
73,1998,6,DFW,1,1,32,25,4,1,10,7,1.0,32.0,25.0,4.0,1.0,10.0,7.0
74,1998,7,DTW,1,1,233,128,4,3,18,12,1.0,233.0,128.0,4.0,3.0,18.0,12.0
75,1998,7,LAS,1,1,756,327,12,3,83,30,1.0,756.0,327.0,12.0,3.0,83.0,30.0
76,1998,7,PHL,1,1,210,128,3,1,36,23,1.0,210.0,128.0,3.0,1.0,36.0,23.0
