eventairport_conv,eventcity
pontotoc county,2
onawa municipal,2
pontiac municipal,2
skyway estates,2
parkland,2
pine shadows airpark,2
pine hill,2
pauls valley municipal,2
smiley creek,2
piggott municipal,2
spitfire aerodrome,2
spadaro,2
picayune municipal,2
smiley johnson municipal bass field,2
south lafourche leonard miller jr,2
pepperell,2
springfield municipal,2
paoli municipal,2
springfield robertson county,2
orr regional,2
polson,2
stockton municipal,2
skydive greene county inc,2
stanton municipal,2
orlando north airpark,2
palomino,2
st. tammany regional,2
st mary's,2
piseco,2
ozark franklin county,2
st james municipal,2
pipestone municipal,2
new gulf,2
shearer usfs,2
milan,2
scott,2
mears field,2
mecklenburg brunswick regional,2
medford municipal,2
reedsburg municipal,2
searchlight,2
vici municipal,2
seeley lake,2
seligman,2
merrymeeting field,2
union parish,2
red oak municipal,2
twin pine,2
mead flying service,2
reserve,2
mc connell air force base,2
waterbury,2
mathis,2
sargent municipal,2
washington county memorial,2
savannah hardin county,2
riddick field,2
warren,2
warrenton air park,2
mc entire jngb,2
mc gill,2
richwood municipal,2
richard b helgeson,2
milaca municipal,2
twin oaks,2
tishomingo county,2
seneca county,2
murphy,2
tonasket municipal,2
myrick,2
myricks,2
tombstone municipal,2
seymour lake spb,2
nash field indianola,2
shade tree field,2
navasota municipal,2
necedah,2
todd field,2
shattuck hospital,2
trading bay production,2
transylvania county,2
real county,2
twin bridges,2
red cloud municipal,2
monticello municipal ellis field,2
turlock airpark,2
trinity center,2
mount vernon municipal,2
morgan county,2
morgan field,2
tri county,2
rattlesnake island,2
tremonton municipal,2
mount snow,2
turlock municipal,2
zuehl,2
dexter regional,2
fayette,2
indian creek usfs,2
harold krier field,2
idabel,2
hyde county,2
beech river regional,2
belle glade state municipal,2
belleville,2
chase city municipal,2
belleville municipal,2
farmers pride,2
beltzville,2
belzoni municipal,2
huntingdon,2
hulett municipal,2
harris hill,2
benton county,2
berg field,2
howard nixon memorial,2
howard county,2
houston municipal,2
houston executive,2
hartenbower hectares,2
fillmore county,2
harvard state,2
harvey municipal,2
hornell municipal,2
cook county,2
fred netterville lbr co wilkinson commnty,2
atmore municipal,2
boonville,2
atoka municipal,2
eutaw municipal,2
crawford,2
crandon steve conway municipal,2
bucks,2
jennings,2
gustine,2
friends,2
fremont,2
buchan,2
bamberg county,2
chambers county,2
freehold,2
jackson,2
costin,2
j. douglas bake memorial.,2
brookville air park,2
iuka,2
brooks county,2
islesboro,2
isedor iverson,2
hannibal regional,2
isbell field,2
baublitz commercial,2
corning painted post,2
berry hill,2
clare county,2
boyne city municipal,2
bison municipal,2
flying heart ranch,2
heber airpark,2
high valley airpark,2
bloomfield municipal,2
hidden valley,2
chilhowee,2
honeoye falls,2
cisco municipal,2
fostoria metropolitan,2
boscobel,2
chinle,2
fosston municipal,2
chloride,2
fort atkinson municipal,2
bluebird airpark,2
henderson aviation,2
chowchilla,2
henry post aaf fort sill,2
fort morgan municipal,2
branch county memorial,2
hazen municipal,2
billy free municipal,2
hondarosa,2
homedale municipal,2
colville municipal,2
five mile,2
columbus county municipal,2
hawkins county,2
hawley municipal,2
hawthorne feather airpark,2
hollandale municipal,2
florala municipal,2
bredlow farm,2
floydada municipal,2
clinton memorial,2
breakaway park,2
hinshaw greenacres,2
big sandy,2
franconia,2
clewiston,2
flying circus aerodrome,2
branhams,2
hillside,2
hillsdale municipal,2
hillcrest,2
frisco municipal,2
henderson city county,2
east gull lake,2
great valley,2
kidwell,2
caesar creek,2
ds butler farm and airfield,2
key west nas boca chica field,2
jimmy carter regional,2
camp lake,2
cabin creek usfs,2
grawunder field,2
lake bird,2
lake chelan,2
kimball municipal robert e arraj field,2
daniels field,2
kendallville municipal,2
american legion village of centertown,2
green acres,2
downtown manhattan wall st,2
la cholla airpark,2
kelly ranch,2
lake palourde base,2
duchesne municipal,2
causey,2
de motte,2
kutztown,2
gateway,2
caruthersville memorial,2
graham municipal,2
kobelt,2
airpark east,2
eads municipal,2
aitkin municipal steve kurtz field,2
camas county,2
delano municipal,2
granby grand county,2
alameda arpt,2
casey municipal,2
kingsland estates,2
calhoun county,2
kingfisher,2
earl l. small jr. field stockmar,2
king ranch,2
cynthiana harrison county,2
la junta municipal,2
custer state park,2
crivitz municipal,2
curtis municipal,2
elizabethton municipal,2
cantwell,2
abilene municipal,2
arch,2
elk grove,2
ells field willits municipal,2
jones memorial,2
elma municipal,2
arco butte county,2
burnett county,2
gettysburg municipal,2
carl folsom,2
glad oaks,2
ashe county,2
johnnycake,2
abba's,2
crewe municipal,2
chamberlain municipal,2
astronaut kent rominger,2
eufaula municipal,2
buffalo lancaster regional,2
crazy horse municipal,2
grundy municipal,2
crosbyton municipal,2
butts aaf fort carson,2
julian carroll,2
central city municipal larry reineke field,2
cuchara valley at la veta,2
grimes,2
lake wales,2
karnes county,2
doniphan municipal,2
eldon model airpark,2
cuba municipal,2
greenfield municipal,2
antiquers aerodrome,2
glenns ferry municipal,2
glenn's strip,2
curtis l brown jr field,2
central farmers coop,2
south grand lake regional,1
carrizozo municipal,1
south expressway,1
carter,1
stephen municipal,1
stevenson,1
steven a. bean municipal,1
china lake naws armitage field,1
stigler regional,1
chesapeake ranch,1
carthage leake county,1
south texas international at edinburg,1
cheryl lane landings,1
carrollton memorial,1
stevensville,1
st ignatius,1
cherrystone,1
cherry point mcas cunningham field,1
chattanooga sky harbor,1
cedar island,1
cedar valley,1
charleston municipal,1
charles r johnson,1
charles e grutzmacher municipal,1
chariton municipal,1
chandelle,1
st elmo,1
central industries,1
centre airpark,1
centre piedmont county regional,1
chadwick,1
chambers,1
chehalem airpark,1
stafford,1
cavanaugh,1
state prison field,1
southern cross,1
staples municipal,1
cassville municipal,1
caswell,1
southern natural gas co.,1
southland field,1
southwest citrus,1
split b ranch,1
cayuse creek usfs,1
chena river,1
spencerport airpark,1
standing rock,1
stambaugh,1
spicewood,1
chena marina,1
comanche county city,1
south capitol street,1
sarasota memorial hospital,1
scobey,1
schuy rush,1
currier's,1
sauk centre municipal,1
dale hollow regional petro field,1
david's,1
dan e richards municipal,1
danville municipal,1
sanford municipal,1
darby dan,1
darrington municipal,1
scott field,1
scott seed farm,1
scotts,1
crooked lake,1
seaplane landing area,1
crisfield municipal,1
seaside municipal,1
seattle seaplanes,1
creole,1
sebewaing,1
selby general hospital,1
crawford co,1
sells,1
craigmont municipal,1
cozad municipal,1
sentara norfolk general hospital,1
serene field,1
david jay perry,1
sand ridge airpark inc,1
department of corrections field,1
sac city municipal,1
sabetha municipal,1
demopolis municipal,1
ryan aerodrome,1
denali,1
dermott municipal,1
sand lake,1
desert center,1
ruby star airpark,1
devine municipal,1
dexter municipal,1
round valley,1
delphi municipal,1
dell flight strip,1
deer pasture,1
dee jay,1
deck airpark,1
dean memorial,1
dean griffin memorial,1
de witt municipal,1
de quincy industrial airpark,1
salty approach,1
sam riggs airpark,1
san augustine county,1
san clemente island nalf,1
dayton valley airpark,1
davis monthan air force base,1
sanctuary,1
sand canyon,1
covington vincent,1
country squire airpark,1
cline falls air park,1
slatington,1
slate creek,1
clear,1
skyway airpark,1
clearwater airpark,1
skyport,1
clinton,1
cougar mountain airfield,1
cockfield aerodrome,1
sky ranch for boys,1
colorado city municipal,1
sky classics field,1
cle elum municipal,1
sleepers strip,1
clay center municipal,1
claxton evans county,1
slobovia outernational,1
sloulin field int'l apt,1
clarksville red river cty j d trissell field,1
clarion municipal,1
smith rla,1
city of las animas bent county,1
snook,1
cindy guntly memorial,1
cibecue,1
church hill,1
christman field,1
sontimer,1
skelton,1
stoltzfus airfield,1
comanche creek,1
shields,1
shamrock municipal,1
shands cair,1
sharon,1
corsica municipal,1
shaw island trust,1
shawano municipal,1
corpus christi nas truax field,1
shelby air service,1
shelby community,1
coral ocean point pro shop,1
concord airpark,1
sherlock field,1
sherman,1
conchas lake,1
shiflet field,1
sisseton municipal,1
shiocton,1
short creek,1
shoshone,1
shoshone county,1
community medical center,1
sierraville dearwater,1
sigourney iowa,1
siletz bay state,1
commerce municipal,1
comfort airpark,1
sioux center municipal,1
brundidge municipal,1
stonington airpark,1
audubon county,1
west feliciana parish hospital,1
wesson davis field,1
atwood rawlins county city county,1
auburn academy,1
wendell h ford,1
west penn hospital,1
avoca,1
aztec municipal,1
backachers ranch,1
bailes,1
bandera state,1
weed,1
west middlesex,1
applegate,1
wheatland,1
whetstone,1
wheeler sack aaf,1
wheeler,1
wheaton municipal,1
ardmore,1
atlanta south regional,1
arkavalley,1
arnold field,1
arthur municipal,1
westheimer air park,1
asplundh,1
westfield,1
barrett field,1
becker personal,1
warren usfs,1
belmond municipal,1
warner lambert parking lot,1
ware island,1
benjamin franklin,1
walsh,1
barton,1
wall lake municipal,1
wall flying service,1
bennett field,1
wakeman,1
bergseth field,1
berlin field,1
beaver marsh state,1
beaufort mcas merritt field,1
washington island,1
bear lake county,1
beagle sky ranch,1
waskish municipal,1
bayview farms,1
baugh flight park,1
baudette flying service,1
watford city municipal,1
