airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
RBL,Red Bluff Municipal Airport,1995,02,1,0
RBL,Red Bluff Municipal Airport,1995,05,1,0
RBL,Red Bluff Municipal Airport,1996,07,1,0
RBL,Red Bluff Municipal Airport,1998,12,1,0
RBL,Red Bluff Municipal Airport,2003,05,1,0
RBL,Red Bluff Municipal Airport,2006,08,1,0
RBL,Red Bluff Municipal Airport,2015,03,1,0
RBO,Roboré Airport,2019,12,1,0
RBQ,Rurenabaque Airport,2004,08,1,0
RBW,Lowcountry Regional Airport,1982,09,1,0
RBW,Lowcountry Regional Airport,1984,02,1,0
RBW,Lowcountry Regional Airport,1986,05,1,0
RBW,Lowcountry Regional Airport,1991,10,1,0
RBW,Lowcountry Regional Airport,2004,07,1,0
RBW,Lowcountry Regional Airport,2011,01,0,1
RBY,Ruby Airport,1986,12,1,0
RBY,Ruby Airport,1988,03,1,0
RBY,Ruby Airport,1991,08,1,0
RBY,Ruby Airport,2000,09,1,0
RCE,Roche Harbor Airport,2012,03,1,0
RCM,Richmond Airport,2007,07,1,0
RCM,Richmond Airport,2010,12,1,0
RCR,Fulton County Airport,1983,03,1,0
RCR,Fulton County Airport,1985,06,1,0
RCR,Fulton County Airport,1985,12,1,0
RCR,Fulton County Airport,1987,09,1,0
RCR,Fulton County Airport,1990,01,1,0
RCR,Fulton County Airport,1991,01,1,0
RCR,Fulton County Airport,1993,08,1,0
RCR,Fulton County Airport,1994,03,0,1
RCR,Fulton County Airport,1995,10,1,0
RCR,Fulton County Airport,1999,11,1,0
RCR,Fulton County Airport,2005,02,1,0
RCR,Fulton County Airport,2009,11,1,0
RCR,Fulton County Airport,2017,08,1,0
RCR,Fulton County Airport,2020,05,1,0
RCR,Fulton County Airport,2020,07,0,0
RDB,Red Dog Airport,1985,06,1,0
RDB,Red Dog Airport,2017,05,1,0
RDD,Redding Municipal Airport,1983,05,1,0
RDD,Redding Municipal Airport,1983,06,1,0
RDD,Redding Municipal Airport,1983,09,1,0
RDD,Redding Municipal Airport,1983,11,1,0
RDD,Redding Municipal Airport,1988,02,1,0
RDD,Redding Municipal Airport,1988,06,1,0
RDD,Redding Municipal Airport,1989,04,1,0
RDD,Redding Municipal Airport,1991,04,1,0
RDD,Redding Municipal Airport,1998,06,1,0
RDD,Redding Municipal Airport,2000,04,1,0
RDD,Redding Municipal Airport,2003,04,2,0
RDD,Redding Municipal Airport,2005,08,1,0
RDD,Redding Municipal Airport,2006,11,1,0
RDD,Redding Municipal Airport,2008,04,1,0
RDD,Redding Municipal Airport,2008,05,1,0
RDD,Redding Municipal Airport,2017,05,1,0
RDD,Redding Municipal Airport,2017,08,1,0
RDD,Redding Municipal Airport,2018,11,1,0
RDG,Reading Regional Carl A Spaatz Field,1983,02,1,0
RDG,Reading Regional Carl A Spaatz Field,1987,05,1,0
RDG,Reading Regional Carl A Spaatz Field,1990,08,1,0
RDG,Reading Regional Carl A Spaatz Field,1999,12,1,0
RDG,Reading Regional Carl A Spaatz Field,2001,09,1,0
RDG,Reading Regional Carl A Spaatz Field,2002,08,1,0
RDG,Reading Regional Carl A Spaatz Field,2003,12,1,0
RDG,Reading Regional Carl A Spaatz Field,2008,08,1,1
RDG,Reading Regional Carl A Spaatz Field,2011,02,1,0
RDG,Reading Regional Carl A Spaatz Field,2014,06,1,0
RDG,Reading Regional Carl A Spaatz Field,2015,08,1,0
RDM,Roberts Field,1982,08,1,0
RDM,Roberts Field,1982,10,1,0
RDM,Roberts Field,1983,01,1,0
RDM,Roberts Field,1984,07,1,0
RDM,Roberts Field,1989,10,1,0
RDM,Roberts Field,1990,03,1,0
RDM,Roberts Field,1990,07,1,0
RDM,Roberts Field,1997,05,1,0
RDM,Roberts Field,1998,04,1,0
RDM,Roberts Field,1999,06,1,0
RDM,Roberts Field,2001,07,1,0
RDM,Roberts Field,2004,02,1,0
RDM,Roberts Field,2004,04,1,0
RDM,Roberts Field,2004,08,1,0
RDM,Roberts Field,2004,11,1,0
RDM,Roberts Field,2010,05,1,0
RDM,Roberts Field,2012,04,1,0
RDM,Roberts Field,2013,01,1,0
RDM,Roberts Field,2013,09,1,0
RDM,Roberts Field,2020,07,1,0
RDU,Raleigh Durham International Airport,1982,08,1,0
RDU,Raleigh Durham International Airport,1985,02,1,0
RDU,Raleigh Durham International Airport,1986,07,1,0
RDU,Raleigh Durham International Airport,1987,05,1,0
RDU,Raleigh Durham International Airport,1987,07,1,0
RDU,Raleigh Durham International Airport,1988,02,1,0
RDU,Raleigh Durham International Airport,1988,05,2,0
RDU,Raleigh Durham International Airport,1989,08,1,0
RDU,Raleigh Durham International Airport,1989,11,1,0
RDU,Raleigh Durham International Airport,1990,01,1,0
RDU,Raleigh Durham International Airport,1991,02,1,0
RDU,Raleigh Durham International Airport,1991,07,1,0
RDU,Raleigh Durham International Airport,1992,02,1,0
RDU,Raleigh Durham International Airport,1994,12,1,0
RDU,Raleigh Durham International Airport,1995,07,1,0
RDU,Raleigh Durham International Airport,1996,02,0,1
RDU,Raleigh Durham International Airport,1996,04,1,0
RDU,Raleigh Durham International Airport,1997,12,1,0
RDU,Raleigh Durham International Airport,1999,02,1,0
RDU,Raleigh Durham International Airport,1999,11,1,0
RDU,Raleigh Durham International Airport,2000,07,1,0
RDU,Raleigh Durham International Airport,2001,10,1,0
RDU,Raleigh Durham International Airport,2001,12,1,0
RDU,Raleigh Durham International Airport,2002,03,1,0
RDU,Raleigh Durham International Airport,2003,08,0,1
RDU,Raleigh Durham International Airport,2003,09,1,0
RDU,Raleigh Durham International Airport,2004,05,2,0
RDU,Raleigh Durham International Airport,2005,03,1,0
RDU,Raleigh Durham International Airport,2005,05,1,0
RDU,Raleigh Durham International Airport,2006,11,1,0
RDU,Raleigh Durham International Airport,2007,06,1,0
RDU,Raleigh Durham International Airport,2019,10,1,0
RDV,Red Devil Airport,1985,07,1,0
RDV,Red Devil Airport,1995,10,1,0
RDV,Red Devil Airport,2002,08,1,0
RED,Mifflin County Airport,1989,07,1,0
RED,Mifflin County Airport,1995,08,1,0
RED,Mifflin County Airport,2000,04,1,0
RED,Mifflin County Airport,2002,04,1,0
RED,Mifflin County Airport,2007,05,1,0
RED,Mifflin County Airport,2008,02,1,0
RED,Mifflin County Airport,2016,07,1,0
REG,Reggio Calabria Airport,2017,08,1,0
REH,Rehoboth Airport,1984,06,1,0
REI,Regina Airport,2009,09,1,0
REI,Regina Airport,2010,02,1,0
REI,Regina Airport,2011,09,2,0
REI,Regina Airport,2013,07,1,0
REI,Regina Airport,2015,05,1,0
REI,Regina Airport,2020,06,1,0
REO,Rome State Airport,1983,12,1,0
REO,Rome State Airport,1997,02,1,0
RFD,Chicago Rockford International Airport,1982,11,1,0
RFD,Chicago Rockford International Airport,1983,01,1,0
RFD,Chicago Rockford International Airport,1984,01,1,0
RFD,Chicago Rockford International Airport,1985,07,1,0
RFD,Chicago Rockford International Airport,1988,07,1,0
RFD,Chicago Rockford International Airport,1989,03,1,0
RFD,Chicago Rockford International Airport,1993,11,1,0
RFD,Chicago Rockford International Airport,1995,03,1,0
RFD,Chicago Rockford International Airport,1997,09,1,0
RFD,Chicago Rockford International Airport,1997,12,1,0
RFD,Chicago Rockford International Airport,1999,01,1,0
RFD,Chicago Rockford International Airport,2002,12,1,0
RFD,Chicago Rockford International Airport,2005,12,1,0
RFD,Chicago Rockford International Airport,2007,07,1,0
RFD,Chicago Rockford International Airport,2008,12,1,0
RFD,Chicago Rockford International Airport,2017,12,1,0
RFD,Chicago Rockford International Airport,2018,03,1,0
RGK,Gorno-Altaysk Airport,1999,08,1,0
RGK,Gorno-Altaysk Airport,2003,07,1,0
RGK,Gorno-Altaysk Airport,2004,05,1,0
RGK,Gorno-Altaysk Airport,2020,06,1,0
RHI,Rhinelander Oneida County Airport,1996,08,1,0
RHI,Rhinelander Oneida County Airport,1996,12,1,0
RHI,Rhinelander Oneida County Airport,2007,03,1,0
RHI,Rhinelander Oneida County Airport,2008,07,1,0
RHI,Rhinelander Oneida County Airport,2014,07,1,0
RHI,Rhinelander Oneida County Airport,2020,03,1,0
RHP,Ramechhap Airport,2014,07,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1982,02,2,0
RHV,Reid-Hillview Airport of Santa Clara County,1982,09,2,0
RHV,Reid-Hillview Airport of Santa Clara County,1983,01,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1983,03,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1983,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1983,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1984,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1985,08,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1985,09,2,0
RHV,Reid-Hillview Airport of Santa Clara County,1985,11,1,0
