airportname,Freq
 Lincolnton-Lincoln County Rgnl ,1
 Lindbergh Airport ,1
 Lindell Loveless Airport ,1
 Linden ,4
 Linden Airport ,7
 Lindsay Municipal ,1
 Lindsay Municipal Airport ,1
 Link̦ping Airport ,1
 Linton Municipal Airport ,1
 Lisbon Airport ,2
 Lisbon International ,1
 Lisbon Municipal Airport ,1
 Litchfield Muni ,1
 Litchfield Municipal Airport ,1
 Little Falls-Morrison County ,1
 Little Falls/Morrison County ,1
 Little Grand Lake ,1
 Little Mt. Susitna ,1
 Little River ,3
 Little River Airpark ,1
 Little River Airport ,1
 Little Su Lodge ,1
 Little Tobesofkee ,1
 Littlebrook Airpark ,1
 Littlefield Municipal Airport ,1
 Littlefield Taylor Brown Muni ,1
 Livermore ,5
 Livermore Muni ,3
 Livermore Munic ,2
 Livermore Municipal ,5
 Livermore Municipal Airport ,9
" Livermore, CA ",1
 Livingston Co. ,1
 Livingston County ,1
 Livingston County Airport ,3
 Livingston County Spencer J Ha ,1
 Livingston County Spencer J. H ,1
 Livingston Municipal ,2
 Livingston Municipal Airport ,4
 Llano Municipal ,4
 Llano Municipal Airport ,3
 Lloyd Stearman ,1
 Lloyd Stearman Field ,1
 Lloyd Stearman Field Airport ,1
 Locke Lake Airport ,1
 Lockhart Municipal ,2
 Lockhart Municipal Airport ,1
 Lodi Airport ,2
 Lodi Lakeland Airport ,1
 Lodi Linds ,1
 Log Cabin Airport ,1
 Logan - Cache ,1
 Logan County Airport ,1
 Logan International ,3
 Logan International Airport ,7
 Logan-Cache ,5
 Logan-Cache Airport ,5
 Logan/Cache ,1
 Logansport/Cass County Airport ,1
 Lompoc ,2
 Lompoc Airport ,1
 London Gatwick ,2
 London Heathrow ,2
 London Stansted ,1
" London, Heathrow ",1
 London-Corbin ,1
 London-Corbin Airport ,2
 London-Heathrow Airport ,1
 Londrina ,1
 Londrina Airport ,1
 Lone Hickory Airport ,1
 Lone Pine ,2
 Lone Pine Airport ,1
 Lone Pine Farm ,1
 Lone Star Executive ,1
 Lone Star Executive Airport ,6
 Lone Star Regional Airport ,1
 Long Beach ,13
 Long Beach Airport ,5
 Long Beach Airport (Daugherty ,1
 Long Beach Airport (Daugherty) ,1
 Long Beach Daugherty ,1
 Long Beach-Daughtery Field Air ,1
 Long Beach/Dougherty Field ,1
 Long Island Airport ,1
 Long Island Mac Arthur ,4
 Long Island Mac Arthur Airport ,1
 Long Island MacArthur Airport ,2
 Long Lake ,1
 Longmont ,1
" Longmont, Vance Brand ",1
 Longview ,1
 Longville Municipal Airport ,1
 Lookout Mountain ,2
 Lookout Mountain Flight Park ,1
 Lookout Mountain Ultralight ,1
 Lopez Island Airport ,3
 Lorain County Regional ,1
 Lorain County Regional Airport ,7
 Lorain County Rgnl ,1
 Lord Flat ,1
 Lorenzo Airport ,1
 Lorian County Airport ,1
 Loris Community Hospital Helip ,1
 Los Alamitos Army Airfield ,3
 Los Alamos Airport ,2
 Los Angeles ,3
 Los Angeles Int'l Airport ,1
 Los Angeles Int'n'l Airport ,1
 Los Angeles International ,14
 Los Angeles International Airp ,4
 Los Angeles Intl ,2
 Los Angeles Intl Airport ,1
 Los Angeles Intl. ,1
" Los Angeles, CA ",1
 Los Banos ,2
 Los Banos Muni ,1
 Los Cayes ,1
 Lost Hills-Kern Co Airport ,1
 Lost Mine ,1
 Lost Nation ,1
 Lost River Resort ,1
 Lottman PVT Airstrip ,1
 Louis Bennett Field ,1
 Louisa ,1
 Louisa Co./Freeman ,1
 Louisa County ,2
 Louisa County Airport ,1
 Louisa County Airport/Freeman ,1
 Louisa County/Freeman Field ,3
 Louisiana Regional Airport ,1
 Louisville International ,1
 Louisville International Airpo ,1
 Louisville Winston County ,1
 Love Field ,4
 Love Field Airport ,1
 Love Landing ,1
 Love's Landing ,1
 Lovell Field ,3
 Lovell Field Airport ,1
 Low Country Regional ,1
 Low Level Ag Airstrip ,1
 Low Level Strip ,1
 Low Pass ,1
 Lowcounty Regional Airport ,1
 Lowell City ,1
 Lowell City Airport ,2
 Lowell Smith Jr ,1
 Lt Warren Eaton Airport ,1
 Lubbock Executive ,1
 Lubbock Executive Airpark ,1
 Lubbock International Airport ,2
 Lubbock Preston Smith ,2
 Lubbock Preston Smith Int'l ,1
 Lubbock Preston Smith Int. ,1
 Lubbock Preston Smith Internat ,1
 Luce County Airport ,2
 Lucky Landings Marina & SPB ,1
 Lufker Airport ,2
 Lugo Di Romagna ,1
 Luis Munoz Marin I'ntl Airport ,1
 Luis Munoz Marin International ,4
 Luis Munoz Marin Intl Airport ,1
 Luis Munoz Minor ,1
 Lujan ,1
 Lumar Airstrip ,1
 Lumberton ,1
 Lumpkin County-Wimpys ,3
 Luna Landing Airport ,1
 Lunken Field ,2
 Luray Caverns ,1
 Luray Caverns Airport ,1
 Luton Airport ,1
 Luxembourg Findel Intl Airport ,1
 Luxembourg-Findel Internationa ,1
 Luzuania ,1
 Lynchburg ,1
 Lynchburg Regional ,3
 Lynchburg Regional Airport ,1
 Lynden Airport ,2
" Lynden Pindling Int., Airport ",1
 Lynden Pindling International ,4
 Lyon Saint Exupery Airport ,1
 Lyon-Saint Exupery Airport ,1
 Lyons Landing ,2
 Lyons-Rice Co Municipal Arpt ,1
 M & M AG STRIP ,1
 M GRAHAM CLARK ,2
 M Graham Clark ,4
 M Graham Clark Downtown ,1
 M&J AG AIRSTRIP ,1
 M. GRAHAM CLARK ,7
 M. GRAHAM CLARK AIRPORT ,2
 M. GRAHAM CLARK FIELD ,1
 M. Graham Clark Downtown ,1
 M. Graham Clark Downtown Arpt. ,1
 M. Graham Clark Taney County ,1
 M. Graham Clark-Taney Co. ,1
 MAC ARTHUR ,1
 MACARTHUR ,3
 MACCARREN INTERANNATIONAL ,1
 MACCARTHUR ,1
 MACGUIRE ,1
 MACHIAS VALLEY ,1
 MACIVOR AIRSTRIP ,1
 MACK MESA ,2
 MACKAY BAR ,2
 MACKEYS LAKES ,1
 MACKINAC ,1
 MACKINAC CO. ,1
 MACKINAC COUNTY ,3
 MACKINAC COUNTY AIRPORT ,1
 MACKINAC ISLAND ,6
 MACKINAC ISLAND AIRPORT ,1
 MACKINAL ISLAND ,1
 MACLEOD HARBOR AIRSTRIP ,1
 MACOMAS-LEES SUMMIT MUNI ,1
 MACOMB ,1
 MACOMB AIRPORT ,1
 MACOMB MUNI ,1
 MACOMB MUNICIPAL AIRPORT ,1
 MACON COUNTY ,4
 MACON COUNTY AIRPORT ,3
 MACON DOWNTOWN ,1
 MACON MUNICIPAL ,1
 MACON-FOWER MEM'L ,1
 MACON-FOWER MEML ,1
 MACON-FOWER MEMORIAL ,1
 MACON-HERBERT SMART DWNTN ,1
 MAD RIVER ,1
 MAD RIVER AIRPORT ,1
 MADELINE ISLAND ,2
 MADELINE ISLAND AIRPORT ,1
 MADERA ,6
 MADERA MUNI ,3
 MADERA MUNICIPAL ,1
 MADERA MUNICIPAL AIRPORT ,2
 MADERO ,1
 MADILL MUNI ,1
 MADISON ,8
 MADISON COOPER ,1
 MADISON COPPER ,1
 MADISON COUNTY ,7
 MADISON COUNTY AIRPORT ,2
 MADISON COUNTY EXECUTIVE ,3
 MADISON COUNTY MOONTOWN ,1
 MADISON COUNTY SKY PARK ,1
 MADISON COUNTY SKYPARK ,2
 MADISON CREEK ,1
 MADISON IN ,1
 MADISON MUN. ,1
 MADISON MUNI ,3
 MADISON MUNICIPAL ,3
 MADISON TRUAX FIELD ,1
 MADISON/DANE CNTY. ,1
 MADISONVILLE ,1
 MADISONVILLE MUNI ,2
 MADISONVILLE MUNICIPAL ,1
 MADRAS CITY ,1
 MADRAS CITY COUNTY ,1
 MADRAS MUNICIPAL ,3
 MADRID/CUATRO VIENTOS ARPT (CI ,1
 MAF Training Airstrip ,1
 MAGNOLIA ,2
 MAGNOLIA MUNICIPAL ,1
 MAGUIRE ,1
 MAHLON SWEET ,2
 MAHLON SWEET FIELD ,6
 MAHONEY CREEK ,1
 MAHONEY CREEK USFS ,1
 MAHOPAC ,2
 MAIMI INTL ,1
 MAIN PRAIRIE ,1
 MAINE HELICOPTERS ,1
 MAIZE AIRPORT ,1
 MAJOR ,1
 MAJOR GILBERT FIELD ,1
 MAJORS ,4
 MAJORS AIRPORT ,1
 MAJORS FIELD ,1
 MAJORS FLD ,1
 MAKESHIFT STRIP ,1
 MAKOTI AIRPORT ,1
 MALAD CITY ,1
 MALCOLM MC KINNON ,1
 MALCOLM MCKINNON ,4
 MALCOLM-MCKINNON ,1
 MALCOM MCKINNON ,1
 MALDEN MUNI ,1
 MALDEN MUNICIPAL ,1
 MALDEN MUNICIPAL AIRPORT ,1
 MALE COUNTY ,1
 MALIN ,1
 MALLARD'S LANDING ,1
 MALLARDS LANDING ,3
 MALLARDS LANDING AIRPORT ,1
 MALLONY ,1
 MALLORY ,7
 MALLORY AIRPORT ,2
 MALONE-DUFORT ,2
 MALONE-DUFORT AIRPORT ,1
 MALTA ,1
 MALTA MUNICIPAL ,1
 MALVERN MUNICIPAL ,3
 MAMMOTH ,1
 MAMMOTH JUNE LAKES ,1
 MAMMOTH LAKES ,14
 MAMMOTH YOSEMITE ,4
 MAMMOTH-JUNE LAKES ,4
 MAMMOTH/JUNE LAKES ,1
 MAMMOUTH LAKES AIRPORT ,1
 MAMOU ,1
 MANAHAWKIN ,3
 MANASAS MUNICIPAL AIRPORT ,1
 MANASSAS ,12
 MANASSAS AIRPORT ,1
 MANASSAS MUNI ,2
 MANASSAS MUNICIPAL ,5
 MANASSAS MUNICIPAL ARPT ,1
 MANASSAS REGIONAL ,3
 MANASSAS REGIONAL AIRPORT ,2
 MANASSAS REGIONAL/HARRY P DAVI ,1
 MANASSAS RGNL/HARRY P DAVIS FI ,4
 MANATEE ,4
 MANATEE AIRPORT ,1
 MANATEE COUNTY ,1
 MANATEE COUNTY AIRPORT ,1
 MANATI ,1
 MANCHESTER ,6
 MANCHESTER AIRPORT ,1
 MANCHESTER/GREINIER IND. ,1
 MANDAN ,1
 MANDAN MUNICIPAL ,1
 MANFIELD MUNICIPAL ,1
 MANGHAM ,3
 MANGHAM FIELD ,3
 MANGUM ,1
 MANHATTAN ,3
 MANHATTAN AIRPORT ,1
 MANHATTAN MUNI ,3
 MANHATTAN MUNICIPAL ,1
 MANHATTAN REGIONAL ,1
 MANHATTAN RGNL ,1
 MANILA ,1
 MANILA MUNI ,2
 MANISTEE COUNTY-BLACKER ,1
 MANISTEE-BLACKER ,1
 MANITO MITCHELL ,1
 MANITOWISH WATERS AIRPORT ,1
 MANITOWOC ,1
 MANITOWOC CO. ,1
 MANITOWOC COUNTY ,3
 MANKATO ,3
 MANKATO AIRPORT ,1
 MANKATO MUNI ,1
 MANKATO MUNICIPAL ,3
 MANKATO MUNICIPAL AIRPORT ,1
 MANKATO RGNL ,2
 MANLEY HOT SPRINGS ,2
 MANNATTAN MUNICIPAL ,1
 MANNING ,2
 MANNING AIRPORT ,1
 MANNING FIELD ,1
 MANOKOTAK ,1
 MANSFIELD ,4
 MANSFIELD LAHM ,2
 MANSFIELD LAHM MUNI ,3
 MANSFIELD LAHM MUNICIPAL ,3
 MANSFIELD LANM ,1
 MANSFIELD MUNI ,2
 MANSFIELD MUNI AIRPORT ,1
 MANSFIELD MUNI. ,1
 MANSFIELD MUNICIPAL ,9
 MANSFIELD-LAHM ,1
 MANTEE ,1
 MANTER FIELD ,1
 MANUEL BROTHERS AIRSTRIP ,1
 MAPLE ,1
 MAPLE AIRPORT ,1
 MAPLE GROVE ,4
 MAPLE GROVE AIRPORT ,1
 MAPLE LAKE ,3
 MAPLE LAKE AIRPORT ,1
 MAPLE LAKE MUNI-BILL MAVENCAMP ,1
 MAPLE PLAIN ,1
 MAPLE RIDGE ,1
 MAPLEGROVE ,1
 MAPLES FIELD ,1
 MAPLEWOOD FARM ,1
 MAQUOKETA ,1
 MARANA ,3
 MARANA AIRPARK ,1
 MARANA NORTHWEST REGIONAL AIRP ,1
 MARANA NW REG ,1
 MARANA RGNL ,1
 MARATHON ,12
 MARATHON AIRPORT ,1
 MARATHON FLIGHT ,2
 MARATHON FLIGHT STRIP ,1
 MARATHON FLT STRIP ,1
 MARBLE CANYON ,5
 MARBLE FALLS ,1
 MARCELINE ,1
 MARCELLUS ,1
 MARCH AFB ,3
 MARCO ISLAND ,4
 MARCO ISLAND AIRPORT ,1
 MARCY FIELD ,1
 MARENGO ,1
 MARFA MUNI ,1
 MARFA MUNICIPAL ,3
 MARIANNA ,1
 MARIANNA MUNI ,1
 MARICOPA ,2
 MARIN RANCH ,1
 MARINA MUNI ,1
 MARINA MUNICIPAL ,1
 MARINE CITY ,8
 MARINE CITY AIRPORT ,1
 MARION ,8
 MARION CO REG ,1
 MARION COUNTY ,9
 MARION COUNTY REGIONAL ,3
 MARION COUNTY-BROWN FIELD ,1
 MARION MUNI ,4
 MARION MUNICIPAL ,5
 MARIPOSA ,2
 MARIPOSA YOSEMITE ,2
 MARIPOSA YOSIMITE ,1
 MARIPOSA-YOSEMITE ,7
 MARIPOSA-YOSEMITE AIRPORT ,1
 MARIPOSAYOSEMITE ,1
 MARK ANDREWS ,2
 MARK ANDREWS GRAND FORKS ,1
 MARK ANDREWS INT'L ,2
 MARK ANTON ,6
 MARK ANTON AIRPORT ,1
 MARK ANTON MUNICIPAL ,1
 MARKED TREE ,1
 MARKHAM ,2
 MARKHAM MUNICIPAL ,1
 MARKHAM-MERIDEN ,1
 MARKLEY FARM ,1
 MARKSVILLE MUNICIPAL ,1
 MARLBORO ,32
 MARLBORO AIRPORT ,1
 MARLBORO COUNTY ,1
 MARLBORO COUNTY AIRPORT ,1
 MARLBOROUGH ,3
 MARLBOROUGH AIRPORT ,1
 MARLETTE ,2
 MARLETTE AIRPORT ,1
 MARLIN ,1
 MARQUETTE ,2
 MARQUETTE CO. ,1
 MARQUETTE COUNTY ,3
 MARRY'S RIVER RANCH ,1
 MARSH HARBOUR ,1
 MARSHAL AAF ,1
 MARSHAL COUNTY ,1
 MARSHALL ,3
 MARSHALL CO. ,2
 MARSHALL COUNTY ,8
 MARSHALL COUNTY AIRPORT ,3
 MARSHALL FIELD ,2
 MARSHALL MEM ,1
 MARSHALL MEMORIAL ,1
 MARSHALL MEMORIAL MUNI. ,1
 MARSHALL MUNICIPAL-RYAN ,1
 MARSHALL WARREN PRIVATE ,1
 MARSHALL-RYAN ,1
 MARSHALLTOWN MUNICIPAL ,1
 MARSHFIELD ,7
 MARSHFIELD AIRPORT ,1
 MARSHFIELD MINICIPAL ,2
 MARSHFIELD MUNI ,1
 MARSHFIELD MUNI - GEORGE HARLO ,1
 MARSHFIELD MUNICIPAL ,1
 MARSTON MILLS ,2
 MARTHA LAKE ,9
 MARTHA LAKE AIRPORT ,1
 MARTHA'S VINEYARD ,2
 MARTHAS VINEYARD ,4
 MARTIN ,4
 MARTIN AIRSTRIP ,1
 MARTIN CAMPBELL ,2
 MARTIN COUNTY ,3
 MARTIN COUNTY AIRPORT ,1
 MARTIN FIELD ,5
 MARTIN FIELD AIRPORT ,1
 MARTIN JOHNSON ,1
 MARTIN STATE ,11
 MARTIN STATE AIRPORT ,1
 MARTINICUS ISLAND ,1
 MARTINS AERODROME ,2
 MARTINSVILLE ,1
 MARTY BUNCH PRIVATE STRIP ,1
 MARTY'S CLASSIC AIRSTRIP ,1
 MARV SKIE-LINCOLN COUNTY ,1
 MARX ANTON ,1
 MARYLAND ,3
 MARYLAND AIRPORT ,3
 MARYSVILLE ,1
 MARYSVILLE MUNICIPAL ,1
 MARYVILLE RANKIN ,1
 MASCOT PLANTING CO. ,1
 MASON CITY MUNI ,1
 MASON CITY MUNI. ,1
 MASON CITY MUNICIPAL ,3
 MASON COUNTY ,8
 MASON JEWETT ,1
 MASON JEWETT FIELD ,2
 MASON-JEWETT AIRPORT ,1
 MASSENA INT'L ,1
 MASSENA INTL RICHARDS FLD ,1
 MASSENA INTL-RICHARDS FIELD ,1
 MASSEY RANCH ,1
 MASSEY RANCH AIRPARK ,5
 MATAGORDA IS. ,1
 MATAGORDA ISLAND ,1
 MATAWAN ,1
 MATHENY ,1
 MATHER FIELD ,1
 MATHEWS MEMORIAL ,1
 MATHIS ,16
 MATHIS AIRPORT ,2
 MATHIS FIELD ,6
 MATSON AIRPORT ,1
 MATTAWA AIRSTRIP ,1
 MATTHEWS ,1
 MATTILUCK ,1
 MATTITUCK ,3
 MATTITUCK AIRBASE ,4
 MATTOON ,1
 MAURY COUNTY ,5
 MAURY COUNTY AIRPORT ,1
 MAUSTON-NEW LISBON UNION ,2
 MAVERICK COUNTY MEM INTL ,1
 MAX CONRAD ,1
 MAX CONRAD FIELD ,1
 MAX WESTHEIMER ,3
 MAX WESTHEIMER FIELD ,1
 MAX WESTHIMER AIRPORT ,1
 MAXON FIELD ,1
 MAXSON AIRFIELD ,1
 MAXWELL AFB ,1
 MAXWELL AIR FORCE BASE ,1
 MAY ,4
 MAY AIRPORT ,1
 MAYAGUEZ ,2
 MAYERS FIELD ,1
 MAYES AIRPORT ,1
 MAYFIELD GRAVES CO. (CTY) ,1
 MAYFIELD GRAVES COUNTY ,1
 MAYVILLE ,1
 MAZAMA NEWPORT ,1
 MBS INTL ,1
 MBS International ,1
 MC ALESTER REGIONAL ,2
 MC ALLEN MILLER INTL ,2
 MC CALL ,2
 MC CALL MUNI ,1
 MC CARRAN ,2
 MC CARRAN INTERNATIONAL ,1
 MC CARRAN INTL ,3
 MC CARTHY ,1
 MC CHESNEY FIELD ,2
 MC CLELLAN AIRFIELD ,3
 MC CLELLAN-PALOMAR ,8
 MC COLLUM FIELD ,1
 MC COMB/PIKE COUNTY/JOHN E LEW ,1
 MC COOK BEN NELSON RGNL ,1
 MC CURTAIN COUNTY RGNL ,1
 MC DANIELS ,1
 MC ELROY AIRFIELD ,1
 MC ENTIRE JNGB ,1
 MC GEHEE ,1
 MC GHEE TYSON ,4
 MC GRATH ,3
 MC GREGOR ,1
 MC GREGOR EXECUTIVE ,1
 MC KELLAR-SIPES REGIONAL ,1
 MC KELLAR-SIPES RGNL ,1
 MC KINNEY MUNI ,2
 MC KINNON AIRPARK ,1
 MC LENDON ,1
 MC MAHON FIELD ,1
 MC MAHON WRINKLE ,1
 MC MECHEN ,2
 MC MINNVILLE MUNI ,4
 MC VILLE ,1
 MCALESTER ,1
 MCALESTER MEGIONAL ,1
 MCALESTER REGIONAL ,3
 MCALISTER ,1
 MCALLEN INTERNATIONAL ,1
 MCALLEN MILLER INTL ,1
 MCALLEN MILLER INTL. ,1
 MCALLEN-MILLER ,1
 MCALLEN-MILLER INT'L ,1
 MCAS CHERRY POINT ,1
 MCAS Camp Pendleton ,1
 MCAS EL TORO ,1
 MCAS Miramar/Mitscher Field ,1
 MCBRIDE ,1
 MCBRIDE FIELD ,1
 MCCAIN FLD ,1
 MCCALL ,5
 MCCALL MUNICIPAL ,1
 MCCALLUM FIELD ,1
 MCCAMPBELL-PORTER ,1
 MCCANCE ,1
 MCCANLES FARM AIRSTRIP ,1
 MCCARAN INT'L ,1
 MCCARLEY ,1
 MCCARLEY FIELD ,1
 MCCARLEY FLD ,2
 MCCARRAN ,3
 MCCARRAN INT'L ,1
 MCCARRAN INT. ,1
 MCCARRAN INTERNATIONAL ,9
 MCCARRAN INTERNATL ,1
 MCCARRAN INTL ,2
 MCCARRAN INTL. ,1
 MCCARRAN INTN'L. ,1
 MCCARRAN INTNL ,1
 MCCARREN ,1
 MCCARREN INT'L. ,1
 MCCARREN INTERNATIONAL ,2
 MCCARREN INTN'L ,1
 MCCARRIN INTER'L ,1
 MCCARTHY ,3
 MCCARTHY #2 ,1
 MCCARTHY NO. 2 ,1
 MCCARTHY NR 2 ,1
 MCCARTHY NR2 ,1
 MCCARTHY NUMBER 2 ,1
 MCCHAREN FIELD ,1
 MCCHESNEY FLD ,1
 MCCHORD CREEK ,1
 MCCLAIN ,1
 MCCLELLAN PALOMAR ,1
 MCCLELLAN-PALOMAR ,8
 MCCLELLAND-PALOMAR ,1
 MCCOLLOM ,1
 MCCOLLOUGH ,1
 MCCOLLUM ,17
 MCCOLLUM FIELD ,4
 MCCOMAS ,1
 MCCOMAS-LEE'S SUMMIT ,2
 MCCOMAS-LEE'S SUMMIT MUN. ,1
 MCCOMAS-LEE'S SUMMIT MUNI ,4
 MCCOMAS-LEES SUMMIT ,2
 MCCOMB-PIKE COUNTY ,1
 MCCOMBS ,1
 MCCONNELL AFB ,1
 MCCOOK ,2
 MCCOOK  MUNI ,1
 MCCOOK MUNICIPAL ,1
 MCCORMICK  CO. ,1
 MCCOWN STRIP ,1
 MCCREARY FLYING SERVICE ,1
 MCCRELESS FARM ,1
 MCCULLAN ,1
 MCDANIELS ,1
 MCDILL AFB ,1
 MCDONALD FIELD ,2
 MCDONALD PRIVATE AIRSTRIP ,1
 MCDONNELL DOUGLAS HELIPOR ,2
 MCDONNELL FIELD ,1
 MCFILLEN ,1
 MCGAHAN INDUSTRIAL ,1
 MCGAHAN'S PRIVATE STRIP ,1
 MCGANN INDUSTRIAL ,1
 MCGARTH ,1
 MCGEE TYSON ,1
 MCGEE/TYSON ,1
 MCGEEHE CATFISH ,1
 MCGEEHE MUNICIPAL ,1
 MCGEHEE ,1
 MCGEHEE AIR PARK ,1
 MCGEHEE CATFISH ,5
 MCGEHEE CATFISH REST. ,2
 MCGEHEE CATFISH RESTAURAN ,2
 MCGEHEE CATFISH RESTAURANT ,2
 MCGEHEE MUNICIPAL ,3
 MCGEHEE RESTAURANT ,2
 MCGEHEE'S ,1
 MCGHEE CATFISH FARM ARPT ,1
 MCGHEE TYSON ,6
 MCGINNESS ,1
 MCGINNESS FIELD ,1
 MCGOLLUM ,1
 MCGOWAN ,1
 MCGOWIN ,1
 MCGRATH ,3
 MCGREGOR MUNI ,2
 MCGREGOR MUNICIPAL ,2
 MCGUINNESS ,2
 MCGUIRE ,1
 MCGUIRE AFB ,4
 MCGUIRE RANCH ,1
 MCKEEMAN FARM STRIP ,1
 MCKELLAR FIELD ,2
 MCKELLAR-SIPES REGIONAL ,1
 MCKELLER FFIELD ,1
 MCKELLER FIELD ,1
 MCKENZIE BRIDGE STATE ,2
 MCKINLEY ,6
 MCKINLEY FRASER ,1
 MCKINNEY ,3
 MCKINNEY MUN. ,1
 MCKINNEY MUNI ,3
 MCKINNEY MUNI. ,3
 MCKINNEY MUNICIPAL ,7
 MCKINNEY MUNICIPAL A/P ,1
 MCKINNEY NATIONAL ,2
 MCKINNON ,2
 MCKINNON ST SIMONS ISLAND ,5
 MCLEANSBORO ,1
 MCMAHON ,1
 MCMECHEN ,1
 MCMINN ,4
 MCMINN COUNTY ,3
 MCMINNVILE AIRPORT ,1
 MCMINNVILLE AIRPORT ,1
 MCMINNVILLE MUNCP. ARPT. ,1
 MCMINNVILLE MUNICIPAL ,1
 MCNAMARA FIELD ,1
 MCNARY FIELD ,5
 MCNARY FLD ,2
 MCNEELY ,1
 MCNEIL AIRSTRIP ,1
 MCPHERSON ,2
 MCROE ,1
 MCVILLE ,6
 MCVILLE MUNICIPAL ,1
 MCVILLE MUNICIPAL AIRPORT ,1
 MEACHAM ,10
 MEACHAM FIELD ,6
 MEACHAM FLD ,1
 MEACHAM INTL. AIRPORT ,1
 MEACHUM FIELD ,1
 MEAD ,2
 MEAD AIRPORT ,1
 MEAD FLYING SERVICE ,1
 MEADE MINICIPAL ,1
 MEADE MUNI ,1
 MEADOW BROOK ,1
 MEADOW BROOK FIELD ,1
 MEADOW CREEK USFS ,2
 MEADOW LAKE ,19
 MEADOW LAKE AIRPORT ,4
 MEADOW LARK ,1
 MEADOWBROOK ,1
 MEADOWLAKE ,3
 MEADOWLAKE AIRPORT ,1
 MEADOWLARK ,14
 MEADOWLARK FIELD ,1
 MEADOWLARK GLIDERPORT ,1
 MEADOWS ,2
 MEADOWS FIELD ,5
 MEADVILLE ,1
 MECKLENBURG-BRUNSWICK REG ,1
 MECOSTA MORTON ,1
 MECOSTA MORTON TWN ,1
 MEDFFORD FIELD ,1
 MEDFORD ,4
 MEDFORD JACKSON AIRPORT ,1
 MEDFORD JACKSON COUNTY ,1
 MEDFORD MUNI ,1
 MEDFORD MUNICIPAL ,1
 MEDFORD-JACKSON COUNTY ,6
 MEDFRA ,1
 MEDICINE BOW ,1
 MEDICINE BOW AIRPORT ,1
 MEDINA FREEDOM FIELD ,1
 MEDINA MUNI ,1
 MEDINA MUNICIPAL ,2
 MEDINA MUNICIPAL AIRPORT ,1
 MEEKER ,4
 MEFFORD FIELD ,4
 MEFFORDFIELD TULARE ARPT ,1
 MEIGS ,6
 MEKORYUK ,3
 MELBOURNE ,4
 MELBOURNE INT'L AIRPORT ,1
 MELBOURNE INTL ,3
 MELBOURNE MUNICIPAL ARPT ,1
 MELBOURNE REGIONAL ,10
 MELON ,1
 MELOZI HOT SPRINGS ,1
 MELROSE FIELD ,1
 MELTON AIRPORT ,1
 MEMOMINEE ,1
 MEMORIAL ,12
 MEMORIAL AIRFIELD ,1
 MEMORIAL FIELD ,4
 MEMPHIS ,3
 MEMPHIS INT'L ,2
 MEMPHIS INT'L. ,1
 MEMPHIS INTERN. ,1
 MEMPHIS INTERNATIONAL ,21
 MEMPHIS INTL ,7
 MEMPHIS MEMORIAL ,1
 MEMPHIS NAS ,1
 MENA ,1
 MENA INTERMOUNTAIN REG. ,1
 MENDOCINO COUNTY ,1
 MENDOTA ,3
 MENOMINEE-MARINETTE CNTY ,1
 MENOMINEE-MARINETTE TWIN COUNT ,2
 MENTONE ,1
 MEOWN ,1
 MERCED ,3
 MERCED MUNI ,3
 MERCED MUNI/MCREADY FIELD ,1
 MERCED MUNICIPAL ,2
 MERCED MUNICIPAL/MACREADY ,1
 MERCED RGNL/MACREADY FIELD ,1
" MERCEDES, TEXAS ",1
 MERCEDITA ,2
 MERCER ,2
 MERCER CO. ,2
 MERCER COUNTY ,10
 MERCER COUNTY AIRPORT ,1
 MERCEY HOT SPRINGS ,1
 MEREDITH ,1
 MERIDAN/MARKHAM ,1
 MERIDEN ,4
 MERIDEN ARPT ,1
 MERIDEN MARKHAM ,1
 MERIDEN MARKHAM MUNI ,2
 MERIDEN MARKHAM MUNI. ,1
 MERIDEN MARKHAM MUNICIPAL ,4
 MERIDEN-MARKHAM ,1
 MERIDEN-MARKHAM MUNICIPAL ,2
 MERIDEN/MARKHAM ,2
 MERIDIAN MARKHAM MUNI ,1
 MERILLAT ,2
 MERKEL FIELD SYLACAUGA MUNI ,2
 MERLE K. (MUDHOLE) SMITH ,1
 MERLE K. SMITH MEMORIAL ,1
 MERRIL FIELD ,2
 MERRILL ,43
 MERRILL C MIEGS ,1
 MERRILL C. MEIGS ,1
 MERRILL C. MEIGS FIELD ,2
 MERRILL FIELD ,82
 MERRILL FILED ,1
 MERRILL FLD ,1
 MERRILL MUNI ,3
 MERRIMAC RIVER ,1
 MERRITT DAM ,1
 MERRITT ISLAND ,24
 MERRYMEETING FIELD ,2
 MERRYMEETING LAKE ,1
 MERRYS PYMATUNING ,1
 MERTENS ,1
 MESA ,2
 MESA DEL RAY ,1
 MESA FALCON FIELD ,2
 MESA GRANDE ,1
 MESA VERDE ,1
 MESERVE FIELD ,1
 MESQUITE ,5
 MESQUITE AIRPORT ,1
 MESQUITE METRO ,6
 MESQUITE METRO AIRPORT ,2
 MESQUITE MUNICIPAL ,1
 MESSENA ,1
 METCALF ,2
 METCALF AIRPORT ,1
 METCALF FIELD ,2
 METHOW VALLEY STATE ,2
 METLAKATLA ,1
 METLAKATLA SEAPLANE ,1
 METLAKATLA SEAPLANE BASE ,2
 METRO ,3
 METRO FIELD ,2
 METRO FLD ,1
 METRO OAKLAND INTL ,4
 METRO RYAN FIELD ,1
 METRO-WAYNE COUNTY ,1
