airportname,Freq
 ALLISON RANCH ,2
 ALMA ,4
 ALMA GRATIOT COMMUNITY ,1
 ALMONT ,3
 ALMPSON ,1
 ALMYRA ,1
 ALPENA ,1
 ALPINE ,3
 ALPINE AIRSTRIP ,1
 ALPINE CO. ARPT ,1
 ALPINE COUNTY ,2
 ALPINE COUNTY AIRPORT ,1
 ALPINE MUN. ,1
 ALPINE MUNI ,1
 ALPINE MUNICIPAL ,2
 ALPINE-CASPARIS ,2
 ALPINE-CASPARIS MUNI ,2
 ALPINE-CASPARIS MUNICIPAL ,2
 ALTA SIERRA ,2
 ALTHEIMER ,1
 ALTON BAY SEAPLANE BASE ,1
 ALTON ST LOUIS REGIONAL ,1
 ALTOONA ,1
 ALTOONA-BLAIR CO. ,1
 ALTOONA-BLAIR COUNTY ,3
 ALTURAS ,2
 ALTURAS MUNI ,1
 ALTURAS MUNICIPAL ,2
 ALTURUS MUNICIPAL ,1
 ALTUS ,1
 ALTUS AFB ,1
 ALTUS MUN ,1
 ALTUS MUNI ,1
 ALTUS MUNICIPAL ,2
 ALVA RGNL ,1
 ALVIE COLE RANCH ,1
 ALVIN ,1
 ALVIN AIR PARK ,1
 ALVIN AIRPARK ,5
 ALVORD RANCH ,1
 ALYRA MUNICIPAL ,1
 AMA ,1
 AMANA ,2
 AMARILLO INTER'L ,1
 AMARILLO INTERNATIONAL ,2
 AMARILLO INTL ,2
 AMELIA EARHART ,4
 AMERICAN ,1
 AMERICAN FALLS ,1
 AMERICANA ,4
 AMERICUS/SOUTHER FIELD ,1
 AMERILLO INTERNATIONAL ,1
 AMERY MUNICIPAL ,1
 AMERY MUNICIPAL AIRPORT ,1
 AMES ,3
 AMES MUNI ,2
 AMES MUNICIPAL ,4
 AMIMAS AIR PARK ,1
 AMOS PRIVATE ,1
 ANACONDA ,1
 ANACORTES ,9
 ANAKTUVUK PASS ,1
 ANCHOR NATE ,1
 ANCHORAGE ,21
 ANCHORAGE INT'L ,4
 ANCHORAGE INT'L AIRPORT ,1
 ANCHORAGE INT'L. ,2
 ANCHORAGE INTERNATIONAL ,31
 ANCHORAGE INTL ,12
 ANDALUSIA-OPP ,2
 ANDALUSIAOPP ,1
 ANDERSON ,3
 ANDERSON AIRPORT ,1
 ANDERSON AIRSTRIP ,1
 ANDERSON COUNTY ,7
 ANDERSON FIELD ,1
 ANDERSON LAKE ,3
 ANDERSON LAKE STRIP ,4
 ANDERSON MUNI ,1
 ANDERSON MUNI-DARLINGTON FIELD ,1
 ANDERSON MUNI. ,1
 ANDERSON MUNICIPAL ,4
 ANDERSON MUNICIPAL-DARLINGTON ,4
 ANDERSON MURPHY ,1
 ANDERSON RANCH AIRSTRIP ,1
 ANDERSON'S ,2
 ANDRAU ,6
 ANDRAU AIRPARK ,3
 ANDRAU AIRPORT ,1
 ANDREAFSKY ,1
 ANDRESON FLD ,1
 ANDREW AFB ,1
 ANDREW PATON ,1
 ANDREWS ,1
 ANDREWS AFB ,1
" ANDREWS AFB, MD ",1
 ANDREWS COUNTY ,3
 ANDREWS COUNTY AIRPORT ,1
 ANDREWS MUNICIPAL ,1
 ANDREWS RLA ,1
 ANDREWS UNIVERSITY ,3
 ANDREWS UNIVERSITY AIRPAR ,1
 ANDREWS UNIVERSITY AIRPARK ,1
 ANDREWS-MURPHY ,3
 ANDREWS/MURPHY ,2
 ANDULUSIA-OPP ,1
 ANDY BARNHART ,1
 ANDY BARNHART MEMORIAL ,6
 ANDY MCBETH ,1
 ANF Air Service ,1
 ANGEL FIRE ,18
 ANGEL FIRE AIRPORT ,1
 ANGELINA ,2
 ANGELINA COUNTY ,4
 ANGELINA COUNTY AIRPORT ,1
 ANGLE INLET RESORT ,1
 ANGLETON ,1
 ANGOLA ,1
 ANGOLA AIRPORT ,1
 ANGWIN-PARRETT FIELD ,1
 ANIAK ,5
 ANIMAS ,4
 ANIMAS AIR PARK ,11
 ANIMAS AIRPARK ,4
 ANKENY REGIONAL ,1
 ANKENY REGIONAL AIRPORT ,1
 ANN ARBOR ,5
 ANN ARBOR MUNI ,3
 ANN ARBOR MUNICIPAL ,2
 ANNANDALE RANCH ,1
 ANNAPOLIS ,1
 ANNISTON METROPOLITAN ,1
 ANOKA ,1
 ANOKA CO ,1
 ANOKA COUNTY ,10
 ANOKA COUNTY AIRPORT ,2
 ANOKA COUNTY-BLAINE ,1
 ANOKA COUNTY-BLAINE APT ,1
 ANOKA COUNTY-BLAINE ARPT ,1
 ANOKA COUNTY-BLAINE ARPT (JANE ,1
 ANOKA COUNTY-BLAINE ARPT(JANES ,2
 ANSONIA ,2
 ANTELOPE COUNTY ,2
 ANTHONY AIRPORT ,1
 ANTIOCH ,7
 ANTIQUE ,1
 ANTIQUE AERODROME ,1
 ANTIQUE AIRFIELD ,2
 ANTIQUERS ,1
 ANTIQUERS AERODROME ,1
 ANTLERS MUNICIPAL AIRPORT ,1
 ANTONIO RIVERA RODRIGUEZ ,1
 ANTONIO RIVERA RODRIQUEZ ,2
 ANTONIO/NERY/JUARBE POL ,1
 ANTONNEAU ,1
 ANTRIM  COUNTY ,1
 ANTRIM CO ,1
 ANTRIM COUNTY ,2
 ANVIK ,1
 AP Ranch Airport ,1
 APALACHICOLA REGIONAL ,2
 APEX ,3
 APEX AIRPARK ,2
 APPLACHICOLA MUNICIPAL ,1
 APPLE VALLEY ,21
 AQUA CALIENTE SAGS ,1
 AQUALAND/CLIFTON ,1
 AQUALAND/XLIFTON SKYPARK ,1
 ARANSAS CO. ,1
 ARANSAS COUNTY ,2
 ARANSAS COUNTY AIRPORT ,3
 ARAPAHOE ,3
 ARAPAHOE CO ,1
 ARAPAHOE CO. ,1
 ARAPAHOE COUNTY ,9
 ARAPANDE COUNTY ,1
 ARCABIA MINICIPAL ,1
 ARCADE ,1
 ARCADIA ,1
 ARCADIA MUNI ,5
 ARCADIA MUNICIPAL ,3
 ARCARDIA MUNICIPAL ,1
 ARCATA ,5
 ARCATA-EUREKA ,1
 ARCO ,1
 ARCO BUTTE ,1
 ARCO-BUTTE COUNTY ,3
 ARCOLA ,1
 ARCOLA/HOUSTON ,1
 ARDMORE ,3
 ARDMORE DOWNTOWN ,4
 ARDMORE DOWNTOWN EXECUTIV ,1
 ARDMORE DOWNTOWN EXECUTIVE ,2
 ARDMORE MUNICIPAL ,2
 ARECIBO ,1
 AREDLA ,1
 ARENOSA FLYING SERVICE ,1
 ARETZ ,5
 ARETZ AIRPORT ,1
 ARETZ FIELD ,1
 ARGYLE ,3
 ARKADELPHIA ,1
 ARKANSAS PASS ,1
 ARLEDGE ,1
 ARLEDGE FIELD ,1
 ARLINGTON ,9
 ARLINGTON AIRPORT ,1
 ARLINGTON MUN ,1
 ARLINGTON MUNI ,20
 ARLINGTON MUNI. ,2
 ARLINGTON MUNICIPAL ,24
 ARLINGTON MUNICIPAL ARPT ,1
 ARMBRUST FIELD ,1
 ARNEMAN FIELD ,1
 ARNESS LAKE ,1
 ARNESS STRIP ,1
 ARNIE ISREALSON ,1
 ARNOLD FIELD ,2
 ARNOLD PALMER RGNL ,1
 ARPAHOE COUNTY ,1
 ARRIBA (PRIVATE) ,1
 ARROWHEAD ,6
 ARROWHEAD AIRPORT ,1
 ART DAVIS ,1
 ARTESIA MUNICIPAL ,4
 ARTH (Private) ,1
 ARTHUR ,1
 ARTHUR AIRPORT ,1
 ARTHUR DUNN ,2
 ARTHUR DUNN AIR PARK ,4
 ARTHUR DUNN AIRPARK ,2
 ARTHUR MUNICIPAL ,1
 ARTHUR N. NEU ,1
 ARVIN DUSTER STRIP ,1
 ASH COUNTY ,1
 ASHE COUNTY ,2
 ASHEBORO ,1
 ASHENFETTER ,1
 ASHEVILLE ,2
 ASHEVILLE AIRPORT ,1
 ASHEVILLE REGIONAL ,5
 ASHLAND ,4
 ASHLAND COUNTY ,4
 ASHLAND MUNICIPAL ,1
 ASHLAND-BOYD ,1
 ASHLAND-BOYD COUNTY ,2
 ASHLEY ,1
 ASHTABULA COUNTY ,1
 ASHTABULA COUNTY ARPT ,1
 ASHTON ,1
 ASHVILLE REGIONAL ,1
 ASPEN ,4
 ASPEN-PITKIN C. SARDY FIE ,1
 ASPEN-PITKIN CO/SARDY FIELD ,4
 ASPEN-PITKIN CO/SARDY FLD ,3
 ASPEN-PITKIN COUNTY ,3
 ASPEN-PITKIN COUNTY/SARDY ,1
 ASPEN/PITKIN COUNTY ,1
 ASTORIA REGIONAL ,2
 ATHENS ,2
 ATHENS MC MINN CO ,1
 ATHENS MUNI ,1
 ATHENS MUNICIPAL ,5
 ATHENS MUNICPAL ,1
 ATHENS-BEN EPPS ,1
 ATHENS-BEN EPPS AIRPORT ,1
 ATHENS/BEN EPPS ,5
 ATHENS/BEN EPPS AIRPORT ,1
 ATKINSON MUNI ,1
 ATL. HARTSFIELD INTL. APT ,1
 ATLANTA ,2
 ATLANTA HARTSFIELD ,5
 ATLANTA INT'L AIRPORT ,1
 ATLANTA MUNICIPAL ,2
 ATLANTA RGNL FALCON FIELD ,3
 ATLANTA/THL ,1
 ATLANTIC AIR PARK ,1
 ATLANTIC AIRPARK ,1
 ATLANTIC CITY ,7
 ATLANTIC CITY INTL ,5
 ATLANTIC CITY ITNL. ,1
 ATLANTIC OCEAN ,1
 ATLANTIC ULTRALIGHTS ,1
" ATLANTIC-CITY,BADER FIELD ",1
 ATMAUTLAUK ,2
 ATMAUTLUAK ,2
 ATMAUTLWAK ,1
 ATMORE ,1
 ATMORE MUNI ,2
 ATOKA MUNI ,1
 ATSUGI ,1
 ATWATER ,2
 ATWATER MUNI ,1
 ATWATER MUNICAIPAL ,1
 ATWELL ,1
 ATWOOD ,1
 AUBURN ,11
 AUBURN MUNI ,16
 AUBURN MUNI AIRPORT ,1
 AUBURN MUNICIPAL ,19
 AUBURN-LEWISTON MUNI ,3
 AUBURN-OPELIKA ,6
 AUBURN-OPELIKA ROBERT G. PITTS ,2
 AUBURN/OPELIKA ,1
 AUDLEY DIVIDE HELIPORT ,1
 AUDUBON ,1
 AUDUBON MUNI ,1
 AUDUBON MUNICIPAL ,1
 AUGUST ACRES ,4
 AUGUSTA ,6
 AUGUSTA MUNI ,2
 AUGUSTA MUNICIPAL ,2
 AUGUSTA RGNL AT BUSH FIELD ,1
 AUGUSTA STATE ,9
 AUGUSTA STATE AIRPORT ,2
" AUGUSTA, ME ",1
 AURA VALLEY ,4
 AURORA ,19
 AURORA AIRPARK ,7
 AURORA AIRPORT ,1
 AURORA INTERNATIONAL ,1
 AURORA MEMORIAL MUNICIPAL ,1
 AURORA MINICIPAL ,1
 AURORA MUNI ,5
 AURORA MUNICIPAL ,4
 AURORA MUNICIPAL AIRPORT ,1
 AURORA STATE ,12
 AURORA STATE AIRPORT ,1
 AURORO ,1
 AUSTIN ,2
 AUSTIN AIR PARK ,1
 AUSTIN AIR RANCH ,2
 AUSTIN AIRPARK ,1
 AUSTIN BIRD'S NEST ,1
