,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,,
351,fernandina beach municipal,13,fernandina beach,Florida,FL,13,,
352,fernandina beach municipal,13,,Florida,FL,0,,
353,warsaw municipal,13,warsaw,Indiana,IN,12,,
354,warsaw municipal,13,perry,New York,NY,1,,
355,bend municipal,13,bend,Oregon,OR,13,,
356,wadsworth municipal,13,youngstown,Ohio,OH,1,,
357,wadsworth municipal,13,wadsworth,Ohio,OH,12,,
358,middle peninsula regional,13,west point,Virginia,VA,12,,
359,middle peninsula regional,13,,Virginia,VA,0,,
360,middle peninsula regional,13,mattaponi,Virginia,VA,1,,
361,airglades,13,clewiston,Florida,FL,13,,
362,avi suquilla,13,parker,Arizona,AZ,13,,
363,coolidge municipal,12,coolidge,Arizona,AZ,11,,
364,coolidge municipal,12,florence,Arizona,AZ,1,,
365,skiatook municipal,12,skiatook,Oklahoma,OK,12,,
366,fitch h beach,12,charlotte,Michigan,MI,12,,
367,covington municipal,12,covington,Georgia,GA,6,,
368,covington municipal,12,covington,Kentucky,KY,1,,
369,covington municipal,12,covington,California,CA,1,,
370,covington municipal,12,covington,Tennessee,TN,4,,
371,covington municipal,12,,Tennessee,TN,0,,
372,griffin spalding county,12,griffin,Georgia,GA,12,,
373,saline county regional,12,benton,Arkansas,AR,7,,
374,saline county regional,12,bryant,Arkansas,AR,5,,
375,ankeny regional,12,ankeny,Iowa,IA,12,,
376,toledo suburban,12,lambertville,Michigan,MI,11,,
377,toledo suburban,12,lambertville,Ohio,OH,1,,
378,mt pleasant regional faison field,12,mount pleasant,South Carolina,SC,12,,
379,mt pleasant regional faison field,12,,South Carolina,SC,0,,
380,siler city municipal,12,siler city,North Carolina,NC,11,,
381,siler city municipal,12,siler city airp,North Carolina,NC,1,,
382,cleburne regional,12,cleburne,Texas,TX,12,,
383,oceano county,12,oceano,California,CA,12,,
384,warner springs,12,fremont,California,CA,2,,
385,warner springs,12,warner springs,California,CA,10,,
386,gila bend municipal,12,gila bend,Arizona,AZ,11,,
387,gila bend municipal,12,wickenburg,Arizona,AZ,1,,
388,mulino state,12,mulino,Oregon,OR,10,,
389,mulino state,12,molalla,Oregon,OR,2,,
390,mc minnville municipal,12,mcminnville,Oregon,OR,10,,
391,mc minnville municipal,12,mc minnville,Oregon,OR,1,,
392,mc minnville municipal,12,mcminville,Oregon,OR,1,,
393,hammonton municipal,12,hammonton,New Jersey,NJ,12,,
394,dennis f cantrell field,12,conway,Arkansas,AR,12,,
395,turners falls,12,montague,Massachusetts,MA,12,,
396,dupont lapeer,12,lapeer,Michigan,MI,12,,
397,lloyd stearman field,12,benton,Kansas,KS,12,,
398,plum island,12,newburyport,Massachusetts,MA,12,,
399,expressway airpark,12,oklahoma city,Oklahoma,OK,12,,
400,zelienople municipal,12,zelienople,Pennsylvania,PA,12,,
401,put in bay,12,put in bay,Ohio,OH,12,,
402,macon county,11,franklin,North Carolina,NC,11,,
403,cherry ridge,11,honesdale,Pennsylvania,PA,11,,
404,hanford municipal,11,hanford,California,CA,11,,
405,ford,11,iron mountain,Michigan,MI,3,,
406,ford,11,kingsford,Michigan,MI,8,,
407,stennis international,11,bay saint louis,Mississippi,MS,10,,
408,stennis international,11,kiln,Mississippi,MS,1,,
409,moriarty,11,moriarty,New Mexico,NM,11,,
410,frasca field,11,urbana,Illinois,IL,11,,
411,freeway,11,mitchellville,Maryland,MD,10,,
412,freeway,11,salisbury,Maryland,MD,1,,
413,watts woodland,11,woodland,California,CA,11,,
414,camarillo municipal,11,camarillo,California,CA,11,,
415,ashland regional,11,raceland,Kentucky,KY,1,,
416,ashland regional,11,ashland,Kentucky,KY,9,,
417,ashland regional,11,worthington,Kentucky,KY,1,,
418,charlevoix municipal,11,charlevoix,Michigan,MI,11,,
419,chester catawba regional,11,chester,Connecticut,CT,1,,
420,chester catawba regional,11,,Virginia,VA,0,,
421,chester catawba regional,11,chester,South Carolina,SC,10,,
422,baraboo wisconsin dells,11,baraboo,Wisconsin,WI,7,,
423,baraboo wisconsin dells,11,portage,Wisconsin,WI,3,,
424,baraboo wisconsin dells,11,coloma,Wisconsin,WI,1,,
425,slaton municipal,11,slaton,Texas,TX,11,,
426,somerset,11,bedminster,New Jersey,NJ,4,,
427,somerset,11,somerville,New Jersey,NJ,5,,
428,somerset,11,somerset,New Jersey,NJ,2,,
429,hartford municipal,11,hartford,Wisconsin,WI,10,,
430,hartford municipal,11,lomira,Wisconsin,WI,1,,
431,gillespie county,11,fredericksburg,Texas,TX,11,,
432,russellville regional,11,russellville,Kentucky,KY,1,,
433,russellville regional,11,russellville,Arkansas,AR,10,,
434,rutherford co marchman field,11,rutherfordton,North Carolina,NC,11,,
435,tampa north aero park,11,wesley chapel,Florida,FL,1,,
436,tampa north aero park,11,tampa,Florida,FL,9,,
437,tampa north aero park,11,lutz,Florida,FL,1,,
438,crest airpark,11,kent,Washington,WA,10,,
439,crest airpark,11,alder lake,Washington,WA,1,,
440,keystone airpark,11,keystone heights,Florida,FL,10,,
441,keystone airpark,11,starke,Florida,FL,1,,
442,dawson municipal,11,massillon,Ohio,OH,1,,
443,dawson municipal,11,dawson,Texas,TX,1,,
444,dawson municipal,11,dawson,Georgia,GA,9,,
