,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,, 
2073,north vernon,2,north vernon,Indiana,IN,2,,
2074,northwest missouri regional,2,maryville,Missouri,MO,2,,
2075,norway municipal,2,norway,Oregon,OR,2,,
2076,nowata municipal,2,nowata,Oklahoma,OK,2,,
2077,o'neal,2,vincennes,Indiana,IN,2,,
2078,oakley municipal,2,oakley,Kansas,KS,2,,
2079,oakridge state,2,oakridge,Oregon,OR,2,,
2080,ocean shores municipal,2,ocean shores,Washington,WA,2,,
2081,ohare international,2,chicago,Illinois,IL,2,,
2082,olathe municipal,2,olathe,Kansas,KS,2,,
2083,onawa municipal,2,onawa,Iowa,IA,2,,
2084,orange city municipal,2,orange city,Iowa,IA,2,,
2085,orchard park municipal,2,orchard park,New York,NY,2,,
2086,munday municipal,2,munday,Texas,TX,1,,
2087,munday municipal,2,haskell,Texas,TX,1,,
2088,mount carmel municipal,2,saint francisville,Illinois,IL,1,,
2089,mount carmel municipal,2,mount carmel,Illinois,IL,1,,
2090,mount carmel municipal,2,,Illinois,IL,0,,
2091,moriarty municipal,2,moriarty,New Mexico,NM,2,,
2092,morgan field,2,morgan city,Louisiana,LA,2,,
2093,may,2,greensboro,North Carolina,NC,1,,
2094,may,2,may,Idaho,ID,1,,
2095,mayes,2,carson city,Michigan,MI,2,,
2096,mc connell air force base,2,wichita,Kansas,KS,2,,
2097,mc entire jngb,2,columbia,South Carolina,SC,2,,
2098,mc gee field,2,wolfe city,Texas,TX,1,,
2099,mc gee field,2,monterey,Louisiana,LA,1,,
2100,mc gill,2,estacada,Oregon,OR,1,,
2101,mc gill,2,cicero,Indiana,IN,1,,
2102,mccook municipal,2,mc cook,Nebraska,NE,2,,
2103,mead flying service,2,mead,Washington,WA,2,,
2104,mears field,2,concrete,Washington,WA,2,,
2105,mecklenburg brunswick regional,2,south hill,Virginia,VA,1,,
2106,mecklenburg brunswick regional,2,brodnax,Virginia,VA,1,,
2107,menomonie municipal score field,2,clyde park,Montana,MT,1,,
2108,menomonie municipal score field,2,menomonie,Wisconsin,WI,1,,
2109,mentone,2,mentone,Indiana,IN,2,,
2110,mentone municipal,2,mentone,Indiana,IN,2,,
2111,mexico city international,2,mexico city,,,0,,
2112,mexico city international,2,mexico city,Texas,TX,1,,
2113,mexico international,2,mexico,,,0,,
2114,mexico international,2,mexico city,,,0,,
2115,michael,2,syracuse,New York,NY,1,,
2116,michael,2,cicero,New York,NY,1,,
2117,middletown international,2,middletown,Pennsylvania,PA,2,,
2118,midlake,2,elmendorf,Texas,TX,2,,
2119,milaca municipal,2,milaca,Minnesota,MN,2,,
2120,milan,2,china hill,Georgia,GA,1,,
2121,milan,2,milan,Illinois,IL,1,,
2122,mineral county memorial,2,creede,Colorado,CO,2,,
2123,minot municipal,2,minot,North Dakota,ND,2,,
2124,missouri valley,2,missouri valley,Iowa,IA,2,,
2125,montague yreka rohrer field,2,montague,California,CA,2,,
2126,monticello municipal ellis field,2,monticello,Arkansas,AR,2,,
2127,moores,2,dummerston,Vermont,VT,1,,
2128,moores,2,degrasse,New York,NY,1,,
2129,mora municipal,2,mora,Minnesota,MN,2,,
2130,orlando municipal,2,orlando,Florida,FL,2,,
2131,orr regional,2,orr,Minnesota,MN,2,,
2132,ottiger,2,montague,Michigan,MI,2,,
2133,quinn,2,selma,California,CA,1,,
2134,quinn,2,gothenburg,Nebraska,NE,1,,
2135,real county,2,leakey,Texas,TX,2,,
2136,red cloud municipal,2,red cloud,Nebraska,NE,2,,
2137,red fox,2,bondville,Vermont,VT,2,,
2138,red wing municipal,2,red wing,Minnesota,MN,2,,
2139,redfield municipal,2,redfield,South Dakota,SD,2,,
2140,redmond municipal,2,redmond,Oregon,OR,2,,
2141,rehoboth beach municipal,2,rehoboth beach,Delaware,DE,2,,
2142,reserve,2,reserve,New Mexico,NM,2,,
2143,richard b helgeson,2,two harbors,Minnesota,MN,2,,
2144,riddick field,2,philipsburg,Montana,MT,2,,
2145,rigby,2,rigby,Idaho,ID,2,,
2146,riley field,2,attica,Indiana,IN,1,,
2147,riley field,2,rockford,Ohio,OH,1,,
2148,rittenhouse army heliport,2,meadview,Arizona,AZ,2,,
2149,road commission nr 1,2,denali,Alaska,AK,2,,
2150,rochelle municipal,2,rochelle,Illinois,IL,2,,
2151,rolla downtown,2,rolla,Missouri,MO,2,,
2152,rolla municipal,2,rolla,North Dakota,ND,2,,
2153,ronan,2,ronan,Montana,MT,2,,
2154,rosaschi air park,2,smith,Nevada,NV,2,,
2155,roseland,2,norfolk,Massachusetts,MA,2,,
2156,rostraver municipal,2,rostraver,Pennsylvania,PA,2,,
2157,rough river state park,2,falls of rough,Kentucky,KY,2,,
2158,ruleville drew,2,drew,Mississippi,MS,1,,
2159,ruleville drew,2,ruleville,Mississippi,MS,1,,
2160,salaika aviation,2,danbury,Texas,TX,2,,
2161,san antonio municipal,2,san antonio,Texas,TX,2,,
2162,san fernando municipal,2,san fernando,California,CA,2,,
2163,san manuel municipal,2,san manuel,Arizona,AZ,2,,
2164,rattlesnake island,2,put in bay,Ohio,OH,2,,
2165,questa municipal nr 2,2,spring valley,New York,NY,1,,
2166,questa municipal nr 2,2,questa,New Mexico,NM,1,,
2167,palomino,2,sparks,Nevada,NV,2,,
2168,purdy nielsen memorial airpark,2,beasley,Texas,TX,2,,
2169,pana community hospital,2,chicago heights,Illinois,IL,1,,
2170,pana community hospital,2,park forest,Illinois,IL,1,,
2171,parker municipal,2,parker,Arizona,AZ,2,,
2172,parkland,2,erie,Colorado,CO,2,,
2173,pauls valley municipal,2,pauls valley,Oklahoma,OK,2,,
2174,pawhuska municipal,2,pawhuska,Oklahoma,OK,2,,
2175,payette municipal,2,payette,Idaho,ID,2,,
2176,peach state,2,williamson,Georgia,GA,2,,
2177,pearland municipal,2,pearland,Texas,TX,2,,
2178,perkins field,2,bison,South Dakota,SD,1,,
2179,perkins field,2,overton,Nevada,NV,1,,
2180,perry county,2,marion,Alabama,AL,1,,
2181,perry county,2,new lexington,Ohio,OH,1,,
2182,phillipsburg municipal,2,phillipsburg,Kansas,KS,2,,
2183,picayune municipal,2,picayune,Mississippi,MS,2,,
2184,piedmont municipal,2,chicago,Illinois,IL,1,,
2185,piedmont municipal,2,piedmont,Missouri,MO,1,,
2186,piggott municipal,2,piggott,Arkansas,AR,2,,
2187,pine hill,2,albion,New York,NY,1,,
2188,pine hill,2,barre,New York,NY,1,,
2189,pine shadows airpark,2,fort myers,Florida,FL,2,,
2190,pinewood,2,douglasville,Georgia,GA,2,,
2191,pipestone municipal,2,pipestone,Minnesota,MN,2,,
2192,plateau sky ranch,2,edinburg,New York,NY,2,,
2193,pleasant valley,2,phoenix,Arizona,AZ,2,,
2194,port isabel cameron county,2,port isabel,Texas,TX,2,,
2195,possum kingdom,2,graford,Texas,TX,2,,
2196,prasa la plata,2,barceloneta,Puerto Rico,PR,1,,
2197,prasa la plata,2,dorado,Puerto Rico,PR,1,,
2198,primghar,2,primghar,Iowa,IA,1,,
2199,primghar,2,granville,Iowa,IA,1,,
2200,pru field,2,ritzville,Washington,WA,2,,
2201,puckett,2,eagleville,Tennessee,TN,2,,
2202,pullman municipal,2,pullman,Washington,WA,2,,
2203,kingfisher,2,kingfisher,Oklahoma,OK,2,,
2204,zuehl,2,marion,Texas,TX,2,,
2205,grant municipal,2,grant,Michigan,MI,1,,
2206,grant municipal,2,grant,Nebraska,NE,1,,
2207,chariton municipal,2,chariton,Iowa,IA,2,,
2208,houston executive,2,brookshire,Texas,TX,1,,
2209,houston executive,2,houston,Texas,TX,1,,
2210,howard nixon memorial,2,chesaning,Michigan,MI,2,,
2211,chapin,2,cambridge,New York,NY,2,,
2212,hubler field,2,caldwell,Idaho,ID,2,,
2213,hudson,2,mesquite,Texas,TX,2,,
2214,hulett municipal,2,hulett,Wyoming,WY,2,,
2215,grinnell regional,2,san diego,California,CA,1,,
2216,grinnell regional,2,grinnell,Iowa,IA,1,,
2217,covington,2,spencer,Virginia,VA,1,,
2218,covington,2,covington,Tennessee,TN,1,,
2219,humphreys county,2,waverly,Tennessee,TN,2,,
2220,covington international,2,covington,Kentucky,KY,2,,
2221,chambersburg municipal,2,chambersburg,Pennsylvania,PA,2,,
2222,hunter mountain,2,hunter,New York,NY,2,,
2223,el paso municipal,2,el paso,Texas,TX,2,,
2224,huntingdon,2,mount union,Pennsylvania,PA,2,,
2225,el mirage municipal,2,el mirage,California,CA,2,,
2226,elizabethton municipal,2,elizabethton,Tennessee,TN,2,,
2227,breakaway park,2,cedar park,Texas,TX,2,,
2228,great valley,2,great valley,New York,NY,2,,
2229,elk grove,2,elk grove,California,CA,2,,
2230,brandon,2,opa locka,Florida,FL,1,,
2231,brandon,2,brandon,Florida,FL,1,,
2232,holyoke municipal,2,holyoke,Colorado,CO,2,,
2233,homedale municipal,2,homedale,Idaho,ID,2,,
2234,hondarosa,2,graniteville,South Carolina,SC,2,,
2235,ells field willits municipal,2,willits,California,CA,2,,
2236,charles r johnson,2,port mansfield,Texas,TX,2,,
2237,honeoye falls municipal,2,honeoye falls,New York,NY,2,,
2238,ellington municipal,2,ellington,Connecticut,CT,2,,
2239,gundys,2,owasso,Oklahoma,OK,2,,
2240,brazil clay county,2,brazil,Indiana,IN,2,,
2241,ellenville municipal,2,ellenville,New York,NY,2,,
2242,hopkins field,2,nucla,Colorado,CO,2,,
2243,hornell municipal,2,hornell,New York,NY,2,,
2244,elkhart morton county,2,elkhart,Kansas,KS,2,,
2245,costin,2,port saint joe,Florida,FL,2,,
2246,cozad municipal,2,cozad,Nebraska,NE,2,,
2247,grimes,2,,Oklahoma,OK,0,,
2248,grimes,2,bethel,Pennsylvania,PA,2,,
2249,hurdle field,2,mebane,North Carolina,NC,2,,
2250,bamberg county,2,bamberg,South Carolina,SC,2,,
2251,atwater municipal,2,atwater,California,CA,2,,
2252,brokenstraw,2,pittsfield,Pennsylvania,PA,1,,
2253,brokenstraw,2,sugar grove,Pennsylvania,PA,1,,
2254,atmore municipal,2,atmore,Alabama,AL,2,,
2255,edgar county,2,paris,Illinois,IL,2,,
2256,isbell field,2,fort payne,Alabama,AL,2,,
2257,isla grande municipal,2,san juan,Puerto Rico,PR,2,,
2258,central city municipal larry reineke field,2,central city,Nebraska,NE,2,,
2259,atlanta municipal,2,atlanta,Georgia,GA,1,,
2260,atlanta municipal,2,atlanta,Texas,TX,1,,
2261,green acres,2,livingston,New York,NY,2,,
2262,crewe municipal,2,crewe,Virginia,VA,2,,
2263,islesboro,2,islesboro,Maine,ME,2,,
2264,astronaut kent rominger,2,del norte,Colorado,CO,2,,
2265,fosston municipal,2,fosston,Minnesota,MN,2,,
2266,crivitz municipal,2,crivitz,Wisconsin,WI,2,,
2267,fostoria metropolitan,2,fostoria,Ohio,OH,2,,
2268,central county,2,greenville,Kentucky,KY,1,,
2269,central county,2,iola,Wisconsin,WI,1,,
2270,auburn,2,auburn,Ohio,OH,1,,
2271,auburn,2,lewiston,Maine,ME,1,,
2272,greenfield municipal,2,greenfield,Iowa,IA,2,,
2273,aztec municipal,2,aztec,New Mexico,NM,2,,
2274,effingham county memorial,2,effingham,Illinois,IL,2,,
2275,crandon steve conway municipal,2,crandon,Wisconsin,WI,2,,
2276,bailes,2,angleton,Texas,TX,2,,
2277,crawford,2,crawford,Colorado,CO,2,,
2278,hyde county,2,engelhard,North Carolina,NC,2,,
2279,crawford co,2,oblong,Illinois,IL,1,,
2280,crawford co,2,robinson,Illinois,IL,1,,
2281,crazy horse municipal,2,davis,Oklahoma,OK,2,,
2282,bristow us llc,2,galliano,Louisiana,LA,2,,
2283,idabel,2,idabel,Oklahoma,OK,2,,
2284,ilwaco municipal,2,ilwaco,Washington,WA,2,,
2285,indian creek usfs,2,indian creek,Idaho,ID,2,,
2286,central farmers coop,2,mamou,Louisiana,LA,2,,
2287,austin,2,austin,Texas,TX,2,,
2288,ingersoll,2,canton,Illinois,IL,2,,
2289,chattanooga sky harbor,2,chattanooga,Oklahoma,OK,2,,
2290,holly hill,2,holly hill,South Carolina,SC,2,,
2291,hollis municipal,2,hollis,Oklahoma,OK,2,,
2292,hamlin municipal,2,hamlin,Texas,TX,2,,
2293,harriman and,2,north adams,Massachusetts,MA,2,,
2294,fallbrook municipal,2,fallbrook,California,CA,2,,
2295,hector municipal,2,hector,Minnesota,MN,2,,
2296,bluebird airpark,2,purcell,Oklahoma,OK,2,,
2297,bluff,2,bluff,Utah,UT,2,,
2298,bluffton municipal,2,bluffton,Ohio,OH,2,,
2299,bethel regional,2,bethel,Maine,ME,2,,
2300,hannibal regional,2,hannibal,Missouri,MO,2,,
2301,henderson aviation,2,felton,Delaware,DE,2,,
2302,bob wiley field,2,winner,South Dakota,SD,2,,
2303,henderson city county,2,henderson,Kentucky,KY,2,,
2304,henderson municipal,2,henderson,Kentucky,KY,2,,
2305,bessemer municipal,2,bessemer,Alabama,AL,2,,
2306,berrien co,2,nashville,Georgia,GA,2,,
2307,henry post aaf fort sill,2,fort sill,Oklahoma,OK,2,,
2308,farmers pride,2,fredericksburg,Pennsylvania,PA,2,,
2309,big sandy,2,big sandy,Montana,MT,2,,
2310,cisco municipal,2,cisco,Texas,TX,2,,
2311,bloomfield municipal,2,bloomfield,Iowa,IA,2,,
2312,hawkins county,2,rogersville,Tennessee,TN,2,,
2313,bison municipal,2,bison,South Dakota,SD,2,,
2314,fillmore county,2,preston,Minnesota,MN,2,,
2315,clewiston,2,clewiston,Florida,FL,2,,
2316,clay center municipal,2,clay center,Kansas,KS,2,,
2317,bimini municipal,2,bimini,,,0,,
2318,billy free municipal,2,dumas,Arkansas,AR,2,,
2319,hartenbower hectares,2,lostant,Illinois,IL,2,,
2320,clinton memorial,2,clinton,Missouri,MO,2,,
2321,clarion municipal,2,clarion,Iowa,IA,2,,
2322,clare county,2,harrison,Michigan,MI,2,,
2323,city of tulia swisher county municipal,2,tulia,Texas,TX,2,,
2324,heber airpark,2,gansevoort,New York,NY,2,,
2325,firstair field,2,monroe,Washington,WA,1,,
2326,firstair field,2,berkeley springs,West Virginia,WV,1,,
2327,bondair,2,bonair,Arkansas,AR,1,,
2328,bondair,2,heber springs,Arkansas,AR,1,,
2329,hamilton field,2,syracuse,Kansas,KS,1,,
2330,hamilton field,2,derby,Kansas,KS,1,,
2331,hollands international field,2,newfane,New York,NY,2,,
2332,flanders municipal,2,flanders,New Jersey,NJ,2,,
2333,beloit municipal,2,beloit,Kansas,KS,1,,
2334,beloit municipal,2,beloit,Wisconsin,WI,1,,
2335,highland,2,perrysville,Indiana,IN,1,,
2336,highland,2,frankfort,New York,NY,1,,
2337,flushing municipal,2,flushing,New York,NY,2,,
2338,hillcrest,2,johnstown,Ohio,OH,1,,
2339,hillcrest,2,keller,Texas,TX,1,,
2340,hilltop lakes,2,normangee,Texas,TX,1,,
2341,hilltop lakes,2,hilltop lakes,Texas,TX,1,,
2342,flying circus aerodrome,2,warrenton,Virginia,VA,2,,
2343,belleville,2,belleville,Michigan,MI,2,,
2344,flying crown,2,anchorage,Alaska,AK,2,,
2345,beech river regional,2,,Tennessee,TN,0,,
2346,beech river regional,2,darden,Tennessee,TN,2,,
2347,flying heart ranch,2,waco,Texas,TX,2,,
2348,cook county,2,adel,Georgia,GA,2,,
2349,cook municipal,2,cook,Minnesota,MN,2,,
2350,chena marina,2,fairbanks,Alaska,AK,2,,
2351,elwood,2,elwood,Indiana,IN,2,,
2352,elma municipal,2,oxford,North Carolina,NC,2,,
2353,high valley airpark,2,suches,Georgia,GA,2,,
2354,hidden river,2,sarasota,Florida,FL,2,,
2355,eureka municipal,2,eureka,Alaska,AK,1,,
2356,eureka municipal,2,arcata,California,CA,1,,
2357,hershey municipal,2,hershey,Pennsylvania,PA,2,,
2358,chloride,2,edgewood,New Mexico,NM,2,,
2359,berg field,2,manahawkin,New Jersey,NJ,2,,
2360,benton county,2,camden,Tennessee,TN,2,,
2361,florala municipal,2,florala,Alabama,AL,2,,
2362,exeter,2,halfpenny green,,,0,,
2363,exeter,2,exeter,California,CA,1,,
2364,everitt,2,parker,Colorado,CO,2,,
2365,evelyn sharp field,2,chicago,Illinois,IL,1,,
2366,evelyn sharp field,2,loup city,Nebraska,NE,1,,
2367,beltzville,2,lehighton,Pennsylvania,PA,2,,
2368,boscobel,2,boscobel,Wisconsin,WI,2,,
2369,bendigo,2,tower city,Pennsylvania,PA,2,,
2370,belzoni municipal,2,belzoni,Mississippi,MS,2,,
2371,colorado city municipal,2,colorado city,Texas,TX,1,,
2372,colorado city municipal,2,colorado city,Arizona,AZ,1,,
2373,colville municipal,2,colville,Washington,WA,2,,
2374,eutaw municipal,2,eutaw,Alabama,AL,2,,
2375,issaquah municipal,2,issaquah,Washington,WA,2,,
2376,fertile municipal,2,fertile,Minnesota,MN,2,,
2377,casey municipal,2,casey,Illinois,IL,2,,
2378,buchan,2,englewood,Florida,FL,2,,
2379,dunsmuir municipal mott,2,dunsmuir,California,CA,2,,
2380,julian carroll,2,jackson,Kentucky,KY,2,,
2381,freehold,2,freehold,New York,NY,2,,
2382,general dick stout field,2,hurricane,West Virginia,WV,1,,
2383,general dick stout field,2,hurricane,Utah,UT,1,,
2384,fred netterville lbr co wilkinson commnty,2,woodville,Mississippi,MS,2,,
2385,jones memorial,2,bristow,Oklahoma,OK,2,,
2386,alva municipal,2,alva,Oklahoma,OK,2,,
2387,bunkie municipal,2,bunkie,Louisiana,LA,2,,
2388,danielson municipal,2,danielson,Connecticut,CT,2,,
2389,daniels field,2,harrisburg,Oregon,OR,2,,
2390,g. v. montgomery,2,forest,Mississippi,MS,2,,
2391,buffalo lancaster regional,2,lancaster,New York,NY,2,,
2392,american legion village of centertown,2,mountain grove,Missouri,MO,2,,
2393,johnsen,2,fremont,California,CA,2,,
2394,franklin wilkins,2,lexington,Tennessee,TN,2,,
2395,calhan,2,calhan,Colorado,CO,2,,
2396,gatwick international,2,london,,,0,,
2397,caruthersville memorial,2,caruthersville,Missouri,MO,2,,
2398,anderson field,2,brewster,Washington,WA,1,,
2399,anderson field,2,kennedy,Minnesota,MN,1,,
2400,cantwell,2,cantwell,Alaska,AK,2,,
2401,gatesville municipal,2,gatesville,Texas,TX,2,,
2402,dale hollow regional petro field,2,albany,Kentucky,KY,2,,
2403,granby grand county,2,granby,Colorado,CO,2,,
2404,delphi municipal,2,delphi,Indiana,IN,2,,
2405,jimmy carter regional,2,americus,Georgia,GA,2,,
2406,anita municipal,2,anita,Iowa,IA,2,,
2407,bucks,2,bridgeton,New Jersey,NJ,2,,
2408,key west nas boca chica field,2,key west,Florida,FL,2,,
2409,butts aaf fort carson,2,fort carson,Colorado,CO,1,,
2410,butts aaf fort carson,2,colorado springs,Colorado,CO,1,,
2411,carrizozo municipal,2,carrizozo,New Mexico,NM,2,,
2412,ds butler farm and airfield,2,murray,Nebraska,NE,2,,
2413,kenmare municipal,2,kenmare,North Dakota,ND,2,,
2414,downtown manhattan wall st,2,new york,New York,NY,2,,
2415,kelly ranch,2,woodland,Washington,WA,2,,
2416,canyon lake,2,canyon lake,Texas,TX,1,,
2417,canyon lake,2,spring branch,Texas,TX,1,,
2418,cabin creek usfs,2,cabin creek,Idaho,ID,1,,
2419,cabin creek usfs,2,tipton,Oklahoma,OK,1,,
2420,glad oaks,2,houston,Texas,TX,2,,
2421,airpark east,2,dallas,Texas,TX,2,,
2422,kent county,2,jayton,Texas,TX,2,,
2423,kearny,2,kearny,Arizona,AZ,2,,
2424,caesar creek,2,waynesville,Ohio,OH,2,,
2425,dayton municipal,2,dayton,Ohio,OH,2,,
2426,dawson's,2,brickeys,Arkansas,AR,2,,
2427,kern field,2,taft,California,CA,2,,
2428,iuka,2,iuka,Mississippi,MS,2,,
2429,alderman,2,saint clairsville,Ohio,OH,2,,
2430,ketchikan municipal,2,ketchikan,Alaska,AK,2,,
2431,duanesburg municipal,2,duanesburg,New York,NY,2,,
2432,doniphan municipal,2,doniphan,Missouri,MO,2,,
2433,frisco municipal,2,frisco,Texas,TX,2,,
2434,glenn's strip,2,braithwaite,Louisiana,LA,2,,
2435,campbell county,2,jacksboro,Tennessee,TN,2,,
2436,kakhonak municipal,2,kakhonak,Alaska,AK,2,,
2437,cagney,2,clio,Michigan,MI,2,,
2438,friends,2,norfolk,Massachusetts,MA,2,,
2439,campbell airstrip,2,anchorage,Alaska,AK,2,,
2440,carl folsom,2,elba,Alabama,AL,2,,
2441,dyersburg municipal,2,dyersburg,Tennessee,TN,2,,
2442,kenner international,2,kenner,Louisiana,LA,2,,
2443,cynthiana harrison county,2,cynthiana,Kentucky,KY,2,,
2444,ardmore,2,ardmore,Alabama,AL,2,,
2445,apex airpark,2,silverdale,Washington,WA,2,,
2446,catalina island municipal,2,catalina island,California,CA,2,,
2447,javika,2,surfside beach,South Carolina,SC,2,,
2448,arkadelphia municipal,2,arkadelphia,Arkansas,AR,2,,
2449,aberdeen municipal,2,american falls,Idaho,ID,1,,
2450,aberdeen municipal,2,aberdeen,Mississippi,MS,1,,
2451,aberdeen municipal,2,,Idaho,ID,0,,
2452,j. douglas bake memorial.,2,oconto,Wisconsin,WI,2,,
2453,janes,2,blaine,Minnesota,MN,1,,
2454,janes,2,minneapolis,Minnesota,MN,1,,
2455,kimball municipal,2,kimball,Nebraska,NE,2,,
2456,early county,2,blakely,Georgia,GA,2,,
2457,gallatin municipal,2,gallatin,Tennessee,TN,2,,
2458,custer state park,2,fairburn,South Dakota,SD,2,,
2459,cross keys municipal,2,cross keys,New Jersey,NJ,2,,
2460,east boston municipal,2,east boston,Massachusetts,MA,2,,
2461,denver city,2,denver city,Texas,TX,2,,
2462,jacumba,2,san diego,California,CA,1,,
2463,jacumba,2,jacumba,California,CA,1,,
2464,cuchara valley at la veta,2,la veta,Colorado,CO,2,,
2465,jackson private,2,jackson,Mississippi,MS,1,,
2466,jackson private,2,jackson,Georgia,GA,1,,
2467,jackson hole municipal,2,jackson hole,Wyoming,WY,2,,
2468,east gull lake,2,gull lake,Minnesota,MN,1,,
2469,east gull lake,2,east gull lake,Minnesota,MN,1,,
2470,arch,2,saint louis,Missouri,MO,2,,
2471,campbell aaf fort campbell,2,farmingdale,New Jersey,NJ,1,,
2472,campbell aaf fort campbell,2,fort campbell,Kentucky,KY,1,,
2473,camp lake,2,camp lake,Wisconsin,WI,2,,
2474,grand isle,2,galliano,Louisiana,LA,1,,
2475,grand isle,2,big cabin,Oklahoma,OK,1,,
2476,brookville municipal,2,brookville,Ohio,OH,2,,
2477,earl l. small jr. field stockmar,2,villa rica,Georgia,GA,2,,
2478,franconia,2,franconia,New Hampshire,NH,2,,
2479,brookhaven municipal,2,brookhaven,New York,NY,2,,
2480,curtis municipal,2,curtis,Nebraska,NE,2,,
2481,king ranch,2,sutton,Alaska,AK,1,,
2482,king ranch,2,chickaloon,Alaska,AK,1,,
2483,anthonson,2,peru,New York,NY,1,,
2484,anthonson,2,jordan,New York,NY,1,,
2485,jesup municipal,2,jesup,Georgia,GA,2,,
2486,brookline,2,brookline,New Hampshire,NH,2,,
2487,gadabout gaddis,2,bingham,Maine,ME,2,,
2488,ashe county,2,west jefferson,North Carolina,NC,1,,
2489,ashe county,2,jefferson,North Carolina,NC,1,,
2490,curtis l brown jr field,2,elizabethtown,North Carolina,NC,2,,
2491,gander international,2,gander,,,0,,
2492,gander international,2,newfoundland,,,0,,
2493,crosbyton municipal,2,crosbyton,Texas,TX,2,,
2494,antiquers aerodrome,2,delray beach,Florida,FL,2,,
2495,cassville municipal,2,cassville,Missouri,MO,2,,
2496,grapevine municipal,2,grapevine,Arizona,AZ,1,,
2497,grapevine municipal,2,grapevine,Texas,TX,1,,
2498,demopolis municipal,2,demopolis,Alabama,AL,2,,
2499,caswell,2,yanceyville,North Carolina,NC,2,,
2500,camas county,2,fairfield,Idaho,ID,2,,
2501,arco butte county,2,arco,Idaho,ID,2,,
2502,kidwell,2,,Nevada,NV,0,,
2503,kidwell,2,cal nev ari,Nevada,NV,2,,
2504,dermott municipal,2,dermott,Arkansas,AR,2,,
2505,brownsville,2,brownsville,California,CA,2,,
2506,st joseph,1,saint joseph,Missouri,MO,1,,
2507,cancun municipal,1,cancun,,,0,,
2508,candlelight farms,1,new milford,Connecticut,CT,1,,
2509,clear sky lodge,1,north pole,Alaska,AK,1,,
2510,chitose municipal,1,chitose,,,0,,
2511,silver springs municipal,1,silver springs,Florida,FL,1,,
2512,chotom municipal,1,chatom,Alabama,AL,1,,
2513,st louis municipal,1,saint louis,Missouri,MO,1,,
2514,canadian lakes,1,mecosta,Michigan,MI,1,,
2515,clear,1,clear,Alaska,AK,1,,
2516,skyport,1,cornelius,Oregon,OR,1,,
2517,st paul municipal,1,saint paul,Minnesota,MN,1,,
2518,skyharbor,1,las vegas,Nevada,NV,1,,
2519,st simons municipal,1,saint simons island,Georgia,GA,1,,
2520,skinner ranch,1,jordan valley,Oregon,OR,1,,
2521,st. cloud municipal,1,saint cloud,Minnesota,MN,1,,
2522,st. joseph hospital,1,phoenix,Arizona,AZ,1,,
2523,sky classics field,1,grantville,Pennsylvania,PA,1,,
2524,st. augustine municipal,1,saint augustine,Florida,FL,1,,
2525,circle s farms,1,lowell,Arkansas,AR,1,,
2526,sky haven,1,enderlin,North Dakota,ND,1,,
2527,st. louis international,1,saint louis,Missouri,MO,1,,
2528,st thomas municipal,1,saint thomas,North Dakota,ND,1,,
2529,claxton evans county,1,claxton,Georgia,GA,1,,
2530,sisseton municipal,1,sisseton,South Dakota,SD,1,,
2531,cle elum municipal,1,cle elum,Washington,WA,1,,
2532,circle municipal,1,circle,Montana,MT,1,,
2533,sky ranch for boys,1,camp crook,South Dakota,SD,1,,
2534,st petersburg international,1,saint petersburg,Florida,FL,1,,
2535,cindy guntly memorial,1,franksville,Wisconsin,WI,1,,
2536,cibecue,1,cibecue,Arizona,AZ,1,,
2537,st pete clearwa international,1,saint petersburg,Florida,FL,1,,
2538,sioux center municipal,1,sioux center,Iowa,IA,1,,
2539,church hill,1,church hill,Maryland,MD,1,,
2540,campbell's,1,grayslake,Illinois,IL,1,,
2541,christmas valley,1,christmas valley,Oregon,OR,1,,
2542,cedar island,1,wilmot,Wisconsin,WI,1,,
2543,smiths land base,1,honeoye falls,New York,NY,1,,
2544,china lake naws armitage field,1,china lake,California,CA,1,,
2545,chadwick,1,van buren,Arkansas,AR,1,,
2546,springhill municipal,1,springhill,Louisiana,LA,1,,
2547,sontimer,1,saint peters,Missouri,MO,1,,
2548,chardon municipal,1,chardon,Ohio,OH,1,,
2549,cass,1,dowagiac,Michigan,MI,1,,
2550,south capitol street,1,chapel hill,North Carolina,NC,1,,
2551,chappell municipal,1,chappell,Nebraska,NE,1,,
2552,chandalar stati municipal,1,chandalar,Alaska,AK,1,,
2553,champ field,1,knoxville,Pennsylvania,PA,1,,
2554,south grand lake regional,1,ketchum,Oklahoma,OK,1,,
2555,spring valley farm,1,northfield,Ohio,OH,1,,
2556,sportsmans field,1,newberg,Oregon,OR,1,,
2557,chambers,1,spencer,Massachusetts,MA,1,,
2558,chagrin falls municipal,1,chagrin falls,Ohio,OH,1,,
2559,south hill municipal,1,south hill,Virginia,VA,1,,
2560,spokane municipal,1,spokane,Washington,WA,1,,
2561,charles de gaulle international,1,paris,,,0,,
2562,cavalier municipal,1,cavalier,North Dakota,ND,1,,
2563,silver lake,1,shapleigh,Maine,ME,1,,
2564,centre airpark,1,centre hall,Pennsylvania,PA,1,,
2565,central industries,1,intracoastal city,Louisiana,LA,1,,
2566,split b ranch,1,canadian,Texas,TX,1,,
2567,southern comforts aerodrome,1,parkton,North Carolina,NC,1,,
2568,southern cross,1,franklinville,New Jersey,NJ,1,,
2569,southern natural gas co.,1,venice,Louisiana,LA,1,,
