
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
10/1989,PDX ,OR,ANM,WE,Combined TRACON & Tower with Radar,"8,147","8,150","4,306",795,"21,398",0,91,"1,296",37,"1,424",385,299,467,104,"1,255",0,0,0,0,0,241,192,433,"23,086","24,510",
10/1989,PHL ,PA,AEA,EN,Towers with Radar,"14,523","11,353","5,041",57,"30,974",0,0,0,0,0,645,411,451,39,"1,546",0,0,0,0,0,0,0,0,"32,520","32,520",
10/1989,PHX ,AZ,AWP,WE,Combined TRACON & Tower with Radar,"23,448","5,766","8,816",595,"38,625",0,0,0,0,0,891,275,480,102,"1,748",0,0,0,0,0,531,8,539,"40,912","40,912",
10/1989,PIT ,PA,AEA,CE,Towers with Radar,"20,689","8,298","2,003",403,"31,393",0,0,0,0,0,830,290,315,122,"1,557",0,0,0,0,0,0,0,0,"32,950","32,950",
10/1989,RDU ,NC,ASO,EN,Towers with Radar,"10,275","4,382","6,915",499,"22,071",0,0,0,0,0,483,204,377,123,"1,187",0,0,0,0,0,396,22,418,"23,676","23,676",
Sub-Total for Unknown,,,,,,"30,964","12,680","8,918",902,"53,464",0,0,0,0,0,"1,313",494,692,245,"2,744",0,0,0,0,0,396,22,418,"56,626","56,626",
10/1989,SAN ,CA,AWP,WE,Combined TRACON & Tower with Radar,"10,971","4,104","1,931",277,"17,283",0,19,339,144,502,274,126,98,41,539,0,0,0,0,0,0,0,0,"17,822","18,324",
10/1989,SAT ,TX,ASW,CE,Towers with Radar,"5,863","1,568","8,516",263,"16,210",0,0,0,0,0,585,826,843,0,"2,254",0,0,0,0,0,684,314,998,"19,462","19,462",
10/1989,SEA ,WA,ANM,WE,Combined TRACON & Tower with Radar,"15,186","12,364",762,10,"28,322",0,71,851,1,923,416,293,147,14,870,0,0,0,0,0,20,0,20,"29,212","30,135",
10/1989,SFO ,CA,AWP,WE,Combined TRACON & Tower with Radar,"24,968","6,641","2,820",196,"34,625",0,0,"1,613",0,"1,613",663,254,369,67,"1,353",0,0,0,0,0,"1,613",0,"1,613","37,591","39,204",
10/1989,SJC ,CA,AWP,WE,Combined TRACON & Tower with Radar,"7,674","3,714","9,845",34,"21,267",0,0,"1,678",0,"1,678",395,168,425,35,"1,023",0,0,0,0,0,"4,071",0,"4,071","26,361","28,039",
Sub-Total for WE,,,,,,"47,828","22,719","13,427",240,"84,214",0,71,"4,142",1,"4,214","1,474",715,941,116,"3,246",0,0,0,0,0,"5,704",0,"5,704","93,164","97,378",
