
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
01/1990,ABI ,TX,ASW,CE,Towers with Radar,3,"1,375","2,678",300,"4,356",0,150,825,76,"1,051",11,98,374,0,483,0,0,0,0,0,"2,408","1,147","3,555","8,394","9,445",
01/1990,ABQ ,NM,ASW,WE,Towers with Radar,"5,471","3,114","5,300","2,785","16,670",0,83,"2,542","2,178","4,803",551,245,344,412,"1,552",0,0,0,0,0,154,682,836,"19,058","23,861",
Sub-Total for Unknown,,,,,,"16,855","8,798","14,554","3,373","43,580",33,"3,025","6,916","2,468","12,442","1,824",917,"1,137",593,"4,471",0,0,0,0,0,"5,352","2,485","7,837","55,888","68,330",
Sub-Total for ASW,,,,,,"5,474","4,489","7,978","3,085","21,026",0,233,"3,367","2,254","5,854",562,343,718,412,"2,035",0,0,0,0,0,"2,562","1,829","4,391","27,452","33,306",
01/1990,ABY ,GA,ASO,ES,Towers with Display (VFR),17,919,"1,167",84,"2,187",0,0,0,0,0,20,65,"1,326",169,"1,580",0,0,0,0,0,770,331,"1,101","4,868","4,868",
01/1990,ACK ,MA,ANE,EN,Towers with Display (VFR),0,951,305,17,"1,273",0,0,0,0,0,0,"3,525","2,975",27,"6,527",0,0,0,0,0,"1,269",56,"1,325","9,125","9,125",
Sub-Total for Unknown,,,,,,17,"1,870","1,472",101,"3,460",0,0,0,0,0,20,"3,590","4,301",196,"8,107",0,0,0,0,0,"2,039",387,"2,426","13,993","13,993",
01/1990,ACT ,TX,ASW,CE,Towers with Radar,21,659,"1,268",302,"2,250",0,"1,255",974,130,"2,359",6,22,"1,298",28,"1,354",0,0,0,0,0,"1,195",584,"1,779","5,383","7,742",
01/1990,ACY ,NJ,AEA,EN,Towers with Radar,426,"1,530","2,849",615,"5,420",186,82,"1,461","1,000","2,729",153,16,0,100,269,0,0,0,0,0,"1,341","1,632","2,973","8,662","11,391",
Sub-Total for Unknown,,,,,,447,"2,189","4,117",917,"7,670",186,"1,337","2,435","1,130","5,088",159,38,"1,298",128,"1,623",0,0,0,0,0,"2,536","2,216","4,752","14,045","19,133",
01/1990,ADM ,OK,ASW,CE,Federal Contract Tower,0,5,128,116,249,0,0,0,0,0,0,33,"1,073",154,"1,260",0,0,0,0,0,722,810,"1,532","3,041","3,041",
01/1990,ADQ ,AK,AAL,WE,Towers with Display (VFR),187,127,49,198,561,0,0,0,0,0,26,991,491,293,"1,801",0,0,0,0,0,82,772,854,"3,216","3,216",
01/1990,ADS ,TX,ASW,CE,Towers with Display (VFR),0,18,"1,533",0,"1,551",0,0,0,0,0,0,28,"10,063",9,"10,100",0,0,0,0,0,454,2,456,"12,107","12,107",
Sub-Total for Unknown,,,,,,187,145,"1,582",198,"2,112",0,0,0,0,0,26,"1,019","10,554",302,"11,901",0,0,0,0,0,536,774,"1,310","15,323","15,323",
01/1990,ADW ,MD,AEA,EN,Combined TRACON & Tower with Radar,0,0,"1,017","6,998","8,015",0,0,0,0,0,10,0,279,71,360,0,0,0,0,0,536,"2,472","3,008","11,383","11,383",
01/1990,AFW ,TX,ASW,CE,Towers with Display (VFR),0,0,24,0,24,0,0,0,0,0,0,4,"1,653",21,"1,678",0,0,0,0,0,"5,611",106,"5,717","7,419","7,419",
01/1990,AGC ,PA,AEA,CE,Towers with Display (VFR),0,747,"2,395",8,"3,150",0,0,0,0,0,0,354,"3,895",32,"4,281",0,0,0,0,0,"7,054",38,"7,092","14,523","14,523",
Sub-Total for Unknown,,,,,,0,747,"2,419",8,"3,174",0,0,0,0,0,0,358,"5,548",53,"5,959",0,0,0,0,0,"12,665",144,"12,809","21,942","21,942",
Sub-Total for CE,,,,,,0,747,"2,419",8,"3,174",0,0,0,0,0,0,358,"5,548",53,"5,959",0,0,0,0,0,"12,665",144,"12,809","21,942","21,942",
01/1990,AGS ,GA,ASO,ES,Towers with Radar,503,"1,080","1,792",310,"3,685",28,276,"2,090",200,"2,594",37,97,3,100,237,0,0,0,0,0,"1,502",235,"1,737","5,659","8,253",
01/1990,AKN ,AK,AAL,WE,Towers with Display (VFR),86,339,13,113,551,0,0,0,0,0,37,680,189,11,917,0,0,0,0,0,50,176,226,"1,694","1,694",
01/1990,ALB ,NY,AEA,EN,Towers with Radar,"2,389","7,178","3,746",504,"13,817",23,876,"1,738",116,"2,753",219,380,118,74,791,0,0,0,0,0,135,189,324,"14,932","17,685",
01/1990,ALN ,IL,AGL,CE,Towers with Display (VFR),0,0,845,61,906,0,0,0,0,0,0,6,"1,656",80,"1,742",0,0,0,0,0,"3,420",306,"3,726","6,374","6,374",
01/1990,ALO ,IA,ACE,CE,Towers with Radar,0,"1,422",979,35,"2,436",22,195,794,0,"1,011",0,315,"1,209",235,"1,759",0,0,0,0,0,"2,496",234,"2,730","6,925","7,936",
Sub-Total for CE,,,,,,0,"1,422","1,824",96,"3,342",22,195,794,0,"1,011",0,321,"2,865",315,"3,501",0,0,0,0,0,"5,916",540,"6,456","13,299","14,310",
01/1990,ALW ,WA,ANM,WE,Towers with Display (VFR),0,561,184,0,745,0,0,0,0,0,0,91,886,28,"1,005",0,0,0,0,0,"1,162",24,"1,186","2,936","2,936",
01/1990,AMA ,TX,ASW,WE,Towers with Radar,997,274,"1,630",676,"3,577",0,0,494,152,646,109,62,0,0,171,0,0,0,0,0,450,"2,915","3,365","7,113","7,759",
01/1990,ANC ,AK,AAL,WE,Towers with Radar,"6,267","3,198","1,638",174,"11,277",2,77,205,37,321,247,620,343,0,"1,210",0,229,617,84,930,760,44,804,"13,291","14,542",
Sub-Total for Unknown,,,,,,"7,264","3,472","3,268",850,"14,854",2,77,699,189,967,356,682,343,0,"1,381",0,229,617,84,930,"1,210","2,959","4,169","20,404","22,301",
01/1990,APA ,CO,ANM,WE,Towers with Display (VFR),0,89,"2,916",0,"3,005",0,0,0,0,0,0,226,"9,222",138,"9,586",0,0,0,0,0,"13,649",321,"13,970","26,561","26,561",
01/1990,APC ,CA,AWP,WE,Towers with Display (VFR),0,1,956,26,983,0,0,0,0,0,0,13,"4,504",60,"4,577",0,0,0,0,0,"8,746",112,"8,858","14,418","14,418",
Sub-Total for WE,,,,,,"7,264","4,123","7,324",876,"19,587",2,77,699,189,967,356,"1,012","14,955",226,"16,549",0,229,617,84,930,"24,767","3,416","28,183","64,319","66,216",
01/1990,ARB ,MI,AGL,CE,Towers with Display (VFR),0,0,297,0,297,0,0,0,0,0,0,9,"2,069",12,"2,090",0,0,0,0,0,"3,468",28,"3,496","5,883","5,883",
01/1990,ARR ,IL,AGL,CE,Towers with Display (VFR),0,0,476,0,476,0,0,0,0,0,0,0,"3,451",16,"3,467",0,0,0,0,0,"6,788",32,"6,820","10,763","10,763",
Sub-Total for Unknown,,,,,,0,90,"4,645",26,"4,761",0,0,0,0,0,0,248,"19,246",226,"19,720",0,0,0,0,0,"32,651",493,"33,144","57,625","57,625",
Sub-Total for CE,,,,,,0,0,773,0,773,0,0,0,0,0,0,9,"5,520",28,"5,557",0,0,0,0,0,"10,256",60,"10,316","16,646","16,646",
Sub-Total for AGL,,,,,,0,0,773,0,773,0,0,0,0,0,0,9,"5,520",28,"5,557",0,0,0,0,0,"10,256",60,"10,316","16,646","16,646",
01/1990,ASE ,CO,ANM,WE,Towers with Radar,660,"1,116","1,167",0,"2,943",28,34,405,0,467,82,231,"1,174",0,"1,487",0,0,0,0,0,529,1,530,"4,960","5,427",
01/1990,ASH ,NH,ANE,EN,Federal Contract Tower,0,0,399,0,399,0,0,0,0,0,0,0,"3,640",2,"3,642",0,0,0,0,0,"2,757",2,"2,759","6,800","6,800",
01/1990,ATL ,GA,ASO,ES,Towers with Radar,"46,482","14,719","1,650",100,"62,951",0,42,"1,719",78,"1,839",836,373,0,0,"1,209",0,12,694,35,741,154,0,154,"64,314","66,894",
01/1990,ATW ,WI,AGL,CE,Towers with Display (VFR),954,549,877,0,"2,380",0,0,0,0,0,127,111,"1,624",12,"1,874",0,0,0,0,0,"1,624",0,"1,624","5,878","5,878",
01/1990,AUS ,TX,ASW,CE,Towers with Radar,"4,861","2,086","7,031",592,"14,570",0,115,"1,440",134,"1,689",365,255,0,0,620,0,0,0,0,0,251,18,269,"15,459","17,148",
Sub-Total for CE,,,,,,"5,815","2,635","7,908",592,"16,950",0,115,"1,440",134,"1,689",492,366,"1,624",12,"2,494",0,0,0,0,0,"1,875",18,"1,893","21,337","23,026",
01/1990,AVL ,NC,ASO,ES,Towers with Radar,321,"1,513","1,760",3,"3,597",29,455,"1,906",159,"2,549",30,127,218,23,398,0,0,0,0,0,"1,651",10,"1,661","5,656","8,205",
01/1990,AVP ,PA,AEA,EN,Towers with Radar,432,"1,166","1,537",96,"3,231",0,439,"2,198",42,"2,679",64,199,70,72,405,0,0,0,0,0,777,105,882,"4,518","7,197",
01/1990,AZO ,MI,AGL,CE,Towers with Radar,480,"1,664","2,929",27,"5,100",34,"1,270","1,741",2,"3,047",58,175,113,0,346,0,0,0,0,0,"2,065",0,"2,065","7,511","10,558",
Sub-Total for Unknown,,,,,,"6,094","6,429","13,257",718,"26,498",63,"2,279","7,285",337,"9,964",517,756,401,95,"1,769",0,0,0,0,0,"4,744",133,"4,877","33,144","43,108",
01/1990,BAF ,MA,ANE,EN,Towers with Display (VFR),0,0,965,171,"1,136",0,0,0,0,0,0,0,"3,351",795,"4,146",0,0,0,0,0,"3,923",304,"4,227","9,509","9,509",
01/1990,BDL ,CT,ANE,EN,Combined TRACON & Tower with Radar,"4,956","5,072","2,572",546,"13,146",0,0,0,0,0,401,272,291,140,"1,104",0,0,0,0,0,148,76,224,"14,474","14,474",
01/1990,BDR ,CT,ANE,EN,Towers with Display (VFR),0,"1,081",904,7,"1,992",0,0,0,0,0,0,593,"4,687",128,"5,408",0,0,0,0,0,"3,963",80,"4,043","11,443","11,443",
Sub-Total for CT,,,,,,"4,956","6,153","3,476",553,"15,138",0,0,0,0,0,401,865,"4,978",268,"6,512",0,0,0,0,0,"4,111",156,"4,267","25,917","25,917",
01/1990,BED ,MA,ANE,EN,Towers with Display (VFR),0,278,"1,802",114,"2,194",0,0,0,0,0,0,"1,231","7,977",48,"9,256",0,0,0,0,0,"6,546",0,"6,546","17,996","17,996",
Sub-Total for EN,,,,,,"4,956","6,431","6,243",838,"18,468",0,0,0,0,0,401,"2,096","16,306","1,111","19,914",0,0,0,0,0,"14,580",460,"15,040","53,422","53,422",
Sub-Total for ANE,,,,,,"4,956","6,431","6,243",838,"18,468",0,0,0,0,0,401,"2,096","16,306","1,111","19,914",0,0,0,0,0,"14,580",460,"15,040","53,422","53,422",
01/1990,BET ,AK,AAL,WE,Towers with Display (VFR),140,322,174,2,638,0,0,0,0,0,81,"2,577","1,360",30,"4,048",0,0,0,0,0,242,2,244,"4,930","4,930",
01/1990,BFI ,WA,ANM,WE,Towers with Display (VFR),374,"1,095","3,162",43,"4,674",0,0,0,0,0,82,374,"10,681",92,"11,229",0,0,0,0,0,"11,547",52,"11,599","27,502","27,502",
Sub-Total for Unknown,,,,,,514,"2,776","6,042",166,"9,498",0,0,0,0,0,163,"4,775","24,705",298,"29,941",0,0,0,0,0,"22,298",134,"22,432","61,871","61,871",
01/1990,BFL ,CA,AWP,WE,Towers with Radar,101,"1,838","1,977",63,"3,979",0,763,649,43,"1,455",25,228,"2,058",53,"2,364",0,0,0,0,0,691,131,822,"7,165","8,620",
Sub-Total for WE,,,,,,615,"3,255","5,313",108,"9,291",0,763,649,43,"1,455",188,"3,179","14,099",175,"17,641",0,0,0,0,0,"12,480",185,"12,665","39,597","41,052",
01/1990,BGM ,NY,AEA,EN,Towers with Radar,332,"1,928","1,111",11,"3,382",40,"1,301","1,182",16,"2,539",27,139,65,21,252,0,0,0,0,0,458,14,472,"4,106","6,645",
01/1990,BGR ,ME,ANE,EN,Towers with Radar,649,"1,690","1,660",751,"4,750",0,265,556,34,855,123,119,112,173,527,0,0,0,0,0,"1,840","1,754","3,594","8,871","9,726",
Sub-Total for EN,,,,,,981,"3,618","2,771",762,"8,132",40,"1,566","1,738",50,"3,394",150,258,177,194,779,0,0,0,0,0,"2,298","1,768","4,066","12,977","16,371",
01/1990,BHM ,AL,ASO,ES,Towers with Radar,"3,145","1,678","6,797",846,"12,466",0,422,"2,258",374,"3,054",268,1,0,118,387,0,0,0,0,0,"1,882",514,"2,396","15,249","18,303",
01/1990,BIL ,MT,ANM,WE,Towers with Radar,863,"1,745","2,494",24,"5,126",0,0,107,0,107,93,129,183,30,435,0,0,0,0,0,"1,962",36,"1,998","7,559","7,666",
01/1990,BIS ,ND,AGL,CE,Towers with Radar,636,408,771,112,"1,927",0,0,28,9,37,69,126,"1,502",132,"1,829",0,0,0,0,0,"1,222",500,"1,722","5,478","5,515",
Sub-Total for Unknown,,,,,,"5,726","9,287","14,810","1,807","31,630",40,"2,751","4,780",476,"8,047",605,742,"3,920",527,"5,794",0,0,0,0,0,"8,055","2,949","11,004","48,428","56,475",
01/1990,BJC ,CO,ANM,WE,Towers with Display (VFR),0,0,585,0,585,0,0,0,0,0,2,72,"4,596",16,"4,686",0,0,0,0,0,"4,822",4,"4,826","10,097","10,097",
01/1990,BKL ,OH,AGL,CE,Towers with Display (VFR),0,"1,171","1,292",0,"2,463",0,0,0,0,0,0,291,"1,624",6,"1,921",0,0,0,0,0,"1,785",129,"1,914","6,298","6,298",
Sub-Total for Unknown,,,,,,0,"1,171","1,877",0,"3,048",0,0,0,0,0,2,363,"6,220",22,"6,607",0,0,0,0,0,"6,607",133,"6,740","16,395","16,395",
01/1990,BLI ,WA,ANM,WE,Federal Contract Tower,325,792,296,8,"1,421",0,0,0,0,0,19,338,"1,770",36,"2,163",0,0,0,0,0,"1,174",22,"1,196","4,780","4,780",
01/1990,BMG ,IN,AGL,CE,Towers with Display (VFR),0,83,502,3,588,0,0,0,0,0,0,14,"1,506",53,"1,573",0,0,0,0,0,"1,704",78,"1,782","3,943","3,943",
01/1990,BMI ,IL,AGL,CE,Towers with Display (VFR),0,"1,008",796,9,"1,813",0,0,0,0,0,0,87,"1,795",45,"1,927",0,0,0,0,0,"1,744",24,"1,768","5,508","5,508",
Sub-Total for Unknown,,,,,,0,"1,091","1,298",12,"2,401",0,0,0,0,0,0,101,"3,301",98,"3,500",0,0,0,0,0,"3,448",102,"3,550","9,451","9,451",
Sub-Total for AGL,,,,,,0,"1,091","1,298",12,"2,401",0,0,0,0,0,0,101,"3,301",98,"3,500",0,0,0,0,0,"3,448",102,"3,550","9,451","9,451",
01/1990,BNA ,TN,ASO,CE,Towers with Radar,"8,983","4,806","5,712",435,"19,936",27,92,"2,081",157,"2,357",500,184,7,70,761,0,0,0,0,0,128,2,130,"20,827","23,184",
Sub-Total for CE,,,,,,"8,983","5,897","7,010",447,"22,337",27,92,"2,081",157,"2,357",500,285,"3,308",168,"4,261",0,0,0,0,0,"3,576",104,"3,680","30,278","32,635",
01/1990,BOI ,ID,ANM,WE,Towers with Radar,"1,436","3,346","3,274",923,"8,979",0,0,56,52,108,92,206,158,193,649,0,0,0,0,0,"1,349",678,"2,027","11,655","11,763",
Sub-Total for Unknown,,,,,,"10,419","8,152","8,986","1,358","28,915",27,92,"2,137",209,"2,465",592,390,165,263,"1,410",0,0,0,0,0,"1,477",680,"2,157","32,482","34,947",
01/1990,BOS ,MA,ANE,EN,Combined TRACON & Tower with Radar,"19,374","10,816","2,766",0,"32,956",0,0,0,0,0,"1,231",495,620,26,"2,372",0,0,0,0,0,0,0,0,"35,328","35,328",
01/1990,BPT ,TX,ASW,CE,Combined TRACON & Tower with Radar,0,"1,449","1,772",16,"3,237",0,0,0,0,0,0,126,0,10,136,0,0,0,0,0,"1,448",24,"1,472","4,845","4,845",
Sub-Total for Unknown,,,,,,"19,374","12,265","4,538",16,"36,193",0,0,0,0,0,"1,231",621,620,36,"2,508",0,0,0,0,0,"1,448",24,"1,472","40,173","40,173",
01/1990,BRO ,TX,ASW,CE,Towers with Display (VFR),84,0,999,98,"1,181",0,0,0,0,0,13,8,978,12,"1,011",0,0,0,0,0,"1,562",338,"1,900","4,092","4,092",
Sub-Total for ASW,,,,,,84,"1,449","2,771",114,"4,418",0,0,0,0,0,13,134,978,22,"1,147",0,0,0,0,0,"3,010",362,"3,372","8,937","8,937",
Sub-Total for TX,,,,,,84,"1,449","2,771",114,"4,418",0,0,0,0,0,13,134,978,22,"1,147",0,0,0,0,0,"3,010",362,"3,372","8,937","8,937",
01/1990,BTL ,MI,AGL,CE,Towers with Display (VFR),0,0,500,221,721,0,0,0,0,0,0,9,656,153,818,0,0,0,0,0,"1,266",336,"1,602","3,141","3,141",
Sub-Total for Unknown,,,,,,84,0,"1,499",319,"1,902",0,0,0,0,0,13,17,"1,634",165,"1,829",0,0,0,0,0,"2,828",674,"3,502","7,233","7,233",
01/1990,BTR ,LA,ASW,CE,Towers with Radar,"1,353",581,"4,345",98,"6,377",108,940,"1,937",223,"3,208",179,63,213,27,482,0,0,0,0,0,"3,091",160,"3,251","10,110","13,318",
Sub-Total for CE,,,,,,"1,437","2,030","7,616",433,"11,516",108,940,"1,937",223,"3,208",192,206,"1,847",202,"2,447",0,0,0,0,0,"7,367",858,"8,225","22,188","25,396",
01/1990,BTV ,VT,ANE,EN,Towers with Radar,"1,237","2,454","2,398",563,"6,652",0,296,420,65,781,121,12,297,0,430,0,0,0,0,0,"2,736",478,"3,214","10,296","11,077",
01/1990,BUF ,NY,AEA,CE,Towers with Radar,"5,146","1,798","2,165",196,"9,305",767,509,"1,415",101,"2,792",330,155,40,0,525,0,0,0,0,0,528,122,650,"10,480","13,272",
Sub-Total for Unknown,,,,,,"7,736","4,833","8,908",857,"22,334",875,"1,745","3,772",389,"6,781",630,230,550,27,"1,437",0,0,0,0,0,"6,355",760,"7,115","30,886","37,667",
01/1990,BUR ,CA,AWP,WE,Combined TRACON & Tower with Radar,"3,292","3,543","5,969",123,"12,927",0,0,0,0,0,211,569,"3,660",16,"4,456",0,0,0,0,0,802,0,802,"18,185","18,185",
01/1990,BVY ,MA,ANE,EN,Towers with Display (VFR),0,0,437,0,437,0,0,0,0,0,0,17,"3,018",14,"3,049",0,0,0,0,0,"5,615",0,"5,615","9,101","9,101",
01/1990,BWI ,MD,AEA,EN,Towers with Radar,"12,760","6,935","4,239",205,"24,139","3,162","3,762","3,990","1,094","12,008",736,282,0,0,"1,018",0,0,0,0,0,127,0,127,"25,284","37,292",
Sub-Total for EN,,,,,,"12,760","6,935","4,676",205,"24,576","3,162","3,762","3,990","1,094","12,008",736,299,"3,018",14,"4,067",0,0,0,0,0,"5,742",0,"5,742","34,385","46,393",
01/1990,CAE ,SC,ASO,ES,Towers with Radar,"1,798","1,474","3,685",374,"7,331",4,355,"2,883",444,"3,686",155,152,44,95,446,0,0,0,0,0,"1,775",210,"1,985","9,762","13,448",
01/1990,CAK ,OH,AGL,CE,Towers with Radar,654,"1,162","4,717",338,"6,871",0,596,"2,248",25,"2,869",98,181,0,163,442,0,0,0,0,0,"2,546",872,"3,418","10,731","13,600",
Sub-Total for Unknown,,,,,,"15,212","9,571","12,641",917,"38,341","3,166","4,713","9,121","1,563","18,563",989,615,44,258,"1,906",0,0,0,0,0,"4,448","1,082","5,530","45,777","64,340",
01/1990,CCR ,CA,AWP,WE,Towers with Display (VFR),174,274,"1,560",0,"2,008",0,0,0,0,0,36,314,"7,167",57,"7,574",0,0,0,0,0,"13,006",0,"13,006","22,588","22,588",
01/1990,CDW ,NJ,AEA,EN,Towers with Display (VFR),0,0,297,0,297,0,0,0,0,0,0,871,"7,550",10,"8,431",0,0,0,0,0,"8,574",2,"8,576","17,304","17,304",
Sub-Total for Unknown,,,,,,174,274,"1,857",0,"2,305",0,0,0,0,0,36,"1,185","14,717",67,"16,005",0,0,0,0,0,"21,580",2,"21,582","39,892","39,892",
01/1990,CGF ,OH,AGL,CE,Federal Contract Tower,0,320,"1,523",0,"1,843",0,0,0,0,0,0,127,"1,822",8,"1,957",0,0,0,0,0,"1,688",0,"1,688","5,488","5,488",
01/1990,CGI ,MO,ACE,CE,Federal Contract Tower,0,138,374,3,515,0,0,0,0,0,0,32,"1,526",45,"1,603",0,0,0,0,0,764,32,796,"2,914","2,914",
Sub-Total for Unknown,,,,,,0,458,"1,897",3,"2,358",0,0,0,0,0,0,159,"3,348",53,"3,560",0,0,0,0,0,"2,452",32,"2,484","8,402","8,402",
01/1990,CGX ,IL,AGL,CE,Towers with Display (VFR),0,332,906,0,"1,238",0,0,0,0,0,0,170,"1,350",26,"1,546",0,0,0,0,0,326,118,444,"3,228","3,228",
Sub-Total for CE,,,,,,0,790,"2,803",3,"3,596",0,0,0,0,0,0,329,"4,698",79,"5,106",0,0,0,0,0,"2,778",150,"2,928","11,630","11,630",
01/1990,CHA ,TN,ASO,ES,Towers with Radar,795,"1,273","4,479",126,"6,673",0,46,"1,828",112,"1,986",93,123,20,79,315,0,0,0,0,0,"1,251",137,"1,388","8,376","10,362",
01/1990,CHO ,VA,AEA,EN,Towers with Display (VFR),222,830,579,15,"1,646",0,0,0,0,0,34,127,"1,536",103,"1,800",0,0,0,0,0,"1,125",120,"1,245","4,691","4,691",
01/1990,CHS ,SC,ASO,ES,Towers with Radar,"2,222",182,"3,032","2,184","7,620",0,47,"2,381",452,"2,880",166,41,99,29,335,0,0,0,0,0,190,"3,410","3,600","11,555","14,435",
01/1990,CIC ,CA,AWP,WE,Towers with Display (VFR),0,345,317,8,670,0,0,0,0,0,0,348,"2,122",68,"2,538",0,0,0,0,0,"1,706",16,"1,722","4,930","4,930",
01/1990,CID ,IA,ACE,CE,Towers with Radar,"1,360","1,226","2,142",5,"4,733",0,280,"1,706",23,"2,009",79,79,0,15,173,0,0,0,0,0,"1,323",4,"1,327","6,233","8,242",
01/1990,CKB ,WV,AEA,CE,Towers with Radar,0,851,"1,416",6,"2,273",0,746,"1,138",54,"1,938",0,58,"1,485",22,"1,565",0,0,0,0,0,"2,812",18,"2,830","6,668","8,606",
01/1990,CLE ,OH,AGL,CE,Towers with Radar,"12,792","5,689","3,316",220,"22,017",291,332,"1,522",43,"2,188",74,1,17,23,115,12,23,846,26,907,166,0,166,"22,298","25,393",
Sub-Total for Unknown,,,,,,"14,152","7,766","6,874",231,"29,023",291,"1,358","4,366",120,"6,135",153,138,"1,502",60,"1,853",12,23,846,26,907,"4,301",22,"4,323","35,199","42,241",
01/1990,CLL ,TX,ASW,CE,Towers with Display (VFR),0,"1,005",826,154,"1,985",0,0,0,0,0,0,72,"1,816",141,"2,029",0,0,0,0,0,"1,389",503,"1,892","5,906","5,906",
Sub-Total for CE,,,,,,"14,152","8,771","7,700",385,"31,008",291,"1,358","4,366",120,"6,135",153,210,"3,318",201,"3,882",12,23,846,26,907,"5,690",525,"6,215","41,105","48,147",
01/1990,CLT ,NC,ASO,ES,Towers with Radar,"19,749","9,972","6,213",250,"36,184",239,220,"3,881",123,"4,463",833,285,19,70,"1,207",0,0,0,0,0,0,0,0,"37,391","41,854",
01/1990,CMA ,CA,AWP,WE,Towers with Display (VFR),0,14,518,1,533,0,0,0,0,0,0,387,"5,723",56,"6,166",0,0,0,0,0,"7,228",4,"7,232","13,931","13,931",
01/1990,CMH ,OH,AGL,CE,Towers with Radar,"4,286","4,119","5,336",214,"13,955",208,735,"3,711",204,"4,858",407,413,0,0,820,0,0,0,0,0,"2,570",125,"2,695","17,470","22,328",
01/1990,CMI ,IL,AGL,CE,Towers with Radar,159,"1,870","3,096",27,"5,152",0,383,"1,641",7,"2,031",26,6,5,6,43,0,0,0,0,0,"5,472",0,"5,472","10,667","12,698",
Sub-Total for Unknown,,,,,,"4,445","5,989","8,432",241,"19,107",208,"1,118","5,352",211,"6,889",433,419,5,6,863,0,0,0,0,0,"8,042",125,"8,167","28,137","35,026",
Sub-Total for CE,,,,,,"4,445","5,989","8,432",241,"19,107",208,"1,118","5,352",211,"6,889",433,419,5,6,863,0,0,0,0,0,"8,042",125,"8,167","28,137","35,026",
Sub-Total for AGL,,,,,,"4,445","5,989","8,432",241,"19,107",208,"1,118","5,352",211,"6,889",433,419,5,6,863,0,0,0,0,0,"8,042",125,"8,167","28,137","35,026",
01/1990,CNO ,CA,AWP,WE,Towers with Display (VFR),0,0,"2,427",22,"2,449",0,0,0,0,0,0,0,"6,399",68,"6,467",0,0,0,0,0,"7,824",18,"7,842","16,758","16,758",
01/1990,COS ,CO,ANM,WE,Towers with Radar,"1,620",695,"2,227","1,283","5,825",15,388,"1,247",273,"1,923",176,89,157,116,538,0,0,0,0,0,"3,314","1,846","5,160","11,523","13,446",
Sub-Total for WE,,,,,,"1,620",695,"4,654","1,305","8,274",15,388,"1,247",273,"1,923",176,89,"6,556",184,"7,005",0,0,0,0,0,"11,138","1,864","13,002","28,281","30,204",
01/1990,COU ,MO,ACE,CE,Tower without Radar,0,613,"1,099",29,"1,741",0,0,156,0,156,0,54,500,17,571,0,0,0,0,0,580,136,716,"3,028","3,184",
01/1990,CPR ,WY,ANM,WE,Towers with Radar,165,675,602,9,"1,451",0,0,1,145,146,28,149,832,36,"1,045",0,0,0,0,0,"1,126",76,"1,202","3,698","3,844",
01/1990,CPS ,IL,AGL,CE,Towers with Display (VFR),0,56,927,0,983,0,0,0,0,0,0,21,"4,545",18,"4,584",0,0,0,0,0,"8,419",24,"8,443","14,010","14,010",
01/1990,CRE ,SC,ASO,ES,Federal Contract Tower,0,80,"1,524",40,"1,644",0,0,0,0,0,0,141,"2,415",106,"2,662",0,0,0,0,0,"1,169",2,"1,171","5,477","5,477",
01/1990,CRG ,FL,ASO,ES,Towers with Display (VFR),0,274,"2,117",81,"2,472",0,0,0,0,0,0,393,"6,377",649,"7,419",0,0,0,0,0,"7,724",559,"8,283","18,174","18,174",
Sub-Total for ES,,,,,,0,354,"3,641",121,"4,116",0,0,0,0,0,0,534,"8,792",755,"10,081",0,0,0,0,0,"8,893",561,"9,454","23,651","23,651",
Sub-Total for ASO,,,,,,0,354,"3,641",121,"4,116",0,0,0,0,0,0,534,"8,792",755,"10,081",0,0,0,0,0,"8,893",561,"9,454","23,651","23,651",
01/1990,CRP ,TX,ASW,CE,Towers with Radar,981,"1,098","2,680","1,326","6,085",0,104,927,342,"1,373",0,11,0,0,11,0,0,0,0,0,979,"3,644","4,623","10,719","12,092",
01/1990,CRQ ,CA,AWP,WE,Towers with Display (VFR),0,282,"2,958",1,"3,241",0,0,0,0,0,0,302,"8,755",84,"9,141",0,0,0,0,0,"6,138",8,"6,146","18,528","18,528",
01/1990,CRW ,WV,AEA,CE,Towers with Radar,991,"1,065","2,774",242,"5,072",66,298,"1,509",55,"1,928",93,12,51,125,281,0,0,0,0,0,900,398,"1,298","6,651","8,579",
01/1990,CSG ,GA,ASO,ES,Towers with Radar,157,980,"2,467",119,"3,723",0,"1,408","2,513",529,"4,450",27,50,15,0,92,0,0,0,0,0,"1,204",107,"1,311","5,126","9,576",
Sub-Total for Unknown,,,,,,"1,148","2,045","5,241",361,"8,795",66,"1,706","4,022",584,"6,378",120,62,66,125,373,0,0,0,0,0,"2,104",505,"2,609","11,777","18,155",
01/1990,CSM ,OK,ASW,CE,Tower without Radar,0,0,163,413,576,0,0,2,0,2,0,0,27,8,35,0,0,0,0,0,815,"1,752","2,567","3,178","3,180",
