,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/1994,CID ,ACE,IA,CE,Towers with Radar,"1,009","1,298","1,242",0,"3,549",0,0,0,0,0,106,124,90,4,324,0,0,0,0,0,339,0,339,"4,212","4,212"
01/1994,CKB ,AEA,WV,CE,Towers with Radar,0,359,207,58,624,0,0,0,0,0,0,86,365,247,698,0,0,0,0,0,308,434,742,"2,064","2,064"
01/1994,CLE ,AGL,OH,CE,Towers with Radar,"9,345","7,941","1,832",164,"19,282",0,0,0,0,0,126,46,63,14,249,0,0,0,0,0,0,0,0,"19,531","19,531"
01/1994,CLL ,ASW,TX,CE,Towers with Display (VFR),0,"1,018",613,147,"1,778",0,0,0,0,0,0,94,"1,015",159,"1,268",0,0,0,0,0,446,236,682,"3,728","3,728"
01/1994,CLT ,ASO,NC,ES,Towers with Radar,"19,633","10,057","4,288",298,"34,276",0,0,0,0,0,840,354,506,59,"1,759",0,0,0,0,0,0,0,0,"36,035","36,035"
01/1994,CMA ,AWP,CA,WE,Towers with Display (VFR),0,15,538,22,575,0,0,0,0,0,0,144,"5,920",196,"6,260",0,0,0,0,0,"7,552",14,"7,566","14,401","14,401"
01/1994,CMH ,AGL,OH,CE,Towers with Radar,"6,677","4,775","2,347",63,"13,862",0,0,0,0,0,630,506,237,61,"1,434",0,0,0,0,0,960,30,990,"16,286","16,286"
01/1994,CMI ,AGL,IL,CE,Towers with Radar,109,"1,504","1,072",13,"2,698",0,0,0,0,0,31,154,361,19,565,0,0,0,0,0,"3,060",38,"3,098","6,361","6,361"
01/1994,CNO ,AWP,CA,WE,Towers with Display (VFR),0,0,"2,186",21,"2,207",0,0,0,0,0,0,17,"9,273",45,"9,335",0,0,0,0,0,"6,199",12,"6,211","17,753","17,753"
01/1994,COS ,ANM,CO,WE,Towers with Radar,"1,685",767,"4,854","1,178","8,484",0,0,0,0,0,364,169,499,168,"1,200",0,0,0,0,0,"8,404","1,832","10,236","19,920","19,920"
01/1994,COU ,ACE,MO,CE,Tower without Radar,16,438,613,8,"1,075",0,0,0,0,0,13,54,408,13,488,0,0,0,0,0,818,76,894,"2,457","2,457"
01/1994,CPR ,ANM,WY,WE,Towers with Radar,227,996,450,2,"1,675",0,0,0,0,0,22,184,741,54,"1,001",0,0,0,0,0,"1,096",66,"1,162","3,838","3,838"
01/1994,CPS ,AGL,IL,CE,Towers with Display (VFR),0,57,"1,069",3,"1,129",0,0,0,0,0,0,22,"1,704",28,"1,754",0,0,0,0,0,"3,646",32,"3,678","6,561","6,561"
