
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
10/1989,CAE ,SC,ASO,ES,Towers with Radar,"2,059","1,415","4,898",708,"9,080",22,301,"3,911",450,"4,684",0,0,0,0,0,0,0,0,0,0,"13,764",
10/1989,CAK ,OH,AGL,CE,Towers with Radar,930,"1,295","8,486",544,"11,255",24,535,"3,988",86,"4,633",0,0,0,0,0,0,0,0,0,0,"15,888",
10/1989,CHA ,TN,ASO,ES,Towers with Radar,889,"1,334","5,719",260,"8,202",1,51,"2,705",158,"2,915",0,0,0,0,0,0,0,0,0,0,"11,117",
10/1989,CHS ,SC,ASO,ES,Towers with Radar,"1,939",142,"4,053","2,797","8,931",0,87,"3,329",555,"3,971",0,0,0,0,0,0,0,0,0,0,"12,902",
Sub-Total for ES,,,,,,"2,828","1,476","9,772","3,057","17,133",1,138,"6,034",713,"6,886",0,0,0,0,0,0,0,0,0,0,"24,019",
Sub-Total for ASO,,,,,,"2,828","1,476","9,772","3,057","17,133",1,138,"6,034",713,"6,886",0,0,0,0,0,0,0,0,0,0,"24,019",
10/1989,CID ,IA,ACE,CE,Towers with Radar,"1,589","1,428","3,813",38,"6,868",9,269,"2,617",50,"2,945",0,0,0,0,0,0,0,0,0,0,"9,813",
10/1989,CKB ,WV,AEA,CE,Towers with Radar,0,"1,050","1,877",83,"3,010",37,767,"1,794",83,"2,681",0,0,0,0,0,0,0,0,0,0,"5,691",
10/1989,CLE ,OH,AGL,CE,Towers with Radar,"12,335","6,998","8,632",361,"28,326",508,475,"3,610",151,"4,744",0,0,0,0,0,0,0,0,0,0,"33,070",
Sub-Total for CE,,,,,,"13,924","9,476","14,322",482,"38,204",554,"1,511","8,021",284,"10,370",0,0,0,0,0,0,0,0,0,0,"48,574",
