
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
11/1989,ALO ,IA,ACE,CE,Towers with Radar,2,"1,510","1,272",60,"2,844",56,223,834,61,"1,174",0,0,0,0,0,0,0,0,0,0,"4,018",
11/1989,AMA ,TX,ASW,WE,Towers with Radar,"1,092",373,"3,495","2,018","6,978",0,2,644,73,719,0,0,0,0,0,0,0,0,0,0,"7,697",
11/1989,ANC ,AK,AAL,WE,Towers with Radar,"8,174","4,535","3,999","2,057","18,765",2,221,452,50,725,0,0,0,0,0,0,0,0,0,0,"19,490",
11/1989,ASE ,CO,ANM,WE,Towers with Radar,199,453,477,2,"1,131",0,24,232,11,267,0,0,0,0,0,0,0,0,0,0,"1,398",
Sub-Total for WE,,,,,,"9,465","5,361","7,971","4,077","26,874",2,247,"1,328",134,"1,711",0,0,0,0,0,0,0,0,0,0,"28,585",
11/1989,ATL ,GA,ASO,ES,Towers with Radar,"46,219","13,909","13,918","1,858","75,904",0,79,"2,337",127,"2,543",0,0,0,0,0,0,0,0,0,0,"78,447",
11/1989,AUS ,TX,ASW,CE,Towers with Radar,"5,012","2,129","10,026","3,096","20,263",18,187,"1,746",201,"2,152",0,0,0,0,0,0,0,0,0,0,"22,415",
11/1989,AVL ,NC,ASO,ES,Towers with Radar,388,"1,556","2,305",26,"4,275",36,350,"2,010",161,"2,557",0,0,0,0,0,0,0,0,0,0,"6,832",
11/1989,AVP ,PA,AEA,EN,Towers with Radar,425,"2,049","2,104",139,"4,717",26,428,"2,782",95,"3,331",0,0,0,0,0,0,0,0,0,0,"8,048",
11/1989,AZO ,MI,AGL,CE,Towers with Radar,525,"1,766","4,132",366,"6,789",56,"1,325","2,191",31,"3,603",0,0,0,0,0,0,0,0,0,0,"10,392",
Sub-Total for Unknown,,,,,,"72,603","46,141","71,530","18,792","209,066",462,"8,352","28,043","2,992","39,849",0,0,0,0,0,0,0,0,0,0,"248,915",
11/1989,B90 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","3,426","4,589","18,713",351,"27,079","3,403","5,059","9,761",473,"18,696",0,0,0,0,0,0,0,0,0,0,"45,775",
11/1989,BFL ,CA,AWP,WE,Towers with Radar,204,"1,844","1,805",113,"3,966",0,492,801,53,"1,346",0,0,0,0,0,0,0,0,0,0,"5,312",
Sub-Total for WE,,,,,,"3,630","6,433","20,518",464,"31,045","3,403","5,551","10,562",526,"20,042",0,0,0,0,0,0,0,0,0,0,"51,087",
Sub-Total for AWP,,,,,,"3,630","6,433","20,518",464,"31,045","3,403","5,551","10,562",526,"20,042",0,0,0,0,0,0,0,0,0,0,"51,087",
Sub-Total for CA,,,,,,"3,630","6,433","20,518",464,"31,045","3,403","5,551","10,562",526,"20,042",0,0,0,0,0,0,0,0,0,0,"51,087",
11/1989,BGM ,NY,AEA,EN,Towers with Radar,374,"2,597","1,329",44,"4,344",42,"1,107","1,614",26,"2,789",0,0,0,0,0,0,0,0,0,0,"7,133",
11/1989,BGR ,ME,ANE,EN,Towers with Radar,921,"1,897","1,953",964,"5,735",0,252,453,62,767,0,0,0,0,0,0,0,0,0,0,"6,502",
Sub-Total for EN,,,,,,"1,295","4,494","3,282","1,008","10,079",42,"1,359","2,067",88,"3,556",0,0,0,0,0,0,0,0,0,0,"13,635",
11/1989,BHM ,AL,ASO,ES,Towers with Radar,"3,420","2,237","9,102","1,605","16,364",0,410,"2,868",399,"3,677",0,0,0,0,0,0,0,0,0,0,"20,041",
11/1989,BIL ,MT,ANM,WE,Towers with Radar,905,"1,638","3,089",52,"5,684",0,12,158,3,173,0,0,0,0,0,0,0,0,0,0,"5,857",
11/1989,BIS ,ND,AGL,CE,Towers with Radar,666,393,977,90,"2,126",0,2,70,5,77,0,0,0,0,0,0,0,0,0,0,"2,203",
11/1989,BNA ,TN,ASO,CE,Towers with Radar,"9,029","4,977","8,250",560,"22,816",25,118,"2,510",210,"2,863",0,0,0,0,0,0,0,0,0,0,"25,679",
Sub-Total for CE,,,,,,"9,695","5,370","9,227",650,"24,942",25,120,"2,580",215,"2,940",0,0,0,0,0,0,0,0,0,0,"27,882",
11/1989,BOI ,ID,ANM,WE,Towers with Radar,"1,422","3,333","4,323","1,056","10,134",0,9,188,125,322,0,0,0,0,0,0,0,0,0,0,"10,456",
Sub-Total for Unknown,,,,,,"16,941","18,916","30,828","4,484","71,169",67,"2,402","8,662",883,"12,014",0,0,0,0,0,0,0,0,0,0,"83,183",
11/1989,BPT ,TX,ASW,CE,Combined TRACON & Tower with Radar,0,"1,662","2,429",21,"4,112",3,148,"1,092",74,"1,317",0,0,0,0,0,0,0,0,0,0,"5,429",
11/1989,BTR ,LA,ASW,CE,Towers with Radar,"1,494",665,"4,931",166,"7,256",110,843,"1,817",249,"3,019",0,0,0,0,0,0,0,0,0,0,"10,275",
Sub-Total for CE,,,,,,"1,494","2,327","7,360",187,"11,368",113,991,"2,909",323,"4,336",0,0,0,0,0,0,0,0,0,0,"15,704",
Sub-Total for ASW,,,,,,"1,494","2,327","7,360",187,"11,368",113,991,"2,909",323,"4,336",0,0,0,0,0,0,0,0,0,0,"15,704",
11/1989,BTV ,VT,ANE,EN,Towers with Radar,"1,204","3,000","3,150","2,461","9,815",2,334,381,77,794,0,0,0,0,0,0,0,0,0,0,"10,609",
11/1989,BUF ,NY,AEA,CE,Towers with Radar,"5,532","1,648","3,072",679,"10,931",816,392,"1,473",95,"2,776",0,0,0,0,0,0,0,0,0,0,"13,707",
11/1989,BWI ,MD,AEA,EN,Towers with Radar,"13,328","6,960","8,522",800,"29,610","3,163","4,108","4,936","1,201","13,408",0,0,0,0,0,0,0,0,0,0,"43,018",
Sub-Total for Unknown,,,,,,"21,558","12,273","19,675","4,106","57,612","4,091","5,677","8,607","1,622","19,997",0,0,0,0,0,0,0,0,0,0,"77,609",
Sub-Total for AEA,,,,,,"18,860","8,608","11,594","1,479","40,541","3,979","4,500","6,409","1,296","16,184",0,0,0,0,0,0,0,0,0,0,"56,725",
11/1989,C90 ,IL,AGL,CE,"TRACON, RAPCON, or CERAP","62,014","20,287","14,772",942,"98,015",111,65,332,6,514,0,0,0,0,0,0,0,0,0,0,"98,529",
11/1989,CAE ,SC,ASO,ES,Towers with Radar,"2,021","1,370","4,678",509,"8,578",24,298,"3,344",490,"4,156",0,0,0,0,0,0,0,0,0,0,"12,734",
11/1989,CAK ,OH,AGL,CE,Towers with Radar,829,"1,245","6,518",466,"9,058",34,488,"2,526",54,"3,102",0,0,0,0,0,0,0,0,0,0,"12,160",
11/1989,CHA ,TN,ASO,ES,Towers with Radar,845,"1,308","5,117",211,"7,481",2,46,"2,361",127,"2,536",0,0,0,0,0,0,0,0,0,0,"10,017",
11/1989,CHS ,SC,ASO,ES,Towers with Radar,"2,159",186,"3,516","2,599","8,460",0,74,"2,875",477,"3,426",0,0,0,0,0,0,0,0,0,0,"11,886",
Sub-Total for ES,,,,,,"3,004","1,494","8,633","2,810","15,941",2,120,"5,236",604,"5,962",0,0,0,0,0,0,0,0,0,0,"21,903",
Sub-Total for ASO,,,,,,"3,004","1,494","8,633","2,810","15,941",2,120,"5,236",604,"5,962",0,0,0,0,0,0,0,0,0,0,"21,903",
11/1989,CID ,IA,ACE,CE,Towers with Radar,"1,440","1,349","3,490",33,"6,312",6,394,"2,036",43,"2,479",0,0,0,0,0,0,0,0,0,0,"8,791",
11/1989,CKB ,WV,AEA,CE,Towers with Radar,0,855,"1,475",34,"2,364",43,674,"1,533",86,"2,336",0,0,0,0,0,0,0,0,0,0,"4,700",
11/1989,CLE ,OH,AGL,CE,Towers with Radar,"11,820","6,461","6,733",384,"25,398",404,335,"2,526",69,"3,334",0,0,0,0,0,0,0,0,0,0,"28,732",
Sub-Total for CE,,,,,,"13,260","8,665","11,698",451,"34,074",453,"1,403","6,095",198,"8,149",0,0,0,0,0,0,0,0,0,0,"42,223",
11/1989,CLT ,NC,ASO,ES,Towers with Radar,"20,283","9,887","8,288",270,"38,728",219,238,"4,566",166,"5,189",0,0,0,0,0,0,0,0,0,0,"43,917",
11/1989,CMH ,OH,AGL,CE,Towers with Radar,"4,740","4,756","9,349","1,435","20,280",217,748,"4,483",259,"5,707",0,0,0,0,0,0,0,0,0,0,"25,987",
11/1989,CMI ,IL,AGL,CE,Towers with Radar,207,"2,800","5,710",225,"8,942",3,367,"2,071",29,"2,470",0,0,0,0,0,0,0,0,0,0,"11,412",
Sub-Total for CE,,,,,,"4,947","7,556","15,059","1,660","29,222",220,"1,115","6,554",288,"8,177",0,0,0,0,0,0,0,0,0,0,"37,399",
Sub-Total for AGL,,,,,,"4,947","7,556","15,059","1,660","29,222",220,"1,115","6,554",288,"8,177",0,0,0,0,0,0,0,0,0,0,"37,399",
11/1989,COS ,CO,ANM,WE,Towers with Radar,"1,765",661,"3,355","1,968","7,749",27,478,"1,800",460,"2,765",0,0,0,0,0,0,0,0,0,0,"10,514",
Sub-Total for Unknown,,,,,,"46,109","30,878","58,229","8,134","143,350",979,"4,140","30,121","2,260","37,500",0,0,0,0,0,0,0,0,0,0,"180,850",
11/1989,COU ,MO,ACE,CE,Tower without Radar,8,640,"1,209",51,"1,908",1,1,169,11,182,0,0,0,0,0,0,0,0,0,0,"2,090",
11/1989,CPR ,WY,ANM,WE,Towers with Radar,200,707,579,17,"1,503",0,4,24,192,220,0,0,0,0,0,0,0,0,0,0,"1,723",
11/1989,CRP ,TX,ASW,CE,Towers with Radar,"2,505","1,882","5,297","5,986","15,670",4,159,"1,029",447,"1,639",0,0,0,0,0,0,0,0,0,0,"17,309",
11/1989,CRW ,WV,AEA,CE,Towers with Radar,"1,039","1,414","3,309",306,"6,068",71,274,"1,844",73,"2,262",0,0,0,0,0,0,0,0,0,0,"8,330",
Sub-Total for CE,,,,,,"3,544","3,296","8,606","6,292","21,738",75,433,"2,873",520,"3,901",0,0,0,0,0,0,0,0,0,0,"25,639",
11/1989,CSG ,GA,ASO,ES,Towers with Radar,167,"1,029","3,913",778,"5,887",10,"1,043","2,831",519,"4,403",0,0,0,0,0,0,0,0,0,0,"10,290",
Sub-Total for Unknown,,,,,,"3,911","5,032","13,098","7,087","29,128",85,"1,480","5,728","1,231","8,524",0,0,0,0,0,0,0,0,0,0,"37,652",
11/1989,CSM ,OK,ASW,CE,Tower without Radar,0,1,214,816,"1,031",0,0,21,3,24,0,0,0,0,0,0,0,0,0,0,"1,055",
11/1989,CVG ,KY,ASO,CE,Towers with Radar,"10,037","10,671","6,618",210,"27,536",574,626,"3,322",143,"4,665",0,0,0,0,0,0,0,0,0,0,"32,201",
Sub-Total for CE,,,,,,"10,037","10,672","6,832","1,026","28,567",574,626,"3,343",146,"4,689",0,0,0,0,0,0,0,0,0,0,"33,256",
11/1989,CXY ,PA,AEA,EN,Towers with Radar,"1,411","4,287","5,801",751,"12,250",15,"1,262","3,528",200,"5,005",0,0,0,0,0,0,0,0,0,0,"17,255",
Sub-Total for Unknown,,,,,,"11,448","14,958","12,419",961,"39,786",589,"1,888","6,850",343,"9,670",0,0,0,0,0,0,0,0,0,0,"49,456",
11/1989,CYS ,WY,ANM,WE,Tower without Radar,58,587,704,281,"1,630",0,57,53,2,112,0,0,0,0,0,0,0,0,0,0,"1,742",
11/1989,D10 ,TX,ASW,CE,"TRACON, RAPCON, or CERAP","46,588","18,661","20,678","3,192","89,119",6,13,314,24,357,0,0,0,0,0,0,0,0,0,0,"89,476",
11/1989,D21 ,MI,AGL,CE,"TRACON, RAPCON, or CERAP","24,500","7,065","14,539",107,"46,211",126,322,"1,044",217,"1,709",0,0,0,0,0,0,0,0,0,0,"47,920",
Sub-Total for CE,,,,,,"71,088","25,726","35,217","3,299","135,330",132,335,"1,358",241,"2,066",0,0,0,0,0,0,0,0,0,0,"137,396",
11/1989,D84 ,CO,ANM,WE,"TRACON, RAPCON, or CERAP","23,317","9,042","6,846","1,098","40,303",2,40,"2,362",138,"2,542",0,0,0,0,0,0,0,0,0,0,"42,845",
Sub-Total for Unknown,,,,,,"94,405","34,768","42,063","4,397","175,633",134,375,"3,720",379,"4,608",0,0,0,0,0,0,0,0,0,0,"180,241",
11/1989,DAB ,FL,ASO,ES,Towers with Radar,"1,113",284,"21,284",63,"22,744",22,589,"5,831",373,"6,815",0,0,0,0,0,0,0,0,0,0,"29,559",
11/1989,DAY ,OH,AGL,CE,Towers with Radar,"10,560","5,535","5,502","2,061","23,658",92,"1,563","4,876",355,"6,886",0,0,0,0,0,0,0,0,0,0,"30,544",
11/1989,DCA ,DC,AEA,EN,Towers with Radar,"16,113","4,454","6,129","4,512","31,208","10,669",985,"4,669","1,749","18,072",0,0,0,0,0,0,0,0,0,0,"49,280",
11/1989,DLH ,MN,AGL,CE,Towers with Radar,301,708,"1,122",548,"2,679",0,93,102,14,209,0,0,0,0,0,0,0,0,0,0,"2,888",
11/1989,DSM ,IA,ACE,CE,Towers with Radar,"2,359","1,690","6,510",509,"11,068",1,96,"1,534",31,"1,662",0,0,0,0,0,0,0,0,0,0,"12,730",
Sub-Total for Unknown,,,,,,"30,446","12,671","40,547","7,693","91,357","10,784","3,326","17,012","2,522","33,644",0,0,0,0,0,0,0,0,0,0,"125,001",
Sub-Total for CE,,,,,,"2,660","2,398","7,632","1,057","13,747",1,189,"1,636",45,"1,871",0,0,0,0,0,0,0,0,0,0,"15,618",
11/1989,EDW ,CA,AWP,WE,"TRACON, RAPCON, or CERAP",167,188,970,"4,890","6,215","1,410",214,"1,296","16,979","19,899",0,0,0,0,0,0,0,0,0,0,"26,114",
11/1989,ELM ,NY,AEA,EN,Towers with Radar,463,"2,442","1,904",29,"4,838",61,112,"1,079",18,"1,270",0,0,0,0,0,0,0,0,0,0,"6,108",
11/1989,ELP ,TX,ASW,WE,Towers with Radar,"4,567",311,"7,828","1,216","13,922",1,58,923,260,"1,242",0,0,0,0,0,0,0,0,0,0,"15,164",
11/1989,ERI ,PA,AEA,CE,Towers with Radar,446,"1,512","2,466",39,"4,463",107,825,"2,077",56,"3,065",0,0,0,0,0,0,0,0,0,0,"7,528",
11/1989,EUG ,OR,ANM,WE,Towers with Radar,581,"1,484","2,178",177,"4,420",1,196,456,74,727,0,0,0,0,0,0,0,0,0,0,"5,147",
11/1989,EVV ,IN,AGL,CE,Towers with Radar,402,"2,494","4,538",253,"7,687",0,114,"2,022",91,"2,227",0,0,0,0,0,0,0,0,0,0,"9,914",
11/1989,FAI ,AK,AAL,WE,Towers with Radar,"1,046",778,581,"1,155","3,560",0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,"3,563",
11/1989,FAR ,ND,AGL,CE,Towers with Radar,462,794,"3,085",359,"4,700",4,45,314,8,371,0,0,0,0,0,0,0,0,0,0,"5,071",
11/1989,FAT ,CA,AWP,WE,Towers with Radar,"1,229","6,631","9,414","1,002","18,276",2,703,"5,061",275,"6,041",0,0,0,0,0,0,0,0,0,0,"24,317",
11/1989,FAY ,NC,ASO,EN,Towers with Radar,531,959,"3,278","3,251","8,019",111,"1,813","3,842","1,301","7,067",0,0,0,0,0,0,0,0,0,0,"15,086",
11/1989,FLO ,SC,ASO,ES,Towers with Radar,1,664,"1,391",140,"2,196",105,400,"1,236",555,"2,296",0,0,0,0,0,0,0,0,0,0,"4,492",
Sub-Total for ASO,,,,,,532,"1,623","4,669","3,391","10,215",216,"2,213","5,078","1,856","9,363",0,0,0,0,0,0,0,0,0,0,"19,578",
11/1989,FNT ,MI,AGL,CE,Towers with Radar,212,"1,519","3,519",75,"5,325",131,210,"1,694",135,"2,170",0,0,0,0,0,0,0,0,0,0,"7,495",
11/1989,FSD ,SD,AGL,CE,Towers with Radar,867,360,"1,340",297,"2,864",0,1,211,0,212,0,0,0,0,0,0,0,0,0,0,"3,076",
Sub-Total for AGL,,,,,,"1,079","1,879","4,859",372,"8,189",131,211,"1,905",135,"2,382",0,0,0,0,0,0,0,0,0,0,"10,571",
11/1989,FSM ,AR,ASW,CE,Towers with Radar,2,"1,132","2,609",631,"4,374",4,200,649,144,997,0,0,0,0,0,0,0,0,0,0,"5,371",
11/1989,FWA ,IN,AGL,CE,Towers with Radar,"2,606","1,412","4,516",383,"8,917",64,452,"3,218",59,"3,793",0,0,0,0,0,0,0,0,0,0,"12,710",
Sub-Total for Unknown,,,,,,"13,415","22,492","48,647","9,007","93,561",591,"5,130","22,783","2,977","31,481",0,0,0,0,0,0,0,0,0,0,"125,042",
11/1989,FYV ,AR,ASW,CE,Tower without Radar,8,"1,513","1,863",6,"3,390",0,16,187,4,207,0,0,0,0,0,0,0,0,0,0,"3,597",
Sub-Total for CE,,,,,,"3,695","5,936","13,847","1,392","24,870",199,879,"5,959",342,"7,379",0,0,0,0,0,0,0,0,0,0,"32,249",
11/1989,G90 ,RI,ANE,EN,"TRACON, RAPCON, or CERAP","2,295","3,659","5,512",450,"11,916",323,"4,045","4,818",247,"9,433",0,0,0,0,0,0,0,0,0,0,"21,349",
11/1989,GEG ,WA,ANM,WE,Towers with Radar,"2,314","4,290","2,401","1,938","10,943",2,136,621,225,984,0,0,0,0,0,0,0,0,0,0,"11,927",
11/1989,GGG ,TX,ASW,CE,Towers with Radar,13,841,"3,648",157,"4,659",8,133,"1,042",35,"1,218",0,0,0,0,0,0,0,0,0,0,"5,877",
Sub-Total for Unknown,,,,,,"2,327","5,131","6,049","2,095","15,602",10,269,"1,663",260,"2,202",0,0,0,0,0,0,0,0,0,0,"17,804",
11/1989,GJT ,CO,ANM,WE,Tower without Radar,613,213,396,4,"1,226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,226",
11/1989,GPT ,MS,ASO,CE,Towers with Radar,174,406,"1,503","1,804","3,887",126,282,"2,065",748,"3,221",0,0,0,0,0,0,0,0,0,0,"7,108",
11/1989,GRB ,WI,AGL,CE,Towers with Radar,"1,403","3,275","3,744",130,"8,552",5,214,681,6,906,0,0,0,0,0,0,0,0,0,0,"9,458",
11/1989,GRR ,MI,AGL,CE,Towers with Radar,"1,996","1,974","4,847",71,"8,888",7,674,"1,638",60,"2,379",0,0,0,0,0,0,0,0,0,0,"11,267",
Sub-Total for CE,,,,,,"3,573","5,655","10,094","2,005","21,327",138,"1,170","4,384",814,"6,506",0,0,0,0,0,0,0,0,0,0,"27,833",
Sub-Total for AGL,,,,,,"3,399","5,249","8,591",201,"17,440",12,888,"2,319",66,"3,285",0,0,0,0,0,0,0,0,0,0,"20,725",
11/1989,GSO ,NC,ASO,ES,Towers with Radar,"3,628","1,494","8,252",110,"13,484",32,"1,250","3,767",152,"5,201",0,0,0,0,0,0,0,0,0,0,"18,685",
11/1989,GSP ,SC,ASO,ES,Towers with Radar,"1,781",678,"4,963",148,"7,570",36,817,"4,311",107,"5,271",0,0,0,0,0,0,0,0,0,0,"12,841",
Sub-Total for ES,,,,,,"5,409","2,172","13,215",258,"21,054",68,"2,067","8,078",259,"10,472",0,0,0,0,0,0,0,0,0,0,"31,526",
Sub-Total for ASO,,,,,,"5,409","2,172","13,215",258,"21,054",68,"2,067","8,078",259,"10,472",0,0,0,0,0,0,0,0,0,0,"31,526",
11/1989,GTF ,MT,ANM,WE,Towers with Radar,653,"1,349","1,137","1,277","4,416",0,1,65,1,67,0,0,0,0,0,0,0,0,0,0,"4,483",
Sub-Total for Unknown,,,,,,"9,635","9,176","24,446","3,540","46,797",206,"3,238","12,527","1,074","17,045",0,0,0,0,0,0,0,0,0,0,"63,842",
11/1989,HLN ,MT,ANM,WE,Combination Non-Radar Approach Control & Tower w/o Radar,192,"1,100",246,128,"1,666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,666",
Sub-Total for ANM,,,,,,845,"2,449","1,383","1,405","6,082",0,1,65,1,67,0,0,0,0,0,0,0,0,0,0,"6,149",
Sub-Total for MT,,,,,,845,"2,449","1,383","1,405","6,082",0,1,65,1,67,0,0,0,0,0,0,0,0,0,0,"6,149",
11/1989,HNL ,HI,AWP,WE,Towers with Radar,"15,465","4,457","6,008","3,205","29,135",146,219,212,176,753,0,0,0,0,0,0,0,0,0,0,"29,888",
Sub-Total for WE,,,,,,"16,310","6,906","7,391","4,610","35,217",146,220,277,177,820,0,0,0,0,0,0,0,0,0,0,"36,037",
11/1989,HSV ,AL,ASO,CE,Towers with Radar,"1,896",947,"3,980",520,"7,343",10,260,"2,825",177,"3,272",0,0,0,0,0,0,0,0,0,0,"10,615",
11/1989,HTS ,WV,AEA,CE,Towers with Radar,346,632,"3,207",46,"4,231",110,574,"1,446",86,"2,216",0,0,0,0,0,0,0,0,0,0,"6,447",
11/1989,HUF ,IN,AGL,CE,Towers with Radar,13,473,"2,220",172,"2,878",50,361,"1,967",56,"2,434",0,0,0,0,0,0,0,0,0,0,"5,312",
Sub-Total for Unknown,,,,,,"17,720","6,509","15,415","3,943","43,587",316,"1,414","6,450",495,"8,675",0,0,0,0,0,0,0,0,0,0,"52,262",
11/1989,HUT ,KS,ACE,CE,Tower without Radar,0,98,"1,192",85,"1,375",0,18,67,5,90,0,0,0,0,0,0,0,0,0,0,"1,465",
Sub-Total for CE,,,,,,"2,255","2,150","10,599",823,"15,827",170,"1,213","6,305",324,"8,012",0,0,0,0,0,0,0,0,0,0,"23,839",
11/1989,IAD ,VA,AEA,EN,Towers with Radar,"9,640","3,611","6,724",617,"20,592","9,761","1,185","7,449","1,394","19,789",0,0,0,0,0,0,0,0,0,0,"40,381",
11/1989,IAH ,TX,ASW,CE,Towers with Radar,"26,145","5,753","17,678","1,269","50,845",2,112,"2,975",195,"3,284",0,0,0,0,0,0,0,0,0,0,"54,129",
11/1989,ICT ,KS,ACE,CE,Towers with Radar,"2,481",979,"11,537","2,444","17,441",4,11,"1,038",61,"1,114",0,0,0,0,0,0,0,0,0,0,"18,555",
Sub-Total for CE,,,,,,"28,626","6,732","29,215","3,713","68,286",6,123,"4,013",256,"4,398",0,0,0,0,0,0,0,0,0,0,"72,684",
11/1989,ILM ,NC,ASO,EN,Towers with Radar,705,"1,179","4,185",505,"6,574",37,436,997,849,"2,319",0,0,0,0,0,0,0,0,0,0,"8,893",
11/1989,IND ,IN,AGL,CE,Towers with Radar,"9,126","3,721","6,335",356,"19,538",17,481,"4,418",375,"5,291",0,0,0,0,0,0,0,0,0,0,"24,829",
11/1989,ITO ,HI,AWP,WE,Towers with Radar,"1,436",113,83,230,"1,862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,862",
11/1989,JAN ,MS,ASO,CE,Towers with Radar,"1,548",312,"3,668",717,"6,245",7,26,"2,501",182,"2,716",0,0,0,0,0,0,0,0,0,0,"8,961",
11/1989,JAX ,FL,ASO,ES,Towers with Radar,"4,563","1,833","6,589","11,531","24,516",99,210,"5,808",285,"6,402",0,0,0,0,0,0,0,0,0,0,"30,918",
Sub-Total for Unknown,,,,,,"55,644","17,501","56,799","17,669","147,613","9,927","2,461","25,186","3,341","40,915",0,0,0,0,0,0,0,0,0,0,"188,528",
Sub-Total for ASO,,,,,,"6,111","2,145","10,257","12,248","30,761",106,236,"8,309",467,"9,118",0,0,0,0,0,0,0,0,0,0,"39,879",
11/1989,K90 ,MA,ANE,EN,"TRACON, RAPCON, or CERAP",0,"3,506","2,210","1,052","6,768",0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,"6,898",
11/1989,KWA ,WK,AWP,WE,Towers with Radar,67,14,10,258,349,3,0,7,1,11,0,0,0,0,0,0,0,0,0,0,360,
11/1989,L56 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","35,435","12,347","4,941",390,"53,113",815,975,"4,098",411,"6,299",0,0,0,0,0,0,0,0,0,0,"59,412",
Sub-Total for WE,,,,,,"35,502","12,361","4,951",648,"53,462",818,975,"4,105",412,"6,310",0,0,0,0,0,0,0,0,0,0,"59,772",
Sub-Total for AWP,,,,,,"35,502","12,361","4,951",648,"53,462",818,975,"4,105",412,"6,310",0,0,0,0,0,0,0,0,0,0,"59,772",
11/1989,LAF ,IN,AGL,CE,Tower without Radar,82,630,"1,002",19,"1,733",0,18,181,11,210,0,0,0,0,0,0,0,0,0,0,"1,943",
11/1989,LAN ,MI,AGL,CE,Towers with Radar,562,"2,079","4,250",182,"7,073",152,795,"3,370",189,"4,506",0,0,0,0,0,0,0,0,0,0,"11,579",
Sub-Total for CE,,,,,,644,"2,709","5,252",201,"8,806",152,813,"3,551",200,"4,716",0,0,0,0,0,0,0,0,0,0,"13,522",
Sub-Total for AGL,,,,,,644,"2,709","5,252",201,"8,806",152,813,"3,551",200,"4,716",0,0,0,0,0,0,0,0,0,0,"13,522",
11/1989,LAS ,NV,AWP,WE,Towers with Radar,"15,892","5,158","7,960",351,"29,361",106,895,"2,487",782,"4,270",0,0,0,0,0,0,0,0,0,0,"33,631",
11/1989,LBB ,TX,ASW,CE,Towers with Radar,"1,732",691,"4,213","12,482","19,118",0,107,844,65,"1,016",0,0,0,0,0,0,0,0,0,0,"20,134",
11/1989,LCH ,LA,ASW,CE,Towers with Radar,0,"1,495","1,677",118,"3,290",20,438,"1,583",147,"2,188",0,0,0,0,0,0,0,0,0,0,"5,478",
Sub-Total for ASW,,,,,,"1,732","2,186","5,890","12,600","22,408",20,545,"2,427",212,"3,204",0,0,0,0,0,0,0,0,0,0,"25,612",
11/1989,LEX ,KY,ASO,CE,Towers with Radar,"1,633","1,523","4,543",150,"7,849",15,284,"2,006",222,"2,527",0,0,0,0,0,0,0,0,0,0,"10,376",
11/1989,LFT ,LA,ASW,CE,Towers with Radar,216,"3,508","3,852",370,"7,946",85,237,"1,577",158,"2,057",0,0,0,0,0,0,0,0,0,0,"10,003",
11/1989,LIT ,AR,ASW,CE,Towers with Radar,"2,734",581,"8,312","2,661","14,288",2,68,"2,688",290,"3,048",0,0,0,0,0,0,0,0,0,0,"17,336",
Sub-Total for Unknown,,,,,,"22,769","15,035","34,807","16,314","88,925",380,"2,824","14,555","1,853","19,612",0,0,0,0,0,0,0,0,0,0,"108,537",
Sub-Total for ASW,,,,,,"2,950","4,089","12,164","3,031","22,234",87,305,"4,265",448,"5,105",0,0,0,0,0,0,0,0,0,0,"27,339",
11/1989,LNK ,NE,ACE,CE,Combined TRACON & Tower with Radar,822,770,"3,552",970,"6,114",186,414,"1,267",181,"2,048",0,0,0,0,0,0,0,0,0,0,"8,162",
11/1989,M98 ,MN,AGL,CE,"TRACON, RAPCON, or CERAP","17,800","6,706","13,636",277,"38,419",0,41,"3,505",17,"3,563",0,0,0,0,0,0,0,0,0,0,"41,982",
11/1989,MAF ,TX,ASW,CE,Towers with Radar,"1,392",373,"4,493","1,127","7,385",0,10,471,60,541,0,0,0,0,0,0,0,0,0,0,"7,926",
11/1989,MBS ,MI,AGL,CE,Towers with Radar,610,607,"2,237",121,"3,575",6,300,"2,050",230,"2,586",0,0,0,0,0,0,0,0,0,0,"6,161",
Sub-Total for Unknown,,,,,,"2,002",980,"6,730","1,248","10,960",6,310,"2,521",290,"3,127",0,0,0,0,0,0,0,0,0,0,"14,087",
Sub-Total for CE,,,,,,"26,939","16,254","46,515","18,276","107,984",314,"1,899","15,991","1,370","19,574",0,0,0,0,0,0,0,0,0,0,"127,558",
11/1989,MCC ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","4,140","4,070","10,949","8,958","28,117",42,935,"10,148","1,836","12,961",0,0,0,0,0,0,0,0,0,0,"41,078",
