,d2v_cos_sim,d2v_num_comp
ABE 1998/10,,1.0
ABE 1998/11,0.8248463869094849,2.0
ABE 1998/3,,1.0
ABE 1998/7,0.8565219044685364,2.0
ABE 1998/8,,1.0
ABE 1998/9,,1.0
ABE 1999/10,,1.0
ABE 1999/11,0.5016460418701172,2.0
ABE 1999/12,,1.0
ABE 1999/3,0.8985390663146973,2.0
ABE 1999/4,,1.0
ABE 1999/5,,1.0
ABE 1999/7,0.8015537261962891,3.0
ABE 1999/8,,1.0
ABE 2000/2,,1.0
ABE 2000/4,,1.0
ABE 2000/6,,1.0
ABE 2000/7,0.8560246229171753,2.0
ABE 2001/10,0.6130180358886719,2.0
ABE 2001/12,0.7875725030899048,2.0
ABE 2001/2,0.9103493690490723,2.0
ABE 2001/3,,1.0
ABE 2001/5,0.4698302745819092,2.0
ABE 2001/6,,1.0
ABE 2001/7,0.8341954946517944,2.0
ABE 2001/8,,1.0
ABE 2002/1,,1.0
ABE 2002/11,,1.0
ABE 2003/4,,1.0
ABE 2003/6,,1.0
ABE 2004/10,0.43290698528289795,2.0
ABE 2004/2,,1.0
ABE 2004/3,,1.0
ABE 2007/10,,1.0
ABE 2007/12,,1.0
ABE 2010/7,,1.0
ABE 2014/3,,1.0
ABE 2016/5,,1.0
ABE 2016/7,,1.0
ABE 2016/8,,1.0
ABE 2019/1,,1.0
ABI 1989/11,,1.0
ABI 1989/3,,1.0
ABI 1990/11,,1.0
ABI 1990/4,,1.0
ABI 1991/5,,1.0
ABI 1992/11,,1.0
ABI 1992/5,,1.0
ABI 1993/12,,1.0
ABI 1993/2,,1.0
ABI 1994/10,,1.0
ABI 1994/12,,1.0
ABI 1995/10,,1.0
ABI 1996/10,,1.0
ABI 1996/11,,1.0
ABI 1996/4,,1.0
ABI 1997/10,0.6733407974243164,2.0
ABI 1998/10,,1.0
ABI 1998/5,0.9263126850128174,2.0
ABI 1998/6,,1.0
ABI 1998/9,,1.0
ABI 1999/12,,1.0
ABI 2000/1,,1.0
ABI 2003/10,,1.0
ABI 2005/1,0.6414408683776855,2.0
ABI 2005/11,,1.0
ABI 2009/3,,1.0
ABI 2015/2,,1.0
ABN 1989/8,,1.0
ABQ 1988/1,,1.0
ABQ 1988/10,,1.0
ABQ 1988/4,,1.0
ABQ 1988/9,,1.0
ABQ 1989/1,0.8509609699249268,2.0
ABQ 1989/11,,1.0
ABQ 1989/2,,1.0
ABQ 1989/4,0.5665262937545776,2.0
ABQ 1989/9,,1.0
ABQ 1990/1,0.3473619222640991,2.0
ABQ 1990/10,,1.0
ABQ 1990/2,0.5887826283772787,4.0
ABQ 1990/4,,1.0
ABQ 1990/5,,1.0
ABQ 1990/7,0.714684804280599,3.0
ABQ 1990/8,0.5076124668121338,3.0
ABQ 1990/9,,1.0
ABQ 1991/1,,1.0
ABQ 1991/4,0.5799173911412557,3.0
ABQ 1992/1,0.604867696762085,2.0
ABQ 1992/10,0.5843749046325684,2.0
ABQ 1992/2,0.6800327301025391,3.0
ABQ 1992/5,,1.0
ABQ 1992/6,0.7802461385726929,2.0
ABQ 1992/8,,1.0
ABQ 1993/10,,1.0
ABQ 1993/12,,1.0
ABQ 1993/6,,1.0
ABQ 1993/7,,1.0
ABQ 1993/9,,1.0
ABQ 1994/10,,1.0
ABQ 1994/7,0.6050553321838379,3.0
ABQ 1994/8,,1.0
ABQ 1995/12,,1.0
ABQ 1995/4,,1.0
ABQ 1995/5,0.43108081817626953,4.0
ABQ 1995/6,0.4522247314453125,2.0
ABQ 1996/10,,1.0
ABQ 1996/11,,1.0
ABQ 1996/2,,1.0
ABQ 1996/4,0.5311110019683838,2.0
ABQ 1996/5,0.8487386703491211,2.0
ABQ 1996/8,,1.0
ABQ 1997/11,0.8756504654884338,2.0
ABQ 1997/12,0.40808987617492676,2.0
ABQ 1997/5,,1.0
ABQ 1998/2,,1.0
ABQ 1998/4,,1.0
ABQ 1998/5,0.6280961036682129,2.0
ABQ 1998/6,,1.0
ABQ 1998/7,,1.0
ABQ 1998/8,,1.0
ABQ 1999/2,,1.0
ABQ 1999/4,0.6283601522445679,2.0
ABQ 1999/5,,1.0
ABQ 1999/7,0.8909827470779419,2.0
ABQ 1999/8,,1.0
ABQ 2000/11,,1.0
ABQ 2000/9,,1.0
ABQ 2001/10,,1.0
ABQ 2001/12,0.5815915607270741,7.0
ABQ 2001/4,,1.0
ABQ 2001/5,,1.0
ABQ 2001/6,0.33817416429519653,2.0
ABQ 2001/7,0.9075703620910645,2.0
ABQ 2002/2,,1.0
ABQ 2002/5,,1.0
ABQ 2002/8,,1.0
ABQ 2003/1,,1.0
ABQ 2003/11,,1.0
ABQ 2003/2,0.6331684192021688,4.0
ABQ 2003/3,,1.0
ABQ 2003/5,,1.0
ABQ 2003/6,,1.0
ABQ 2003/7,0.889609694480896,2.0
ABQ 2004/10,,1.0
ABQ 2004/2,,1.0
ABQ 2004/3,,1.0
ABQ 2004/6,,1.0
ABQ 2004/7,,1.0
ABQ 2005/1,,1.0
ABQ 2005/12,,1.0
ABQ 2006/1,,1.0
ABQ 2006/12,,1.0
ABQ 2006/2,,1.0
ABQ 2006/7,0.8233665227890015,2.0
ABQ 2007/2,,1.0
ABQ 2007/4,,1.0
ABQ 2007/9,,1.0
ABQ 2008/1,0.8287321329116821,2.0
ABQ 2008/11,,1.0
ABQ 2008/3,,1.0
ABQ 2008/4,,1.0
ABQ 2008/5,,1.0
ABQ 2008/6,,1.0
ABQ 2008/9,0.8791189193725586,2.0
ABQ 2009/10,0.10566669702529907,2.0
ABQ 2009/2,,1.0
ABQ 2009/4,,1.0
ABQ 2009/6,,1.0
ABQ 2009/9,,1.0
ABQ 2010/12,0.9142540693283081,2.0
ABQ 2010/3,0.7036042213439941,2.0
ABQ 2011/4,,1.0
ABQ 2012/4,0.5971329212188721,2.0
ABQ 2012/5,,1.0
ABQ 2013/10,,1.0
ABQ 2013/2,0.5438904762268066,2.0
ABQ 2013/4,0.8448836803436279,2.0
ABQ 2013/5,,1.0
ABQ 2013/6,0.33936524391174316,2.0
ABQ 2014/1,,1.0
ABQ 2014/3,,1.0
ABQ 2014/4,0.8570895195007324,2.0
ABQ 2014/9,,1.0
ABQ 2015/12,0.7129881381988525,2.0
ABQ 2015/3,0.8250967264175415,2.0
ABQ 2015/5,,1.0
ABQ 2016/10,,1.0
ABQ 2016/12,,1.0
ABQ 2016/3,,1.0
ABQ 2016/5,,1.0
ABQ 2016/7,,1.0
ABQ 2016/8,0.702987015247345,2.0
ABQ 2016/9,,1.0
ABQ 2017/10,,1.0
ABQ 2017/5,,1.0
ABQ 2018/1,0.692314624786377,2.0
ABQ 2018/10,,1.0
ABQ 2019/1,0.59096802605523,9.0
ABQ 2019/2,,1.0
ABQ 2019/3,,1.0
ABQ 2019/5,,1.0
ABQ 2019/6,0.4355520009994507,2.0
ABQ 2019/7,,1.0
ABQ 2019/8,,1.0
ABY 1997/6,,1.0
ACK 1991/5,,1.0
ACK 1995/9,,1.0
ACK 1997/7,,1.0
ACK 1997/8,,1.0
ACN 1993/3,0.865139365196228,2.0
ACO 1993/7,,1.0
ACT 1988/9,,1.0
ACT 1989/1,0.9181045889854431,2.0
ACT 1991/10,,1.0
ACT 1991/9,,1.0
ACT 1993/10,0.8665309548377991,2.0
ACT 1993/11,,1.0
ACT 1993/2,,1.0
ACT 1993/3,,1.0
ACT 1993/4,,1.0
ACT 1994/6,0.7074989080429077,2.0
ACT 1994/9,,1.0
ACT 1995/4,,1.0
ACT 1996/7,,1.0
ACT 1997/12,,1.0
ACT 1998/12,,1.0
ACT 1998/3,,1.0
ACT 1998/7,0.37378835678100586,2.0
ACT 1999/12,,1.0
ACT 2000/1,,1.0
ACT 2000/2,,1.0
ACT 2000/4,,1.0
ACT 2000/5,0.433429479598999,2.0
ACT 2000/9,,1.0
ACT 2001/12,0.8445435762405396,2.0
ACT 2001/4,,1.0
ACT 2001/7,0.9388640522956848,2.0
ACT 2001/8,,1.0
ACT 2002/1,0.5057255029678345,2.0
ACT 2002/11,,1.0
ACT 2003/11,0.37511491775512695,3.0
ACT 2003/2,0.9192266464233398,2.0
ACT 2003/3,,1.0
ACT 2003/4,0.684312661488851,3.0
ACT 2003/5,0.2396238644917806,3.0
ACT 2003/6,,1.0
ACT 2003/7,0.6921212673187256,2.0
ACT 2003/8,0.3171062469482422,2.0
ACT 2004/11,0.5319210290908813,2.0
ACT 2004/12,,1.0
ACT 2004/4,,1.0
ACT 2004/6,,1.0
ACT 2004/7,,1.0
ACT 2005/4,,1.0
ACT 2006/11,,1.0
ACT 2006/6,,1.0
ACT 2006/8,,1.0
ACT 2008/5,,1.0
ACT 2008/8,,1.0
ACT 2013/4,0.7813090085983276,2.0
ACT 2016/11,,1.0
ACT 2017/10,,1.0
ACT 2017/4,,1.0
ACY 1988/10,,1.0
ACY 1988/3,,1.0
ACY 1988/8,,1.0
ACY 1989/10,,1.0
ACY 1989/5,,1.0
ACY 1989/7,,1.0
ACY 1990/12,,1.0
ACY 1990/2,,1.0
ACY 1990/3,,1.0
ACY 1990/4,,1.0
ACY 1990/5,,1.0
ACY 1991/10,,1.0
ACY 1991/3,,1.0
ACY 1991/5,0.36542367935180664,2.0
ACY 1991/7,,1.0
ACY 1991/8,,1.0
ACY 1992/2,,1.0
ACY 1992/5,,1.0
ACY 1992/7,,1.0
ACY 1992/8,0.32245643933614093,3.0
ACY 1993/1,0.19467973709106445,2.0
ACY 1993/7,,1.0
ACY 1994/10,0.39771270751953125,2.0
ACY 1994/6,0.467983881632487,4.0
ACY 1994/8,,1.0
ACY 1995/1,0.8261368274688721,2.0
ACY 1995/11,,1.0
ACY 1995/3,0.46433520317077637,2.0
ACY 1995/6,,1.0
ACY 1996/3,,1.0
