,d2v_cos_sim_replace,d2v_num_comp_replace,d2v_cos_sim_other_tracon_replace,d2v_num_comp_other_tracon_replace,d2v_cos_sim,d2v_num_comp,d2v_cos_sim_other_tracon,d2v_num_comp_other_tracon
A80 2002/1,0.5475570840179604,28.0,0.00012919483022301993,1790.0,0.5516974232184193,28.0,0.00013017173370154646,1790.0
A80 2002/10,0.5366129600327207,62.0,0.00029229503794616333,2635.0,0.5141941112919751,62.0,0.00028008340920915715,2635.0
A80 2002/12,0.5265827128717625,68.0,0.0003053543544005906,2803.0,0.4915199715176416,68.0,0.00028502220051860433,2803.0
A80 2002/2,0.535224373109879,31.0,0.00013802854222274007,1899.0,0.5239039923555108,31.0,0.000135109139199569,1899.0
A80 2002/3,0.5610928922086149,37.0,0.00020358603421518904,1916.0,0.5512214179511543,37.0,0.00020000428451947817,1916.0
A80 2002/7,0.5355114047374789,55.0,0.0002656178365192197,2447.0,0.5289090859769571,55.0,0.0002623430348816341,2447.0
A80 2002/8,0.5416260558289366,56.0,0.00027454682009851923,2465.0,0.5483773367745536,56.0,0.00027796900168535973,2465.0
A80 2002/9,0.5332602005406195,59.0,0.0002864444920286643,2524.0,0.5150593813924605,59.0,0.00027666779316736824,2524.0
A80 2003/1,0.5429411711516203,81.0,0.00041978860450392406,2895.0,0.5272604859905479,81.0,0.00040766468889172266,2895.0
A80 2003/10,0.5510324272595551,57.0,0.0004654226542290354,1944.0,0.5473109654017857,57.0,0.0004622793679726001,1944.0
A80 2003/11,0.5533219601834634,53.0,0.00045836078236381175,1824.0,0.5657359705954055,53.0,0.00046864429889513406,1824.0
A80 2003/12,0.5583840510450393,47.0,0.0003964585901131764,1745.0,0.5740984300018791,47.0,0.0004076159656042438,1745.0
A80 2003/2,0.556656559586247,78.0,0.0004559060326854454,2708.0,0.5347234146062271,78.0,0.00043794261711087995,2708.0
A80 2003/3,0.558345386402027,75.0,0.00044394614432143,2642.0,0.5391832946227477,75.0,0.00042871016858002907,2642.0
A80 2003/4,0.5462956518563726,74.0,0.00045958844658627277,2534.0,0.5250844775372547,74.0,0.0004417438772171631,2534.0
A80 2003/5,0.5433862084740991,75.0,0.0004860199982935356,2491.0,0.5165273085585586,75.0,0.00046199663831946754,2491.0
A80 2003/6,0.5346981650904605,76.0,0.0005260552617211752,2407.0,0.5158568050986843,76.0,0.0005075184549603368,2407.0
A80 2003/7,0.5360643748013253,72.0,0.0006190365906295574,2104.0,0.5191493265692244,72.0,0.000599503425808047,2104.0
A80 2003/8,0.5377939362070221,66.0,0.0005626303274081695,2025.0,0.5126364683493589,66.0,0.000536311037761012,2025.0
A80 2003/9,0.5537006735234333,62.0,0.0004920374061149471,2063.0,0.5415883419817556,62.0,0.0004812739729483462,2063.0
A80 2004/1,0.5203307449176747,31.0,0.0002001251404652299,1555.0,0.5049418131510417,31.0,0.0001942063817497622,1555.0
A80 2004/10,0.5108892902050143,18.0,0.00017580241619921346,943.0,0.5238067527222477,18.0,0.00018024745187569265,943.0
A80 2004/11,0.49523528695803637,19.0,0.00021286682335715633,892.0,0.5317831652903418,19.0,0.00022857618609023014,892.0
A80 2004/12,0.5071171989217836,19.0,0.00022600926016874389,876.0,0.5447970830906205,19.0,0.0002428022278739395,876.0
A80 2004/2,0.5120363282452663,29.0,0.0001893042640954414,1482.0,0.5057606814530096,29.0,0.00018698410313771726,1482.0
A80 2004/3,0.5003248948317308,26.0,0.0001649799827317884,1404.0,0.492097402719351,26.0,0.00016226700258499226,1404.0
A80 2004/4,0.5330583777794471,26.0,0.00019096463121415328,1347.0,0.5170242544320913,26.0,0.00018522051278452618,1347.0
A80 2004/5,0.4932389009915865,26.0,0.00021088443423883962,1233.0,0.4960460017277644,26.0,0.00021208461096741926,1233.0
A80 2004/6,0.5135128136837122,22.0,0.00018095987484744762,1145.0,0.5063010541907637,22.0,0.00017841847946159137,1145.0
A80 2004/7,0.4959653966567096,18.0,0.0001303556663757359,1079.0,0.5008920906415952,18.0,0.00013165056009565727,1079.0
A80 2004/8,0.5050217871572457,18.0,0.00014370571112810317,1037.0,0.507117526983124,18.0,0.00014430206120581487,1037.0
A80 2004/9,0.47583465576171874,16.0,0.00014385067457567632,891.0,0.4905103047688802,16.0,0.00014828730394672658,891.0
A80 2005/10,0.465073485015541,31.0,0.00019300160823292238,1497.0,0.4764336698798723,31.0,0.0001977159899796392,1497.0
A80 2005/11,0.47346345748024427,30.0,0.00016818104012812727,1565.0,0.47159823713631466,30.0,0.00016751848699429156,1565.0
A80 2005/12,0.4728913740678267,33.0,0.00018818419334628347,1629.0,0.469792568322384,33.0,0.00018695104279306714,1629.0
A80 2005/2,0.5015943122632576,22.0,0.00025949617565647657,945.0,0.5212111039595171,22.0,0.00026964478041409466,945.0
A80 2005/3,0.4997539897210042,23.0,0.00027042935891538465,967.0,0.5033229782647295,23.0,0.0002723606277070451,967.0
A80 2005/4,0.5052901558254076,24.0,0.0002756030082088236,1006.0,0.5196095342221467,24.0,0.00028341330040692724,1006.0
A80 2005/5,0.5636810302734375,21.0,0.00020755834763677052,1068.0,0.5690310523623512,21.0,0.0002095283301001798,1068.0
A80 2005/6,0.5655428920338748,23.0,0.00021789478188732994,1146.0,0.5532279636548914,23.0,0.00021315003366240493,1146.0
A80 2005/8,0.4937684044471154,26.0,0.00015118807927018126,1457.0,0.5075212214543269,26.0,0.00015539908582537547,1457.0
A80 2006/1,0.4724635499896425,33.0,0.00018127564328971588,1659.0,0.4666835900508996,33.0,0.0001790579781256892,1659.0
A80 2006/10,0.4901918727859312,39.0,0.0004021756503046775,1344.0,0.4543666659418227,39.0,0.00037278302537611013,1344.0
A80 2006/11,0.4845661775946778,39.0,0.0004191041950248135,1309.0,0.4497987899059548,39.0,0.0003890336727635877,1309.0
A80 2006/12,0.4819339328342014,36.0,0.00037708113607513703,1269.0,0.4557531932043651,36.0,0.0003565964547312683,1269.0
A80 2006/2,0.47574511441317474,33.0,0.00017927814420146785,1674.0,0.4700079253225615,33.0,0.0001771161616987852,1674.0
A80 2006/3,0.481460186613708,35.0,0.00019434203718758576,1717.0,0.4763498514640231,35.0,0.00019227924368707576,1717.0
A80 2006/4,0.4788497952003955,34.0,0.00018416895769969525,1708.0,0.4669503332671847,34.0,0.00017959234197720235,1708.0
