,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset,tracon_month,pos_nonword_ct,pos_nonword_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_iaco_ct,iata_iaco_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct,tracon,Achieve_count,Adj_count,Adverb_count,Affect_count,Affiliation_count,Anger_count,Anx_count,Article_count,Assent_count,Auxverb_count,Bio_count,Body_count,Cause_count,Certain_count,CogProc_count,Compare_count,Conj_count,Death_count,Differ_count,Discrep_count,Drives_count,Family_count,Feel_count,Female_count,Filler_count,FocusFuture_count,FocusPast_count,FocusPresent_count,Friend_count,Function_count,Health_count,Hear_count,Home_count,I_count,Informal_count,Ingest_count,Insight_count,Interrog_count,Ipron_count,Leisure_count,Male_count,Money_count,Motion_count,Negate_count,Negemo_count,Netspeak_count,Nonflu_count,Number_count,Percept_count,Posemo_count,Power_count,Ppron_count,Prep_count,Pronoun_count,Quant_count,Relativ_count,Relig_count,Reward_count,Risk_count,Sad_count,See_count,Sexual_count,SheHe_count,Social_count,Space_count,Swear_count,Tentat_count,They_count,Time_count,Verb_count,We_count,Work_count,You_count,d2v_cos_sim
12,ABQ,Albuquerque International Sunport,1996,4,2.0,0.0,0.0,ntsb,ABQ 1996/4,50,21,38,14,16,7,28,11,32,17,13,7,ABQ,5,39,25,4,10,0,1,13,1,69,1,0,1,0,12,10,9,0,2,4,3,7,0,0,0,9,8,27,0,118,0,2,0,26,0,0,6,2,0,0,0,0,37,18,1,0,0,0,8,1,1,39,31,69,1,32,0,4,3,0,1,0,0,1,23,1,7,1,33,22,22,8,3,0.647752583026886
13,ABQ,Albuquerque International Sunport,1996,5,1.0,0.0,0.0,ntsb,ABQ 1996/5,12,4,4,1,0,0,6,1,6,3,6,3,ABQ,14,32,34,4,14,0,0,8,0,20,0,0,0,0,20,6,14,0,0,4,2,24,2,0,0,8,10,26,0,70,0,2,0,26,0,0,6,0,0,0,0,0,4,26,2,0,2,4,12,2,0,34,4,48,0,16,0,0,2,0,4,0,0,4,14,2,12,4,4,24,8,2,14,0.8276569843292236
14,ABQ,Albuquerque International Sunport,1996,10,3.0,0.0,0.0,ntsb,ABQ 1996/10,3,3,1,1,0,0,1,1,3,3,2,2,ABQ,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,
15,ABQ,Albuquerque International Sunport,1998,5,1.0,0.0,0.0,ntsb,ABQ 1998/5,6,2,4,1,4,1,4,1,2,1,2,1,ABQ,0,4,0,0,0,0,0,0,0,8,0,0,0,0,4,2,2,0,0,2,0,0,2,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0.8612885475158691
16,ABQ,Albuquerque International Sunport,1998,6,1.0,0.0,0.0,ntsb,ABQ 1998/6,32,13,6,5,4,3,12,5,23,8,19,7,ABQ,4,40,31,7,6,1,3,20,0,55,2,0,2,0,31,9,6,0,2,8,8,20,7,0,0,13,7,32,0,116,0,0,1,37,0,0,21,2,5,2,0,1,20,29,3,0,0,4,14,7,5,57,30,94,0,25,0,1,3,0,7,0,0,16,20,0,10,15,12,34,13,7,4,
17,ABQ,Albuquerque International Sunport,1998,8,1.0,0.0,0.0,ntsb,ABQ 1998/8,13,9,5,3,5,4,3,2,5,4,6,5,ABQ,6,5,5,1,6,0,0,0,0,10,0,0,1,0,2,1,2,0,0,0,0,7,0,0,0,1,5,2,0,15,0,0,0,6,0,0,5,0,0,0,0,0,4,5,0,0,0,0,3,0,0,6,5,18,0,7,0,0,0,0,0,0,0,0,2,0,1,0,2,8,0,3,6,
18,ABQ,Albuquerque International Sunport,1999,4,1.0,0.0,0.0,ntsb,ABQ 1999/4,19,11,13,7,2,1,9,6,9,7,6,4,ABQ,4,20,8,4,5,0,0,1,1,31,0,0,1,0,7,6,5,0,1,2,3,4,0,0,0,3,5,13,0,51,0,4,0,5,0,0,8,1,0,0,0,0,15,8,1,0,0,1,3,2,2,6,13,24,1,21,1,2,0,0,4,0,0,0,15,1,7,0,13,15,3,5,2,0.6606192588806152
19,ABQ,Albuquerque International Sunport,1999,7,1.0,0.0,0.0,ntsb,ABQ 1999/7,48,11,80,11,12,2,28,6,42,11,20,6,ABQ,22,74,60,20,20,0,2,26,2,96,0,0,6,2,40,26,26,0,12,2,4,34,6,0,0,14,30,56,0,188,0,2,0,58,0,0,40,0,0,2,4,2,28,32,8,0,4,0,22,10,0,84,14,126,4,60,0,0,0,0,6,0,4,10,38,6,12,6,34,64,30,14,18,0.9335551261901855
20,ABQ,Albuquerque International Sunport,1999,8,1.0,0.0,0.0,ntsb,ABQ 1999/8,44,19,50,13,17,6,29,9,46,17,18,8,ABQ,28,45,30,8,30,0,0,13,4,47,0,0,1,0,14,6,12,0,2,1,1,47,4,1,0,8,10,33,0,96,0,1,0,44,0,0,16,0,2,1,5,0,27,19,1,0,0,3,7,3,1,57,38,101,0,22,0,2,0,0,5,0,0,4,15,4,16,6,16,21,8,8,28,
21,ABQ,Albuquerque International Sunport,2001,4,1.0,0.0,0.0,ntsb,ABQ 2001/4,30,10,8,6,4,2,7,5,25,7,20,3,ABQ,1,17,21,5,1,0,0,13,0,35,1,0,1,0,17,7,5,0,2,1,1,7,4,0,0,2,16,16,0,85,0,4,0,21,0,0,15,0,0,1,2,0,9,20,1,0,0,2,18,2,0,34,22,53,0,19,0,0,1,0,4,0,1,6,9,0,9,3,9,31,16,5,1,
