,0
trcn_invout_syn_12m,751
trcn_invout_ct_syn_12m,751
trcn_out_syn_12m,600
trcn_out_ct_syn_12m,600
trcn_out_vol_syn_12m,600
trcn_invall_syn_12m,751
trcn_invall_ct_syn_12m,751
trcn_all_syn_12m,600
trcn_all_ct_syn_12m,600
trcn_all_vol_syn_12m,600
trcn_flfrm_call_1m,19100
trcn_flfrm_ct_call_1m,19100
trcn_flfrm_vol_call_1m,19100
trcn_invout_flfrm_call_1m,18977
trcn_invout_flfrm_ct_call_1m,18977
trcn_out_flfrm_call_1m,12256
trcn_out_flfrm_ct_call_1m,12256
trcn_out_flfrm_vol_call_1m,12256
trcn_invall_flfrm_call_1m,18977
trcn_invall_flfrm_ct_call_1m,18977
trcn_all_flfrm_call_1m,12250
trcn_all_flfrm_ct_call_1m,12250
trcn_all_flfrm_vol_call_1m,12250
trcn_call_1m,19100
trcn_ct_call_1m,19100
trcn_vol_call_1m,19100
trcn_invout_call_1m,18977
trcn_invout_ct_call_1m,18977
trcn_out_call_1m,12256
trcn_out_ct_call_1m,12256
trcn_out_vol_call_1m,12256
trcn_invall_call_1m,18977
trcn_invall_ct_call_1m,18977
trcn_all_call_1m,12250
trcn_all_ct_call_1m,12250
trcn_all_vol_call_1m,12250
trcn_flfrm_call_3m,19091
trcn_flfrm_ct_call_3m,19091
trcn_flfrm_vol_call_3m,19091
trcn_invout_flfrm_call_3m,18744
trcn_invout_flfrm_ct_call_3m,18744
trcn_out_flfrm_call_3m,11600
trcn_out_flfrm_ct_call_3m,11600
trcn_out_flfrm_vol_call_3m,11600
trcn_invall_flfrm_call_3m,18744
trcn_invall_flfrm_ct_call_3m,18744
trcn_all_flfrm_call_3m,11600
trcn_all_flfrm_ct_call_3m,11600
trcn_all_flfrm_vol_call_3m,11600
trcn_call_3m,19091
trcn_ct_call_3m,19091
trcn_vol_call_3m,19091
trcn_invout_call_3m,18744
trcn_invout_ct_call_3m,18744
trcn_out_call_3m,11600
trcn_out_ct_call_3m,11600
trcn_out_vol_call_3m,11600
trcn_invall_call_3m,18744
trcn_invall_ct_call_3m,18744
trcn_all_call_3m,11600
trcn_all_ct_call_3m,11600
trcn_all_vol_call_3m,11600
trcn_flfrm_call_6m,19053
trcn_flfrm_ct_call_6m,19053
trcn_flfrm_vol_call_6m,19053
trcn_invout_flfrm_call_6m,18422
trcn_invout_flfrm_ct_call_6m,18422
trcn_out_flfrm_call_6m,11250
trcn_out_flfrm_ct_call_6m,11250
trcn_out_flfrm_vol_call_6m,11250
trcn_invall_flfrm_call_6m,18422
trcn_invall_flfrm_ct_call_6m,18422
trcn_all_flfrm_call_6m,11250
trcn_all_flfrm_ct_call_6m,11250
trcn_all_flfrm_vol_call_6m,11250
trcn_call_6m,19053
trcn_ct_call_6m,19053
trcn_vol_call_6m,19053
trcn_invout_call_6m,18422
trcn_invout_ct_call_6m,18422
trcn_out_call_6m,11250
trcn_out_ct_call_6m,11250
trcn_out_vol_call_6m,11250
trcn_invall_call_6m,18422
trcn_invall_ct_call_6m,18422
trcn_all_call_6m,11250
trcn_all_ct_call_6m,11250
trcn_all_vol_call_6m,11250
trcn_flfrm_call_12m,18924
trcn_flfrm_ct_call_12m,18924
trcn_flfrm_vol_call_12m,18924
trcn_invout_flfrm_call_12m,17868
trcn_invout_flfrm_ct_call_12m,17868
trcn_out_flfrm_call_12m,10950
trcn_out_flfrm_ct_call_12m,10950
trcn_out_flfrm_vol_call_12m,10950
trcn_invall_flfrm_call_12m,17868
trcn_invall_flfrm_ct_call_12m,17868
trcn_all_flfrm_call_12m,10950
trcn_all_flfrm_ct_call_12m,10950
trcn_all_flfrm_vol_call_12m,10950
trcn_call_12m,18924
trcn_ct_call_12m,18924
trcn_vol_call_12m,18924
trcn_invout_call_12m,17868
trcn_invout_ct_call_12m,17868
trcn_out_call_12m,10950
trcn_out_ct_call_12m,10950
trcn_out_vol_call_12m,10950
trcn_invall_call_12m,17868
trcn_invall_ct_call_12m,17868
trcn_all_call_12m,10950
trcn_all_ct_call_12m,10950
trcn_all_vol_call_12m,10950
trcn_flfrm_all_1m,10674
trcn_flfrm_ct_all_1m,10674
trcn_flfrm_vol_all_1m,10674
trcn_invout_flfrm_all_1m,6327
trcn_invout_flfrm_ct_all_1m,6327
trcn_out_flfrm_all_1m,50
trcn_out_flfrm_ct_all_1m,50
trcn_out_flfrm_vol_all_1m,50
trcn_invall_flfrm_all_1m,6327
trcn_invall_flfrm_ct_all_1m,6327
trcn_all_flfrm_all_1m,50
trcn_all_flfrm_ct_all_1m,50
trcn_all_flfrm_vol_all_1m,50
trcn_all_1m,10674
trcn_ct_all_1m,10674
trcn_vol_all_1m,10674
trcn_invout_all_1m,6327
trcn_invout_ct_all_1m,6327
trcn_out_all_1m,50
trcn_out_ct_all_1m,50
trcn_out_vol_all_1m,50
trcn_invall_all_1m,6327
trcn_invall_ct_all_1m,6327
trcn_all_all_1m,50
trcn_all_ct_all_1m,50
trcn_all_vol_all_1m,50
trcn_flfrm_all_3m,4860
trcn_flfrm_ct_all_3m,4860
trcn_flfrm_vol_all_3m,4860
trcn_invout_flfrm_all_3m,2250
trcn_invout_flfrm_ct_all_3m,2250
trcn_out_flfrm_all_3m,150
trcn_out_flfrm_ct_all_3m,150
trcn_out_flfrm_vol_all_3m,150
trcn_invall_flfrm_all_3m,2250
trcn_invall_flfrm_ct_all_3m,2250
trcn_all_flfrm_all_3m,150
trcn_all_flfrm_ct_all_3m,150
trcn_all_flfrm_vol_all_3m,150
trcn_all_3m,4860
trcn_ct_all_3m,4860
trcn_vol_all_3m,4860
trcn_invout_all_3m,2250
trcn_invout_ct_all_3m,2250
trcn_out_all_3m,150
trcn_out_ct_all_3m,150
trcn_out_vol_all_3m,150
trcn_invall_all_3m,2250
trcn_invall_ct_all_3m,2250
trcn_all_all_3m,150
trcn_all_ct_all_3m,150
trcn_all_vol_all_3m,150
trcn_flfrm_all_6m,2224
trcn_flfrm_ct_all_6m,2224
trcn_flfrm_vol_all_6m,2224
trcn_invout_flfrm_all_6m,982
trcn_invout_flfrm_ct_all_6m,982
trcn_out_flfrm_all_6m,300
trcn_out_flfrm_ct_all_6m,300
trcn_out_flfrm_vol_all_6m,300
trcn_invall_flfrm_all_6m,982
trcn_invall_flfrm_ct_all_6m,982
trcn_all_flfrm_all_6m,300
trcn_all_flfrm_ct_all_6m,300
trcn_all_flfrm_vol_all_6m,300
trcn_all_6m,2224
trcn_ct_all_6m,2224
trcn_vol_all_6m,2224
trcn_invout_all_6m,982
trcn_invout_ct_all_6m,982
trcn_out_all_6m,300
trcn_out_ct_all_6m,300
trcn_out_vol_all_6m,300
trcn_invall_all_6m,982
trcn_invall_ct_all_6m,982
trcn_all_all_6m,300
trcn_all_ct_all_6m,300
trcn_all_vol_all_6m,300
trcn_flfrm_all_12m,1076
trcn_flfrm_ct_all_12m,1076
trcn_flfrm_vol_all_12m,1076
trcn_invout_flfrm_all_12m,751
trcn_invout_flfrm_ct_all_12m,751
trcn_out_flfrm_all_12m,600
trcn_out_flfrm_ct_all_12m,600
trcn_out_flfrm_vol_all_12m,600
trcn_invall_flfrm_all_12m,751
trcn_invall_flfrm_ct_all_12m,751
trcn_all_flfrm_all_12m,600
trcn_all_flfrm_ct_all_12m,600
trcn_all_flfrm_vol_all_12m,600
trcn_all_12m,1076
trcn_ct_all_12m,1076
trcn_vol_all_12m,1076
trcn_invout_all_12m,751
trcn_invout_ct_all_12m,751
trcn_out_all_12m,600
trcn_out_ct_all_12m,600
trcn_out_vol_all_12m,600
trcn_invall_all_12m,751
trcn_invall_ct_all_12m,751
trcn_all_all_12m,600
trcn_all_ct_all_12m,600
trcn_all_vol_all_12m,600
trcn_flfrm_narrsyn_1m,10674
trcn_flfrm_ct_narrsyn_1m,10674
trcn_flfrm_vol_narrsyn_1m,10674
trcn_invout_flfrm_narrsyn_1m,6327
trcn_invout_flfrm_ct_narrsyn_1m,6327
